material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1100803,ZrPbO3,2.0116900771834523,0.370550986905362,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True,0.0,6.0,2.043028798222017,2.2793030307419015,2.139362282781269,0.07469848583842141,0.23627423251988455,81.78036387571794,36.812309117035056,0.0,165.68077141846865,6.0,1.0,1,Octahedron
mp-1100803,ZrPbO3,2.0116900771834523,0.370550986905362,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True,1.0,6.0,2.043028798222017,2.2793030307419015,2.139362282781269,0.07469848583842131,0.23627423251988455,72.52754647349278,34.26332915782821,0.0,93.75160105323789,6.0,1.0,2,Octahedron
mp-1100803,ZrPbO3,2.0116900771834523,0.370550986905362,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True,2.0,6.0,2.013206704024,2.2861984420888426,2.1388518825876184,0.08753318861021614,0.2729917380648428,89.34039057783782,35.9584019240834,1.2074182697257333e-06,163.28108759745578,4.0,0.6666666666666666,3,Octahedron
mp-1100803,ZrPbO3,2.0116900771834523,0.370550986905362,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True,3.0,6.0,2.013206704024,2.2861984420888426,2.138851882587618,0.0875331886102161,0.2729917380648428,78.39357950388414,35.37575409674504,1.2074182697257333e-06,162.13442153136003,4.0,0.6666666666666666,4,Octahedron
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,0.0,6.0,2.058077463202128,2.2081605431606985,2.134951038554466,0.0675224221094381,0.1500830799585704,105.4472770481271,31.8984183060735,81.24524501243506,168.53605351961704,6.0,1.0,1,Octahedron
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,1.0,6.0,2.039891191988745,2.2279240163910954,2.1355787545842557,0.06975577479357914,0.18803282440235058,65.31829140031682,30.963199358595052,22.933649193917134,114.05102597064622,6.0,1.0,2,Octahedron
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,2.0,6.0,2.0592027338765595,2.2124711982275675,2.1344446051919945,0.06698737306692935,0.15326846435100805,66.78774163984892,27.371328006476553,11.367345360225857,129.9290504473724,6.0,1.0,3,Octahedron
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,3.0,6.0,2.0592027338765613,2.212471198227565,2.134444605191995,0.06698737306692892,0.1532684643510036,64.82555151965195,28.563540378971158,12.187673893080603,102.55210040722977,6.0,1.0,4,Octahedron
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,4.0,6.0,2.039891191988745,2.227924016391096,2.135578754584256,0.06975577479357915,0.18803282440235103,105.56027632706308,32.061480555193384,81.28158661753122,171.7131616465605,6.0,1.0,5,Octahedron
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True,5.0,6.0,2.0580774632021286,2.2081605431606994,2.134951038554466,0.06752242210943825,0.15008307995857084,66.07687893710052,31.240388051615753,23.63643168646992,115.9975711169323,6.0,1.0,6,Octahedron
