material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge
mp-1221344,Na2Zr(Si2O5)3,2.057986256148239,0.122094673526342,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Zr,0.0,True
mp-1221915,Na2Ca2Zr2MnFeSi4O17F,1.855206979078996,0.6853965414754389,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1222466,MgZr4(PO4)6,1.9295666106226448,0.4314208368120422,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1222626,Li2MgZrO4,1.9761629940548184,0.3620994386938317,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1222825,Lu4Zr3O12,2.020835614347718,0.2419918503816727,[6.0],4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron","1a, 2i",2,6.0,Zr,0.0,True
mp-1222872,Li2Zr4As3(PO8)3,1.8724512385220404,0.5673631477862545,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1222999,LaZrTa3O11,2.124169430350956,0.0813584659011491,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,2c,1,7.0,Zr,0.0,True
mp-1223569,Li4Zr8V3(P3O16)3,1.8911542980054308,0.5323759350192903,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1223743,Li2Zr4As3(PO8)3,1.9192551123766528,0.45533313973846,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1223759,K2MgZr(MoO4)4,1.7454699714176898,0.8798106566308022,[6.0],4.0,4.0,4.0,Octahedron,1d,1,6.0,Zr,0.0,True
mp-1224122,Ho4Zr3O12,1.9827300628166284,0.3483508979289123,[6.0],4.0,4.0,4.0,"Trigonal prism, Octahedron","1a, 2i",2,6.0,Zr,0.0,True
mp-1225650,Er4Zr3O12,1.988964428974768,0.3304653974285293,[6.0],4.0,4.0,4.0,"Trigonal prism, Octahedron","1a, 2i",2,6.0,Zr,0.0,True
mp-1226199,Cs2ZrMn(MoO4)4,1.7256594333856026,0.936047201433682,[6.0],4.0,4.0,4.0,Octahedron,2d,1,6.0,Zr,0.0,True
mp-1226277,Cs2Zr2Mn(MoO4)6,2.186139279541739,-0.1994592520124448,[6.0],4.0,4.0,4.0,Octahedron,"1b, 1c",1,6.0,Zr,0.0,True
mp-1226592,CeZr3O8,1.954641297738816,0.4362709999800183,[7.0],4.0,4.0,4.0,Square-face capped trigonal prism,1a,1,7.0,Zr,0.0,True
mp-1227154,Ca4ZrTi3(SiO5)4,1.9271239469291823,0.4092526263050113,[6.0],4.0,4.0,4.0,Octahedron,1d,1,6.0,Zr,0.0,True
