material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cr_wyckoff,num_Cr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,17.0,4.0,2.0100060919394953,2.030495648978238,2.020250870458867,0.010244778519370112,0.020489557038742667,115.5068808695071,37.08701433254949,82.56578965846798,167.73161005507313,4.0,1.0,6,Square plane
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,18.0,4.0,2.010006091939499,2.030495648978236,2.0202508704588675,0.010244778519368225,0.020489557038737338,43.431238041320704,21.012428546673853,12.88185139459835,82.56578965846802,4.0,1.0,7,Square plane
mp-757728,Li2Cr3(SiO3)4,1.9508474876086013,0.1252520015006836,[4.0],2.0,2.0,2.0,Square plane,"4a, 4c",1,4.0,Cr,0.0,True,19.0,4.0,2.004032567533643,2.05764120793039,2.030836887732016,0.026804320198373532,0.05360864039674729,119.26939518148446,41.788517608201886,81.24513122508668,177.81765045205225,4.0,1.0,8,Square plane
mp-757741,Ti3CrCo2(PO4)6,1.8471180904078888,0.2131430900789682,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Cr,0.0,True,3.0,6.0,1.9620039451209537,2.033718897576756,1.9978614222216662,0.03585742732051144,0.07171495245580228,43.0889566402792,15.03631854037425,16.342958555676276,58.61765555311715,6.0,1.0,1,Octahedron
mp-757815,Li4Cr3Ni3(WO8)2,1.6194942597319295,0.5597849944886979,[6.0],3.0,3.0,3.0,Octahedron,"1a, 2b",1,6.0,Cr,0.0,True,4.0,6.0,1.9569314501489903,2.130285630123823,2.036118610462589,0.06670251625055708,0.17335417997483282,86.64562060822564,40.15209679692444,23.3176117037264,173.03779983213326,6.0,1.0,1,Octahedron
mp-757815,Li4Cr3Ni3(WO8)2,1.6194942597319295,0.5597849944886979,[6.0],3.0,3.0,3.0,Octahedron,"1a, 2b",1,6.0,Cr,0.0,True,5.0,6.0,1.9569314501489912,2.130285630123823,2.0361186104625895,0.06670251625055683,0.17335417997483193,86.64562060822564,40.15209679692445,23.317611703726364,173.03779983213326,6.0,1.0,2,Octahedron
mp-757815,Li4Cr3Ni3(WO8)2,1.6194942597319295,0.5597849944886979,[6.0],3.0,3.0,3.0,Octahedron,"1a, 2b",1,6.0,Cr,0.0,True,6.0,6.0,1.8429173140893476,2.170241370324454,1.9802427358156809,0.1385277390176344,0.3273240562351065,90.25920467677412,43.4859094602372,26.02374732330514,167.03907898815865,6.0,1.0,3,Octahedron
mp-757895,Li2CrCo(PO4)2,0.7563933697811331,1.3130963631584902,[6.0],2.0,2.0,2.0,Octahedron,"1a, 1b",1,6.0,Cr,0.0,True,4.0,6.0,2.0587398326251853,2.3880717035913577,2.20157950053972,0.13430685093914702,0.32933187096617234,94.57330521559757,36.19028648518038,15.797666956106815,176.2361731329112,6.0,1.0,1,Octahedron
mp-757895,Li2CrCo(PO4)2,0.7563933697811331,1.3130963631584902,[6.0],2.0,2.0,2.0,Octahedron,"1a, 1b",1,6.0,Cr,0.0,True,5.0,6.0,2.067348404527063,2.383081433767017,2.2016967977894386,0.1301630225284913,0.3157330292399543,94.58982996308318,36.18799089169451,15.866625826654557,176.13129541103848,6.0,1.0,2,Octahedron
mp-758053,NbCrO4,2.2049849212683057,-0.2813897094583505,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Cr,0.0,True,2.0,6.0,1.9586309163999729,2.0324808589679026,1.9914140074749218,0.030710119825789518,0.07384994256792976,87.84648503494903,39.4259775539578,17.65074451790905,179.60737219350432,6.0,1.0,1,Octahedron
