material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,18.0,6.0,1.9823312293854276,2.0249643732394116,2.0004054865528107,0.016926109554556524,0.04263314385398398,60.29251549509476,26.786598228517896,20.324131337396313,111.1921692874228,6.0,1.0,1,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,19.0,6.0,1.9532373917811383,2.053785859370052,2.0032548183185406,0.039188869754419424,0.10054846758891367,60.340637683585086,26.822303338578926,19.787341088307997,110.84730580483124,6.0,1.0,2,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,20.0,6.0,1.933726104142735,2.0622731978642626,2.0022277636261085,0.03875018832744199,0.12854709372152762,61.32611704419801,27.137007608263122,20.102508375409776,113.61426342415415,6.0,1.0,3,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,21.0,6.0,1.9604236828562425,2.028708996728604,2.001006875739667,0.025866028720011324,0.06828531387236159,49.83259317324857,24.986400754737836,7.551994005996143,86.0178659530225,6.0,1.0,4,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,22.0,6.0,1.9210072466936052,2.0906909012925614,2.0054229926022193,0.07728142545210759,0.16968365459895618,106.00597271381649,32.645889258625175,82.75919247388384,170.97430894833462,6.0,1.0,5,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,23.0,6.0,1.9098253594468002,2.1051874932303685,2.0110112536518003,0.06519586015433378,0.19536213378356826,48.98795985524373,24.48111350558117,7.71384990701885,87.20169244213089,6.0,1.0,6,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,24.0,6.0,1.9694871937526393,2.0400401273538646,2.006284454722152,0.030539291157323515,0.07055293360122539,106.99365251065475,34.191758309965465,84.12246547589905,177.30145562495883,6.0,1.0,7,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,25.0,6.0,1.9701721960051402,2.0331182242017807,1.998262911463887,0.027409605171670657,0.06294602819664052,106.7136128482636,33.7106668158466,86.50495638117233,174.76605069505098,6.0,1.0,8,Octahedron
mp-2715286,Na6Nb3Al(SiO4)6,1.80660650388052,1.0756665181702498,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True,26.0,6.0,1.932023778093615,2.078336551309721,2.004260558297793,0.06978557258629896,0.14631277321610625,105.84455238362253,32.422964687891586,82.912993589834,170.66524354024557,6.0,1.0,9,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,40.0,6.0,1.9776005089549342,2.054228376734648,2.0175621557081924,0.030189760580367524,0.07662786777971387,97.44566944040321,36.17861884405167,41.69218714074072,175.2889376451141,6.0,1.0,1,Octahedron
mp-2715290,Na9CaNb5(SiO4)9,1.8852992218423608,0.6847180946185079,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Nb,0.0,True,41.0,6.0,1.934236057794969,2.074332196731573,2.018214694101854,0.04448828423934688,0.14009613893660378,98.09918836906667,36.23225705662814,41.929958738927034,179.0057484018052,6.0,1.0,2,Octahedron
