material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Nb_wyckoff,num_Nb_chemenvs,CN,element,charge_range,is_single_charge
mp-781861,Nb2CdO6,1.9851478196308536,1.000396725232621,[6.0],5.0,5.0,5.0,Octahedron,8d,1,6.0,Nb,0.0,True
mp-781897,Gd3NbO7,2.023003303536864,-0.0948020920192868,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Nb,0.0,True
mp-782001,Li8La4TiNb7O28,1.9580615455261217,0.2949181553416062,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 1a",1,6.0,Nb,1.0,False
mp-782001,Li8La4TiNb7O28,1.9580615455261217,0.2949181553416062,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2b, 1a",1,6.0,Nb,1.0,False
mp-849223,LiNb(TeO4)3,1.808296542075032,1.22133373728628,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-849406,K4Li3Nb18P12(WO42)2,1.941573816354276,0.3516783473983164,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Nb,1.0,False
mp-849406,K4Li3Nb18P12(WO42)2,1.941573816354276,0.3516783473983164,"[6.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Nb,1.0,False
mp-8496,Sr2SmNbO6,2.031442468049104,0.0207237675444799,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Nb,0.0,True
mp-849661,La2Nb2N2O5,1.8803684082787355,0.8504460984281306,"[2.0, 4.0, 5.0, 6.0]",5.0,5.0,5.0,Octahedron,1a,1,2.0,Nb,0.0,True
mp-849661,La2Nb2N2O5,1.8803684082787355,0.8504460984281306,"[2.0, 4.0, 5.0, 6.0]",5.0,5.0,5.0,Octahedron,1a,1,4.0,Nb,0.0,True
mp-849661,La2Nb2N2O5,1.8803684082787355,0.8504460984281306,"[2.0, 4.0, 5.0, 6.0]",5.0,5.0,5.0,Octahedron,1a,1,5.0,Nb,0.0,True
mp-849661,La2Nb2N2O5,1.8803684082787355,0.8504460984281306,"[2.0, 4.0, 5.0, 6.0]",5.0,5.0,5.0,Octahedron,1a,1,6.0,Nb,0.0,True
mp-850091,Li9Nb10Cr6(PO4)24,1.937725506547973,0.3195119367669428,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-850091,Li9Nb10Cr6(PO4)24,1.937725506547973,0.3195119367669428,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Nb,1.0,False
mp-850556,La3Nb8O24,1.9272007422095307,0.4560924413853623,[6.0],5.0,5.0,5.0,Octahedron,4j,1,6.0,Nb,0.0,True
mp-861271,LiMnNbO4,2.036066925181571,0.6544333621193481,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,Nb,0.0,True
mp-862893,ThNb4O12,1.935368271402733,0.3967613687664658,[6.0],5.0,5.0,5.0,Octahedron,"4l, 2h",1,6.0,Nb,0.0,True
mp-863370,K6Nb11O30,1.9624637563089844,0.3133208858900959,"[9.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,9.0,Nb,1.0,False
mp-863370,K6Nb11O30,1.9624637563089844,0.3133208858900959,"[9.0, 6.0]",4.5,4.0,5.0,no_data,no_data,1,6.0,Nb,1.0,False
mp-8846,Ba3Nb5O15,2.042356319796624,-0.0560183975166776,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2c, 8j",1,6.0,Nb,1.0,False
mp-8846,Ba3Nb5O15,2.042356319796624,-0.0560183975166776,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"2c, 8j",1,6.0,Nb,1.0,False
mp-9595,NbInO4,1.746962773548717,1.8249675488706647,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Nb,0.0,True
mp-9808,Rb3NbO8,1.412675435754544,1.3683770943601714,[8.0],5.0,5.0,5.0,Dodecahedron with triangular faces - p2345 plane normalized,1a,1,8.0,Nb,0.0,True
mp-984755,Nb4Ag2O11,1.9415912088695275,0.5027721949317104,"[6.0, 7.0]",5.0,5.0,5.0,"Octahedron, Pentagonal bipyramid","2a, 6b",2,6.0,Nb,0.0,True
mp-984755,Nb4Ag2O11,1.9415912088695275,0.5027721949317104,"[6.0, 7.0]",5.0,5.0,5.0,"Octahedron, Pentagonal bipyramid","2a, 6b",2,7.0,Nb,0.0,True
