material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Rh_wyckoff,num_Rh_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,19,6,2.0132901626954864,2.097421771831905,2.0561610582654115,0.03024128798723854,0.08413160913641837,82.53080024567443,35.54613717429272,18.346706921462644,173.82907442920484,6,1.0,8,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,20,6,2.0141593639013706,2.0974540776174737,2.0566156203802692,0.02988432218303933,0.08329471371610309,82.53904219246834,35.545775628150636,18.33223341018611,173.8000430222072,6,1.0,9,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,21,6,2.019950414081037,2.110890041294651,2.0639344396700263,0.03042823995863167,0.09093962721361404,98.7203695750076,37.808062378436496,46.7026052835224,177.6159683765762,6,1.0,10,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,22,6,2.0186171012885774,2.100610634164081,2.0604727742944324,0.031076705495847796,0.08199353287550348,98.41107861766837,37.77874134813827,45.57499080748899,176.23656943102202,6,1.0,11,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,23,6,2.0202129314491604,2.1000412656940757,2.060449987898504,0.030744727743944014,0.07982833424491531,98.41991175580571,37.765704490739736,45.574734131653976,176.22718120881592,6,1.0,12,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,24,6,2.020004503344823,2.1117290873858607,2.0641467551773327,0.030685121723992227,0.0917245840410379,82.43635948088686,35.71207006433417,18.10696673367248,175.02517986428677,6,1.0,13,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,25,6,2.014159363901372,2.0974540776174737,2.0566156203802692,0.029884322183039415,0.08329471371610175,82.53904219246836,35.545775628150665,18.33223341018611,173.80004302220735,6,1.0,14,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,26,6,2.0132901626954927,2.097421771831903,2.056161058265413,0.03024128798723736,0.08413160913641038,82.53080024567443,35.54613717429273,18.346706921462644,173.82907442920498,6,1.0,15,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,27,6,2.0199504140810403,2.11089004129465,2.0639344396700263,0.03042823995863077,0.0909396272136096,85.78435734460275,34.455750342858586,28.93276903254378,177.6159683765762,6,1.0,16,Octahedron
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2c,1,6.0,Rh,1.0,False,28,6,2.020212931449161,2.1000412656940766,2.0604499878985045,0.03074472774394389,0.07982833424491576,98.41991175580571,37.76570449073976,45.574734131654026,176.22718120881592,6,1.0,17,Octahedron
