material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Tl_wyckoff,num_Tl_chemenvs,CN,element,charge_range,is_single_charge
mp-1208422,TlCr2FeO8,2.795686392382738,0.1283609353832553,[10.0],1.0,1.0,1.0,Pentagonal prism,4c,1,10.0,Tl,0.0,True
mp-1208571,Tl2Ni2(MoO4)3,2.7909763172669924,0.2050242757548625,"[12.0, 6.0]",1.0,1.0,1.0,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",4a,2,12.0,Tl,0.0,True
mp-1208571,Tl2Ni2(MoO4)3,2.7909763172669924,0.2050242757548625,"[12.0, 6.0]",1.0,1.0,1.0,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",4a,2,6.0,Tl,0.0,True
mp-1208792,Sr2PrTlCu2O7,0.9993222346589288,2.1768949824021,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Tl,0.0,True
mp-1208994,ScTl(SO4)2,2.6665913918244524,0.2234152304007604,[12.0],1.0,1.0,1.0,Cuboctahedron,1b,1,12.0,Tl,0.0,True
mp-1209177,RbTl3O5,1.9904487313811985,0.4426609235123864,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Tl,0.0,True
mp-1210136,NdTl(WO4)2,2.7604454448899696,0.1098375245346735,[6.0],1.0,1.0,1.0,Square antiprism,4c,1,6.0,Tl,0.0,True
mp-1210788,Mn2Tl2(SO4)3,2.276273783586885,0.3755749264315184,"[15.0, 9.0]",1.0,1.0,1.0,no_data,no_data,1,15.0,Tl,0.0,True
mp-1210788,Mn2Tl2(SO4)3,2.276273783586885,0.3755749264315184,"[15.0, 9.0]",1.0,1.0,1.0,no_data,no_data,1,9.0,Tl,0.0,True
mp-1210978,LuTl(MoO4)2,2.7745193010582305,0.1646774075625355,[11.0],1.0,1.0,1.0,Pentagonal-face capped pentagonal antiprism,4c,1,11.0,Tl,0.0,True
mp-1211724,Mn2Tl2(MoO4)3,2.649094190008795,0.2982390954820081,"[6.0, 9.0]",1.0,1.0,1.0,"Truncated tetrahedron, Tricapped triangular prism (three square-face caps)",4a,2,6.0,Tl,0.0,True
