material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ni_wyckoff,num_Ni_chemenvs,CN,element,charge_range,is_single_charge
mp-1227893,BaPr3(NiO4)2,2.3034739444866017,-0.2031695053868153,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1a, 1b",1,6.0,Ni,1.0,False
mp-1227939,BaLa3(NiO4)2,2.3525143479398727,-0.2411778212378011,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1a, 1b",1,6.0,Ni,1.0,False
mp-1227939,BaLa3(NiO4)2,2.3525143479398727,-0.2411778212378011,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1a, 1b",1,6.0,Ni,1.0,False
mp-1228045,BaSc8Ni2O15,2.692370613243168,-0.5149309533320184,[6.0],2.0,2.0,2.0,Octahedron,4b,1,6.0,Ni,0.0,True
mp-1228235,Ba4Dy2Cu6NiO15,2.33604351491013,-0.3479758507368916,[5.0],2.0,2.0,2.0,Square pyramid,1a,1,5.0,Ni,0.0,True
mp-1228275,Ba4Y2Cu6NiO15,2.2460399866836243,-0.4651139313596975,[5.0],3.0,3.0,3.0,Square pyramid,2a,1,5.0,Ni,0.0,True
mp-1228555,Ba2CaEr3(NiO5)2,2.152255524707047,-0.1097919199452479,[6.0],2.5,2.5,2.5,Octahedron,2c,1,6.0,Ni,0.0,True
mp-1228660,Ba4Ta10NiO30,3.053013050762301,-0.7610589033402909,[6.0],2.0,2.0,2.0,Trigonal prism,1a,1,6.0,Ni,0.0,True
mp-1228702,Ba4Nd2Cu6NiO15,2.101204872596491,-0.1757045178902549,[5.0],3.0,3.0,3.0,Square pyramid,1a,1,5.0,Ni,0.0,True
mp-1228714,BaIn8Ni2O15,2.14788057801924,-0.0098242452135432,[6.0],2.0,2.0,2.0,Octahedron,4b,1,6.0,Ni,0.0,True
mp-1228979,Ba10Ti8NbNiO30,4.434800447406234,-3.37800043138716,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1229261,Ca17Ni19(PO4)24,1.830080481099572,0.2772047084560789,"[5.0, 6.0]",2.0,2.0,2.0,"Trigonal prism, Octahedron, Trigonal bipyramid",1a,3,5.0,Ni,0.0,True
mp-1229261,Ca17Ni19(PO4)24,1.830080481099572,0.2772047084560789,"[5.0, 6.0]",2.0,2.0,2.0,"Trigonal prism, Octahedron, Trigonal bipyramid",1a,3,6.0,Ni,0.0,True
mp-1237121,Na4NiH38(W3O20)2,2.0681664824203763,0.0079738245320239,[6.0],2.0,2.0,2.0,Octahedron,1c,1,6.0,Ni,0.0,True
mp-1254576,AlNi(WO4)2,2.1772523509276622,-0.0908343987557581,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1258028,ZnSi2NiO6,1.7406112505654605,0.4104385627883893,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Ni,0.0,True
mp-1259496,MgSi2NiO6,1.6604930824193218,0.4609147290298215,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Ni,0.0,True
mp-1272688,Ni(PtO2)3,1.694996827529139,0.4035350108970356,[8.0],2.0,2.0,2.0,Cube,4a,1,8.0,Ni,0.0,True
mp-1273274,LiNi3O4,2.1637117677013142,-0.1149101267720326,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1d, 2e, 2f, 1b",1,6.0,Ni,1.0,False
mp-1273274,LiNi3O4,2.1637117677013142,-0.1149101267720326,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1d, 2e, 2f, 1b",1,6.0,Ni,1.0,False
mp-1273461,Li4Si2NiO7,2.0753751980747026,-0.1251517431194196,[4.0],2.0,2.0,2.0,Tetrahedron,1a,1,4.0,Ni,0.0,True
mp-1273466,LiNiO2,1.781353646472046,0.3096104034193601,[6.0],3.0,3.0,3.0,Octahedron,"1c, 1d, 1a, 2e, 1b",1,6.0,Ni,0.0,True
mp-1273482,LiNiO2,1.7807981293447095,0.3102366797521886,[6.0],3.0,3.0,3.0,Octahedron,"2i, 1c, 1h, 1f, 1a, 1e, 1b",1,6.0,Ni,0.0,True
mp-1275006,Li2Ni3SnO8,2.05944641950608,-0.1550566613419621,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1g, 2i, 1h, 1d, 1a",1,6.0,Ni,1.0,False
mp-1275006,Li2Ni3SnO8,2.05944641950608,-0.1550566613419621,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1g, 2i, 1h, 1d, 1a",1,6.0,Ni,1.0,False
mp-1275017,Li3Ti(NiO3)2,1.840754312189517,0.2349772511322274,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,1a,1,6.0,Ni,1.0,False
mp-1275017,Li3Ti(NiO3)2,1.840754312189517,0.2349772511322274,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,1a,1,6.0,Ni,1.0,False
mp-1275560,V2Cu3NiO6,2.0907140313163888,0.0013958154011914,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Ni,0.0,True
mp-1275701,Li2Ni3BiO8,1.275520957728836,1.1621809059311086,[6.0],3.0,3.0,3.0,Octahedron,"2d, 2c, 2e",1,6.0,Ni,0.0,True
mp-1275948,LiNi3O4,1.9286591465260188,0.1427527909423815,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1c, 1d, 1f, 1a, 1e, 1b",1,6.0,Ni,1.0,False
mp-1275948,LiNi3O4,1.9286591465260188,0.1427527909423815,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"1c, 1d, 1f, 1a, 1e, 1b",1,6.0,Ni,1.0,False
mp-1276403,Li3Co2NiO6,1.9681943103398216,0.0786393171217508,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Ni,0.0,True
mp-1276479,NaNi5O6,1.955819172279586,0.141729812724308,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Ni,1.0,False
mp-1276479,NaNi5O6,1.955819172279586,0.141729812724308,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Ni,1.0,False
mp-1277563,Li4TiNi3O8,1.81032134917304,0.2495009160263296,"[6.0, 6.0]",2.5,2.0,3.0,Octahedron,"2c, 4e",1,6.0,Ni,1.0,False
