material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ag_wyckoff,num_Ag_chemenvs,CN,element,charge_range,is_single_charge
mp-557396,Ag2INO3,1.0824063338065375,0.8007231699924505,"[3.0, 4.0, 5.0]",1.0,1.0,1.0,"Pentagonal pyramid, Square antiprism, Pentagonal bipyramid",4a,3,5.0,Ag,0.0,True
mp-557644,Ag2P2PbO7,1.765430413868962,0.5159322274776704,"[4.0, 6.0]",1.0,1.0,1.0,"Square pyramid, Trigonal prism",2i,2,4.0,Ag,0.0,True
mp-557644,Ag2P2PbO7,1.765430413868962,0.5159322274776704,"[4.0, 6.0]",1.0,1.0,1.0,"Square pyramid, Trigonal prism",2i,2,6.0,Ag,0.0,True
mp-557874,KAg(PO3)2,1.618646907865741,0.5361714965826997,[5.0],1.0,1.0,1.0,Trigonal bipyramid,4e,1,5.0,Ag,0.0,True
mp-558151,Ag2PO3F,2.0349744993144756,0.3213801136477275,"[4.0, 4.0, 6.0]",1.0,1.0,1.0,"Trigonal prism, Octahedron","2a, 4f, 2e",2,4.0,Ag,0.0,True
mp-558151,Ag2PO3F,2.0349744993144756,0.3213801136477275,"[4.0, 4.0, 6.0]",1.0,1.0,1.0,"Trigonal prism, Octahedron","2a, 4f, 2e",2,4.0,Ag,0.0,True
mp-558151,Ag2PO3F,2.0349744993144756,0.3213801136477275,"[4.0, 4.0, 6.0]",1.0,1.0,1.0,"Trigonal prism, Octahedron","2a, 4f, 2e",2,6.0,Ag,0.0,True
mp-558201,ZrMn2Ag4(MoO4)6,2.244124463351548,0.1419112189941763,[6.0],1.0,1.0,1.0,"Trigonal prism, Octahedron",4a,2,6.0,Ag,0.0,True
mp-558255,VAg2PO6,2.5258852788052857,0.0019536420223351,[6.0],1.0,1.0,1.0,Square-face capped trigonal prism,4j,1,6.0,Ag,0.0,True
mp-558637,AgTeO3,2.5278355492888145,0.0538174703079788,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Octahedron",4e,2,6.0,Ag,0.0,True
mp-558637,AgTeO3,2.5278355492888145,0.0538174703079788,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Octahedron",4e,2,7.0,Ag,0.0,True
mp-558712,Ag2BiO3,2.109939043316858,0.2348557427467129,"[2.0, 3.0]",1.5,1.5,1.5,"Linear, Trigonal plane","4b, 4d",2,2.0,Ag,0.0,True
mp-558712,Ag2BiO3,2.109939043316858,0.2348557427467129,"[2.0, 3.0]",1.5,1.5,1.5,"Linear, Trigonal plane","4b, 4d",2,3.0,Ag,0.0,True
mp-558768,Ag2TeO4,2.2051162033060883,0.173397291969254,"[2.0, 4.0, 6.0]",1.0,1.0,1.0,"Trigonal bipyramid, See-saw, Pentagonal pyramid, Trigonal prism","4f, 2e",4,2.0,Ag,0.0,True
mp-558768,Ag2TeO4,2.2051162033060883,0.173397291969254,"[2.0, 4.0, 6.0]",1.0,1.0,1.0,"Trigonal bipyramid, See-saw, Pentagonal pyramid, Trigonal prism","4f, 2e",4,4.0,Ag,0.0,True
mp-558768,Ag2TeO4,2.2051162033060883,0.173397291969254,"[2.0, 4.0, 6.0]",1.0,1.0,1.0,"Trigonal bipyramid, See-saw, Pentagonal pyramid, Trigonal prism","4f, 2e",4,6.0,Ag,0.0,True
mp-558786,Ag6GeSO8,1.8955303293901764,0.3916681757568786,[4.0],1.0,1.0,1.0,"See-saw, Square non-coplanar","8f, 4e",2,4.0,Ag,0.0,True
mp-558950,AgAsO3,2.0928224047547275,0.2605060769578716,"[4.0, 5.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Face-capped octahedron, Pentagonal pyramid, Trigonal prism, Trigonal bipyramid",4a,5,4.0,Ag,0.0,True
mp-558950,AgAsO3,2.0928224047547275,0.2605060769578716,"[4.0, 5.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Face-capped octahedron, Pentagonal pyramid, Trigonal prism, Trigonal bipyramid",4a,5,5.0,Ag,0.0,True
mp-558950,AgAsO3,2.0928224047547275,0.2605060769578716,"[4.0, 5.0, 7.0]",1.0,1.0,1.0,"Square-face capped trigonal prism, Face-capped octahedron, Pentagonal pyramid, Trigonal prism, Trigonal bipyramid",4a,5,7.0,Ag,0.0,True
mp-559257,AgTeO3,2.174116093962218,0.4195092742581341,[5.0],2.0,2.0,2.0,"Trigonal bipyramid, Trigonal prism",4e,2,5.0,Ag,0.0,True
mp-559520,In2Ag3(PO4)3,2.6397272808520453,0.0345189434480914,"[6.0, 8.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","2b, 2e",3,6.0,Ag,0.0,True
mp-559520,In2Ag3(PO4)3,2.6397272808520453,0.0345189434480914,"[6.0, 8.0]",1.0,1.0,1.0,"Hexagonal bipyramid, Octahedron, Dodecahedron with triangular faces - p2345 plane normalized","2b, 2e",3,8.0,Ag,0.0,True
mp-559606,ScCr2Ag(H2O5)2,2.6794390729465056,-0.1302112228083254,[4.0],1.0,1.0,1.0,Bicapped octahedron (opposed cap faces),1b,1,4.0,Ag,0.0,True
mp-559803,AgBO2,1.9692028307972556,0.3664170459237841,"[2.0, 3.0, 4.0, 5.0, 6.0]",1.0,1.0,1.0,"Square plane, Trigonal plane, Pentagonal pyramid, Trigonal prism, Square pyramid","8d, 4a, 4c",5,2.0,Ag,0.0,True
mp-559803,AgBO2,1.9692028307972556,0.3664170459237841,"[2.0, 3.0, 4.0, 5.0, 6.0]",1.0,1.0,1.0,"Square plane, Trigonal plane, Pentagonal pyramid, Trigonal prism, Square pyramid","8d, 4a, 4c",5,3.0,Ag,0.0,True
mp-559803,AgBO2,1.9692028307972556,0.3664170459237841,"[2.0, 3.0, 4.0, 5.0, 6.0]",1.0,1.0,1.0,"Square plane, Trigonal plane, Pentagonal pyramid, Trigonal prism, Square pyramid","8d, 4a, 4c",5,4.0,Ag,0.0,True
mp-559803,AgBO2,1.9692028307972556,0.3664170459237841,"[2.0, 3.0, 4.0, 5.0, 6.0]",1.0,1.0,1.0,"Square plane, Trigonal plane, Pentagonal pyramid, Trigonal prism, Square pyramid","8d, 4a, 4c",5,5.0,Ag,0.0,True
mp-559803,AgBO2,1.9692028307972556,0.3664170459237841,"[2.0, 3.0, 4.0, 5.0, 6.0]",1.0,1.0,1.0,"Square plane, Trigonal plane, Pentagonal pyramid, Trigonal prism, Square pyramid","8d, 4a, 4c",5,6.0,Ag,0.0,True
mp-560130,Fe2Ag(MoO4)3,2.159386189736644,0.1859164750644236,[4.0],1.0,1.0,1.0,Trigonal bipyramid,2i,1,4.0,Ag,0.0,True
mp-560230,CeAg6(NO3)9,2.318220867766184,0.155480614753325,"[4.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Trigonal prism",6e,2,4.0,Ag,0.0,True
mp-560230,CeAg6(NO3)9,2.318220867766184,0.155480614753325,"[4.0, 8.0]",1.0,1.0,1.0,"Square-face bicapped trigonal prism, Trigonal prism",6e,2,8.0,Ag,0.0,True
mp-560342,Ag4GeO4,1.3386683263989458,0.8642947355929312,"[3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal plane, T-shaped, See-saw, Triangular non-coplanar",2i,5,3.0,Ag,0.0,True
mp-560342,Ag4GeO4,1.3386683263989458,0.8642947355929312,"[3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Trigonal plane, T-shaped, See-saw, Triangular non-coplanar",2i,5,4.0,Ag,0.0,True
mp-560584,Si2Ag6O7,1.9501551477424712,0.3347870641095442,"[2.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Linear, T-shaped","4j, 2i",3,2.0,Ag,0.0,True
mp-560584,Si2Ag6O7,1.9501551477424712,0.3347870641095442,"[2.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Linear, T-shaped","4j, 2i",3,3.0,Ag,0.0,True
mp-560584,Si2Ag6O7,1.9501551477424712,0.3347870641095442,"[2.0, 3.0, 4.0]",1.0,1.0,1.0,"Tetrahedron, Linear, T-shaped","4j, 2i",3,4.0,Ag,0.0,True
mp-560717,Ag2CO3,1.567988031508359,0.6032958326486356,"[3.0, 5.0]",1.0,1.0,1.0,"T-shaped, Trigonal prism",6c,2,3.0,Ag,0.0,True
mp-560717,Ag2CO3,1.567988031508359,0.6032958326486356,"[3.0, 5.0]",1.0,1.0,1.0,"T-shaped, Trigonal prism",6c,2,5.0,Ag,0.0,True
mp-561034,Ag9Ge2IO8,1.416779836272709,0.7932233287193737,"[2.0, 3.0, 3.0]",1.0,1.0,1.0,"Linear, Trigonal plane, Triangular non-coplanar","1b, 4j, 2h, 2i",3,2.0,Ag,0.0,True
mp-561034,Ag9Ge2IO8,1.416779836272709,0.7932233287193737,"[2.0, 3.0, 3.0]",1.0,1.0,1.0,"Linear, Trigonal plane, Triangular non-coplanar","1b, 4j, 2h, 2i",3,3.0,Ag,0.0,True
mp-561034,Ag9Ge2IO8,1.416779836272709,0.7932233287193737,"[2.0, 3.0, 3.0]",1.0,1.0,1.0,"Linear, Trigonal plane, Triangular non-coplanar","1b, 4j, 2h, 2i",3,3.0,Ag,0.0,True
mp-561113,Ag2BiO3,1.941033377185591,0.530012044111918,"[2.0, 3.0, 4.0]",1.5,1.5,1.5,"Linear, Trigonal plane, Square plane",2a,3,2.0,Ag,0.0,True
mp-561113,Ag2BiO3,1.941033377185591,0.530012044111918,"[2.0, 3.0, 4.0]",1.5,1.5,1.5,"Linear, Trigonal plane, Square plane",2a,3,3.0,Ag,0.0,True
mp-561113,Ag2BiO3,1.941033377185591,0.530012044111918,"[2.0, 3.0, 4.0]",1.5,1.5,1.5,"Linear, Trigonal plane, Square plane",2a,3,4.0,Ag,0.0,True
mp-561489,AgTeO3,2.8108249387579773,-0.2363868378127532,[6.0],2.0,2.0,2.0,"Pentagonal pyramid, Octahedron","2e, 2c",2,6.0,Ag,0.0,True
mp-562172,CoAg(NO3)3,2.591305560121953,-0.035276634165957,[7.0],1.0,1.0,1.0,Pentagonal bipyramid,4e,1,7.0,Ag,0.0,True
mp-572510,K3AgO2,1.9801099460458915,0.1009705692395961,[2.0],1.0,1.0,1.0,Linear,4a,1,2.0,Ag,0.0,True
mp-608358,CuAgPO4,2.7720189769425643,-0.0223729336139258,[6.0],1.0,1.0,1.0,Pentagonal pyramid,8c,1,6.0,Ag,0.0,True
mp-647305,SiAg5ClO4,1.9755549934940135,0.2918317365304273,"[2.0, 2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",4e,6,2.0,Ag,0.0,True
mp-647305,SiAg5ClO4,1.9755549934940135,0.2918317365304273,"[2.0, 2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",4e,6,2.0,Ag,0.0,True
mp-647305,SiAg5ClO4,1.9755549934940135,0.2918317365304273,"[2.0, 2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",4e,6,2.0,Ag,0.0,True
mp-647305,SiAg5ClO4,1.9755549934940135,0.2918317365304273,"[2.0, 2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",4e,6,3.0,Ag,0.0,True
mp-647305,SiAg5ClO4,1.9755549934940135,0.2918317365304273,"[2.0, 2.0, 2.0, 3.0, 3.0]",1.0,1.0,1.0,"Tetrahedron, Linear, Square plane, T-shaped, See-saw, Trigonal bipyramid",4e,6,3.0,Ag,0.0,True
mp-669466,AgNO3,0.6402828081081405,1.0047093422809903,[8.0],1.0,1.0,1.0,Dodecahedron with triangular faces - p2345 plane normalized,4a,1,8.0,Ag,0.0,True
mp-675327,Ag9(PbO3)4,1.9312556395225475,0.3686122793787315,"[2.0, 3.0]",1.11,1.11,1.11,"Linear, Triangular non-coplanar","4e, 2c",2,2.0,Ag,0.0,True
mp-675327,Ag9(PbO3)4,1.9312556395225475,0.3686122793787315,"[2.0, 3.0]",1.11,1.11,1.11,"Linear, Triangular non-coplanar","4e, 2c",2,3.0,Ag,0.0,True
mp-676581,Ag2CO3,1.5068790576697686,0.605209569102317,"[4.0, 5.0]",1.0,1.0,1.0,"Tetrahedron, Square pyramid","2b, 2a",2,4.0,Ag,0.0,True
mp-676581,Ag2CO3,1.5068790576697686,0.605209569102317,"[4.0, 5.0]",1.0,1.0,1.0,"Tetrahedron, Square pyramid","2b, 2a",2,5.0,Ag,0.0,True
mp-676840,Ag13(PbO3)6,1.9423533472208745,0.3364959210795858,"[2.0, 3.0]",1.08,1.08,1.08,"Linear, Triangular non-coplanar",1a,2,2.0,Ag,0.0,True
mp-676840,Ag13(PbO3)6,1.9423533472208745,0.3364959210795858,"[2.0, 3.0]",1.08,1.08,1.08,"Linear, Triangular non-coplanar",1a,2,3.0,Ag,0.0,True
mp-679997,CsAg2(B5O8)3,2.1829820877911397,0.1894723803222867,"[3.0, 6.0]",1.0,1.0,1.0,Trigonal prism,4c,1,3.0,Ag,0.0,True
mp-679997,CsAg2(B5O8)3,2.1829820877911397,0.1894723803222867,"[3.0, 6.0]",1.0,1.0,1.0,Trigonal prism,4c,1,6.0,Ag,0.0,True
