material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge
mp-1227234,CaMn2Cu3(RuO6)2,1.9517770139258843,0.1680362387642727,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Ru,0.0,True
mp-1227254,CaMnCu3(RuO4)3,1.9159902511921816,0.4340058999013488,[6.0],5.0,5.0,5.0,Octahedron,3d,1,6.0,Ru,0.0,True
mp-1227481,Ca2NdRuO6,2.00025007075576,-0.0532039220970735,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1227546,Ca2LaRuO6,1.9939421007875235,-0.0150243404295398,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ru,0.0,True
mp-1227569,Ca2LaRuO6,2.000966836619349,-0.0506214964945588,[6.0],5.0,5.0,5.0,Octahedron,"1d, 1g",1,6.0,Ru,0.0,True
mp-1227575,Ca2MnRuO6,2.0346418492188185,-0.3021973368859068,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ru,0.0,True
mp-1227718,Ca2TiRuO6,1.9988772567077795,0.0259766305287914,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ru,0.0,True
mp-1227781,CaGa2Cu3(RuO6)2,1.977533158074523,0.0459415586644151,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Ru,0.0,True
mp-1227963,Ba3TmIrRuO9,1.554814913794308,2.483308789831921,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228020,Ba3YIrRuO9,1.5370184303801429,2.559323412848466,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ru,0.0,True
mp-1228085,Ba3Mn2RuO9,1.6476275092911865,1.881252536515708,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ru,0.0,True
mp-1228145,Ba6Ca2Ta(RuO6)3,1.7162325857866918,1.5237005114360591,[6.0],5.0,5.0,5.0,Octahedron,"1a, 1c",1,6.0,Ru,0.0,True
