material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ru_wyckoff,num_Ru_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,24.0,6.0,1.9784313151535056,2.061427747093207,2.0060823358310897,0.03904511932764224,0.08299643193970141,48.34419105856639,34.36006134031638,0.0,110.05950364996673,2.0,0.3333333333333333,4,Octahedron
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,25.0,6.0,1.9784726799999994,2.061178436536408,2.0060414038454693,0.03898776971063506,0.08270575653640844,68.19277131004247,33.04920266270844,0.0,110.01795980002633,2.0,0.3333333333333333,5,Octahedron
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,26.0,6.0,1.9770891635496173,2.0911333822814266,2.0123092378071723,0.04810722666485187,0.11404421873180937,8.820594485051352,9.55661926576773,0.0,22.794386609581064,2.0,0.3333333333333333,6,Octahedron
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,27.0,6.0,1.9784313151535082,2.0614277470932065,2.00608233583109,0.03904511932764214,0.0829964319396983,48.344190978071836,34.36006145357125,0.0,110.05950364996674,2.0,0.3333333333333333,7,Octahedron
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,28.0,6.0,1.978454383294755,2.0631643077324866,2.0061545118942274,0.039157514524206155,0.08470992443773162,68.1441868331242,33.008482389776546,0.0,109.91614898163645,2.0,0.3333333333333333,8,Octahedron
mp-1173635,Sr18La2MgRu9O40,2.319982282104445,-0.766112907894233,[6.0],4.0,4.0,4.0,Octahedron,"1a, 2i",1,6.0,Ru,0.0,True,29.0,6.0,1.978410145752787,2.0649117870162694,2.0062940983504975,0.039381099807220085,0.08650164126348248,68.1914055483849,33.05397729463456,8.537736462515939e-07,110.11720319120438,2.0,0.3333333333333333,9,Octahedron
mp-1173638,Sr10Cu(RuO5)4,2.22528424594552,-0.6247584247540534,[6.0],4.0,4.0,4.0,Octahedron,4h,1,6.0,Ru,0.0,True,11.0,6.0,1.9028274796039026,2.0786455706244897,1.9787588437654822,0.07345581934279663,0.1758180910205871,100.09482961053423,37.9617787559297,35.083514859031666,178.43194791114783,6.0,1.0,1,Octahedron
mp-1173638,Sr10Cu(RuO5)4,2.22528424594552,-0.6247584247540534,[6.0],4.0,4.0,4.0,Octahedron,4h,1,6.0,Ru,0.0,True,12.0,6.0,1.9028216554215613,2.0786519269760912,1.978758190139388,0.07345692363787229,0.1758302715545299,107.70659398689521,35.42958714060598,89.18649166611105,178.86876629001387,6.0,1.0,2,Octahedron
mp-1173638,Sr10Cu(RuO5)4,2.22528424594552,-0.6247584247540534,[6.0],4.0,4.0,4.0,Octahedron,4h,1,6.0,Ru,0.0,True,13.0,6.0,1.9028216554215602,2.07865192697609,1.9787581901393876,0.07345692363787229,0.17583027155452968,99.43936438237417,38.149543705743284,33.62953612351606,178.43166318147962,6.0,1.0,3,Octahedron
mp-1173638,Sr10Cu(RuO5)4,2.22528424594552,-0.6247584247540534,[6.0],4.0,4.0,4.0,Octahedron,4h,1,6.0,Ru,0.0,True,14.0,6.0,1.9028274796039029,2.078645570624491,1.9787588437654822,0.07345581934279681,0.1758180910205882,98.61737400800465,46.087673438165716,35.08351485903168,178.4319479111476,6.0,1.0,4,Octahedron
