material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge
mp-1190652,Eu2CuTe2(SO7)2,3.4069647057344303,-1.1985515096551809,[6.0],2.0,2.0,2.0,Octahedron,1b,1,6.0,Cu,0.0,True
mp-1191302,Li6Cu(B2O5)2,1.9555753210093505,0.0365965361215063,[4.0],2.0,2.0,2.0,Square plane,1a,1,4.0,Cu,0.0,True
mp-1191323,CuMoO4,1.987211587353016,0.0847701790292083,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square pyramid",2i,2,5.0,Cu,0.0,True
mp-1191323,CuMoO4,1.987211587353016,0.0847701790292083,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square pyramid",2i,2,6.0,Cu,0.0,True
mp-1191650,VCuBi2O7,1.8642696466375568,0.0293923659020516,[4.0],2.0,2.0,2.0,Square plane,"1g, 1b",1,4.0,Cu,0.0,True
mp-1191652,CuH2PbSO6,1.3696167755613264,0.7031381732770129,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Cu,0.0,True
mp-1191858,Tl4CuTeO6,1.0291670072970251,1.233436149212036,[5.0],2.0,2.0,2.0,Trigonal bipyramid,2i,1,5.0,Cu,0.0,True
mp-1192231,CuIO4,2.898694561082278,-0.6445075074071257,[6.0],2.0,2.0,2.0,Square plane,4a,1,6.0,Cu,0.0,True
mp-1192522,Ba2CuP2O9,0.8207805523779499,1.7969537027792488,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Cu,0.0,True
mp-1192764,Cu3(CO4)2,1.871568713469156,0.1335506606528134,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane","2a, 4e",2,4.0,Cu,0.0,True
mp-1192764,Cu3(CO4)2,1.871568713469156,0.1335506606528134,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane","2a, 4e",2,5.0,Cu,0.0,True
mp-1192807,Cu2Te2Pb(ClO3)2,1.947707801319588,0.0147474117097207,"[3.0, 4.0]",2.0,2.0,2.0,Square plane,2a,1,3.0,Cu,0.0,True
mp-1192807,Cu2Te2Pb(ClO3)2,1.947707801319588,0.0147474117097207,"[3.0, 4.0]",2.0,2.0,2.0,Square plane,2a,1,4.0,Cu,0.0,True
mp-1192830,Cu3(MoO5)2,0.7686434667181576,1.2187674280527707,[6.0],2.0,2.0,2.0,Octahedron,"2a, 4e",1,6.0,Cu,0.0,True
mp-1192969,SrCuO3,1.9062996013975744,0.0372045838345335,[6.0],2.0,2.0,2.0,Octahedron,"2c, 1a, 1b",1,6.0,Cu,0.0,True
mp-1193249,Na5Cu3(PO4)4,2.0024794322612696,0.0228569536777811,"[5.0, 4.0]",2.5,2.0,3.0,"Square pyramid, Square plane","2i, 1a",2,5.0,Cu,1.0,False
mp-1193249,Na5Cu3(PO4)4,2.0024794322612696,0.0228569536777811,"[5.0, 4.0]",2.5,2.0,3.0,"Square pyramid, Square plane","2i, 1a",2,4.0,Cu,1.0,False
mp-1193268,Cu3H2(CO4)2,1.925086012549622,0.1240862045432416,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",2a,2,4.0,Cu,0.0,True
mp-1193268,Cu3H2(CO4)2,1.925086012549622,0.1240862045432416,"[4.0, 5.0]",2.0,2.0,2.0,"Square pyramid, Square plane",2a,2,5.0,Cu,0.0,True
mp-1193279,Na5Cu3(AsO4)4,2.034215041287512,-0.04034162989082,"[5.0, 4.0]",2.5,2.0,3.0,"Square pyramid, Square plane","2i, 1a",2,5.0,Cu,1.0,False
mp-1193279,Na5Cu3(AsO4)4,2.034215041287512,-0.04034162989082,"[5.0, 4.0]",2.5,2.0,3.0,"Square pyramid, Square plane","2i, 1a",2,4.0,Cu,1.0,False
mp-1193551,SrCu2Se2(ClO3)2,2.0077535481821287,-0.0272392467855357,"[3.0, 4.0]",2.0,2.0,2.0,Square plane,2a,1,3.0,Cu,0.0,True
mp-1193551,SrCu2Se2(ClO3)2,2.0077535481821287,-0.0272392467855357,"[3.0, 4.0]",2.0,2.0,2.0,Square plane,2a,1,4.0,Cu,0.0,True
mp-1193763,Cu3Mo2O9,1.3888951544704415,0.7007494000259553,"[5.0, 6.0]",2.0,2.0,2.0,"Trigonal bipyramid, Square pyramid",2i,2,5.0,Cu,0.0,True
mp-1193763,Cu3Mo2O9,1.3888951544704415,0.7007494000259553,"[5.0, 6.0]",2.0,2.0,2.0,"Trigonal bipyramid, Square pyramid",2i,2,6.0,Cu,0.0,True
mp-1193833,Cu2PbSe2(ClO3)2,1.3040917323392502,0.8364549168079506,"[4.0, 4.0]",2.0,2.0,2.0,"Octahedron, See-saw","2e, 2d",2,4.0,Cu,0.0,True
mp-1193833,Cu2PbSe2(ClO3)2,1.3040917323392502,0.8364549168079506,"[4.0, 4.0]",2.0,2.0,2.0,"Octahedron, See-saw","2e, 2d",2,4.0,Cu,0.0,True
mp-1193941,Mg2V2CuO8,3.131054340197715,-0.9094524876371312,[6.0],2.0,2.0,2.0,Octahedron,2d,1,6.0,Cu,0.0,True
mp-1194046,CuH6Pb4(SO7)2,0.2269747039262692,1.7772790857404497,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Cu,0.0,True
mp-1194161,Cr2Cu5(P2O9)2,1.7978747756957285,0.313210330642994,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square pyramid","1c, 4j",2,5.0,Cu,0.0,True
mp-1194161,Cr2Cu5(P2O9)2,1.7978747756957285,0.313210330642994,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Square pyramid","1c, 4j",2,6.0,Cu,0.0,True
mp-1194283,Sr2Cu(HO)6,1.967938746936324,0.0205454875745735,[4.0],2.0,2.0,2.0,Square plane,2d,1,4.0,Cu,0.0,True
