material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Cu_wyckoff,num_Cu_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1042399,MgCuAs2O7,1.6980894739941377,0.3944537529358147,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cu,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1042425,ZnCuAs2O7,1.7036898119986543,0.3756833948336983,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Cu,0.0,True,,,,,,,,,,,,,,0,Trigonal bipyramid
mp-1043118,Cu3(MoO3)4,1.9553389004899189,0.0708379832162109,[4.0],3.0,3.0,3.0,Square plane,"1e, 1g, 1f",1,4.0,Cu,0.0,True,,,,,,,,,,,,,,0,Square plane
mp-1043730,CaTiCu(PO4)3,1.7698641754811324,0.3372467202294726,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Cu,0.0,True,4.0,6.0,1.9448239685515711,2.074897227210661,2.0098604247739646,0.06503305915804002,0.1300732586590898,104.94790774495188,31.288932198013537,80.39926758771917,166.3370968324144,6.0,1.0,1,Octahedron
mp-1043730,CaTiCu(PO4)3,1.7698641754811324,0.3372467202294726,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Cu,0.0,True,5.0,6.0,1.9441336607713389,2.0742158729063025,2.0091780786393034,0.06503046089079344,0.13008221213496363,41.46837384299293,14.538147035623298,15.615816895678247,56.685404726118705,6.0,1.0,2,Octahedron
mp-1043903,CaLaFeCuO6,1.486266557446415,0.7166460571488464,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Cu,0.0,True,6.0,6.0,1.9071397303352318,2.0320762057225306,1.984753106507341,0.053373846104170466,0.1249364753872988,50.472444270633076,25.928603885089668,10.47758379611945,90.0993778598102,6.0,1.0,1,Octahedron
mp-1043903,CaLaFeCuO6,1.486266557446415,0.7166460571488464,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Cu,0.0,True,7.0,6.0,1.907027046215824,2.03216194126801,1.984638031822273,0.05362332713307893,0.125134895052186,59.410392872132306,24.99615192780579,21.446361671997973,96.90307161140719,6.0,1.0,2,Octahedron
mp-1044124,MgCuP2O7,3.702311487391884,-1.3516600566492791,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,4.0,6.0,1.9427672361691213,2.3934896851239134,2.1578377239538464,0.17129794217775482,0.4507224489547921,69.15369480772536,28.066053540632858,24.17527053056978,127.36629107866175,6.0,1.0,1,Octahedron
mp-1044124,MgCuP2O7,3.702311487391884,-1.3516600566492791,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,5.0,6.0,1.9427672361691213,2.3934896851239125,2.1578377239538464,0.17129794217775454,0.4507224489547912,69.15369480772537,28.066053540632858,24.17527053056981,127.36629107866175,6.0,1.0,2,Octahedron
mp-1044124,MgCuP2O7,3.702311487391884,-1.3516600566492791,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,6.0,6.0,1.9427672361691208,2.393489685123911,2.157837723953847,0.17129794217775443,0.4507224489547903,92.16814525471304,35.16471578491765,4.409537564382016,166.9268215057805,6.0,1.0,3,Octahedron
mp-1044124,MgCuP2O7,3.702311487391884,-1.3516600566492791,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,7.0,6.0,1.9427672361691222,2.393489685123913,2.157837723953847,0.17129794217775426,0.45072244895479074,92.16814525471305,35.16471578491762,4.409537564382182,166.92682150578054,6.0,1.0,4,Octahedron
mp-1044464,CaPr(CuO3)2,1.9597793157416763,0.0009107566215697,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Cu,0.0,True,4.0,6.0,1.952442271726668,1.9740027493932806,1.9618323162772497,0.007910694659375774,0.02156047766661251,60.173340186139036,22.856756885118948,21.910803304133545,93.07380175194943,6.0,1.0,1,Octahedron
mp-1044464,CaPr(CuO3)2,1.9597793157416763,0.0009107566215697,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Cu,0.0,True,5.0,6.0,1.9524422717266683,1.9740027493932808,1.9618323162772493,0.007910694659375783,0.02156047766661251,60.00352565313517,25.899276997990828,21.910803304133527,99.52575205281431,6.0,1.0,2,Octahedron
mp-1044464,CaPr(CuO3)2,1.9597793157416763,0.0009107566215697,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Cu,0.0,True,6.0,6.0,1.9524422717266683,1.9740027493932801,1.9618323162772493,0.00791069465937564,0.021560477666611844,99.64166417352708,37.94953333012449,35.62857957491765,179.09821131946023,6.0,1.0,3,Octahedron
mp-1044464,CaPr(CuO3)2,1.9597793157416763,0.0009107566215697,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Cu,0.0,True,7.0,6.0,1.9524422717266685,1.9740027493932801,1.9618323162772497,0.007910694659375574,0.02156047766661162,89.1019130815388,37.31751689624393,16.74713671848118,179.09821131945986,6.0,1.0,4,Octahedron
mp-1044602,ZnCuP2O7,4.455052759258921,-2.008339047186532,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,4.0,6.0,1.9314546186494352,2.4777945016525993,2.1753325890401145,0.2159936748196501,0.546339883003164,69.03889902620922,28.10878100078926,23.79525983771184,127.34183626791972,6.0,1.0,1,Octahedron
mp-1044602,ZnCuP2O7,4.455052759258921,-2.008339047186532,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,5.0,6.0,1.9314546186494346,2.4777945016525997,2.175332589040114,0.21599367481964993,0.5463398830031652,69.03889902620922,28.108781000789264,23.795259837711825,127.34183626791972,6.0,1.0,2,Octahedron
mp-1044602,ZnCuP2O7,4.455052759258921,-2.008339047186532,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,6.0,6.0,1.9314546186494346,2.4777945016525997,2.1753325890401145,0.21599367481964948,0.5463398830031652,92.21393795968297,35.3116580532484,4.366605356670244,167.6199313225837,6.0,1.0,3,Octahedron
mp-1044602,ZnCuP2O7,4.455052759258921,-2.008339047186532,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Cu,0.0,True,7.0,6.0,1.9314546186494361,2.477794501652599,2.175332589040114,0.21599367481964968,0.5463398830031627,92.21393795968297,35.3116580532484,4.366605356670244,167.61993132258374,6.0,1.0,4,Octahedron
mp-1045605,YCu7O12,1.8045919192789763,0.1941110793144051,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Square plane","4c, 3b",2,4.0,Cu,0.0,True,,,,,,,,,,,,,,0,"Octahedron, Square plane"
