material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,In_wyckoff,num_In_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1190195,LiIn(WO4)2,2.2070678566123094,-0.0315276850154226,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,In,0.0,True,3.0,6.0,2.1612654479659126,2.2210934972275775,2.1835273860352094,0.026714692035778535,0.05982804926166496,97.83299319604316,34.42127694605209,52.1390674238511,167.45609944732675,6.0,1.0,2,Octahedron
mp-1190319,In2Ge2O7,1.6165065511642862,0.7103499739278233,[8.0],3.0,3.0,3.0,Cube,4c,1,8.0,In,0.0,True,0.0,8.0,2.1088810721577502,2.396905370062508,2.3248992955863175,0.12471817944634751,0.2880242979047578,66.67076947413958,34.98099473916934,16.013043869630323,116.66061779653602,8.0,1.0,1,Cube
mp-1190319,In2Ge2O7,1.6165065511642862,0.7103499739278233,[8.0],3.0,3.0,3.0,Cube,4c,1,8.0,In,0.0,True,1.0,8.0,2.1088810721577502,2.396905370062507,2.324899295586317,0.12471817944634771,0.2880242979047569,66.67076947413958,34.98099473916935,16.013043869630323,116.66061779653602,8.0,1.0,2,Cube
mp-1190319,In2Ge2O7,1.6165065511642862,0.7103499739278233,[8.0],3.0,3.0,3.0,Cube,4c,1,8.0,In,0.0,True,2.0,8.0,2.1088810721577493,2.3969053700625067,2.3248992955863166,0.12471817944634805,0.28802429790475736,66.67076947413956,34.98099473916934,16.013043869630323,116.66061779653602,8.0,1.0,3,Cube
mp-1190319,In2Ge2O7,1.6165065511642862,0.7103499739278233,[8.0],3.0,3.0,3.0,Cube,4c,1,8.0,In,0.0,True,3.0,8.0,2.108881072157748,2.396905370062507,2.3248992955863166,0.12471817944634825,0.28802429790475914,102.85714282665094,36.676028558725406,63.33938220346399,180.0,8.0,1.0,4,Cube
mp-1191326,InTeBrO3,2.3099905395051685,-0.1745297312204575,[4.0],3.0,3.0,3.0,Octahedron,4e,1,4.0,In,0.0,True,0.0,4.0,2.1684396993513024,2.207404386178898,2.187715390933655,0.019259388587624843,0.038964686827595685,81.30437473468379,32.17530718687393,12.747704686301423,112.90908097361277,4.0,1.0,1,Octahedron
mp-1191326,InTeBrO3,2.3099905395051685,-0.1745297312204575,[4.0],3.0,3.0,3.0,Octahedron,4e,1,4.0,In,0.0,True,1.0,4.0,2.1684396993513024,2.2074043861788986,2.1877153909336546,0.01925938858762485,0.03896468682759613,66.48931720118685,35.06279802368778,12.881450848830095,101.35883608526046,4.0,1.0,2,Octahedron
mp-1191326,InTeBrO3,2.3099905395051685,-0.1745297312204575,[4.0],3.0,3.0,3.0,Octahedron,4e,1,4.0,In,0.0,True,2.0,4.0,2.1684396993513015,2.2074043861788977,2.187715390933654,0.01925938858762474,0.03896468682759613,81.30437473468378,32.17530718687394,12.747704686301423,112.9090809736128,4.0,1.0,3,Octahedron
mp-1191326,InTeBrO3,2.3099905395051685,-0.1745297312204575,[4.0],3.0,3.0,3.0,Octahedron,4e,1,4.0,In,0.0,True,3.0,4.0,2.1684396993513024,2.2074043861788986,2.1877153909336546,0.01925938858762441,0.03896468682759613,66.48931720118684,35.06279802368779,12.881450848830067,101.35883608526045,4.0,1.0,4,Octahedron
mp-1191502,VIn(SeO4)2,2.089175646954157,0.1565180742027042,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,In,0.0,True,2.0,6.0,2.148729146833663,2.247000166125833,2.1997958913879487,0.03648883180406159,0.09827101929217008,53.20516093755685,21.70173639930861,17.230909785924677,103.65214633396636,6.0,1.0,1,Octahedron
mp-1191502,VIn(SeO4)2,2.089175646954157,0.1565180742027042,[6.0],3.0,3.0,3.0,Octahedron,2c,1,6.0,In,0.0,True,3.0,6.0,2.1487291468336633,2.247000166125834,2.1997958913879487,0.03648883180406168,0.09827101929217053,48.759403240681685,18.598502893396706,17.230909785924677,77.93020132532324,6.0,1.0,2,Octahedron
mp-1191856,In2As2Cl2O5,2.1713198629783568,0.0588714741765267,"[4.0, 5.0]",3.0,3.0,3.0,Octahedron,2i,1,4.0,In,0.0,True,2.0,4.0,2.1745997381177586,2.2615731121405402,2.2057511126170657,0.03530122266734816,0.0869733740227816,61.85322868779894,32.100495233611944,5.8887346570752275,92.82000852723041,4.0,1.0,1,Octahedron
mp-1191856,In2As2Cl2O5,2.1713198629783568,0.0588714741765267,"[4.0, 5.0]",3.0,3.0,3.0,Octahedron,2i,1,4.0,In,0.0,True,3.0,4.0,2.1745997381177578,2.2615731121405416,2.2057511126170657,0.03530122266734899,0.08697337402278382,61.853228687798946,32.10049523361195,5.8887346570752275,92.82000852723043,4.0,1.0,2,Octahedron
mp-1191856,In2As2Cl2O5,2.1713198629783568,0.0588714741765267,"[4.0, 5.0]",3.0,3.0,3.0,Octahedron,2i,1,5.0,In,0.0,True,0.0,5.0,2.145127536618074,2.2774612410619683,2.215709259546768,0.05235993860335451,0.13233370444389436,99.89346420723598,28.66038711548164,68.97928371344751,154.80514988072943,5.0,1.0,1,Octahedron
mp-1191856,In2As2Cl2O5,2.1713198629783568,0.0588714741765267,"[4.0, 5.0]",3.0,3.0,3.0,Octahedron,2i,1,5.0,In,0.0,True,1.0,5.0,2.145127536618073,2.277461241061968,2.2157092595467676,0.052359938603354576,0.1323337044438948,99.893464207236,28.660387115481647,68.9792837134475,154.80514988072946,5.0,1.0,2,Octahedron
mp-1192413,CsInTe3O8,2.207531364753191,-0.007288371051163,[6.0],3.0,3.0,3.0,Octahedron,"1e, 1g",1,6.0,In,0.0,True,2.0,6.0,2.1946042704370408,2.2051962390892936,2.199673534060299,0.004336024047742253,0.01059196865225287,58.55727983909012,36.17118803392427,6.757742206515569,99.38926747541072,6.0,1.0,1,Octahedron
mp-1192413,CsInTe3O8,2.207531364753191,-0.007288371051163,[6.0],3.0,3.0,3.0,Octahedron,"1e, 1g",1,6.0,In,0.0,True,3.0,6.0,2.202259203596285,2.2083105238478415,2.2050530077807977,0.002492106301801951,0.0060513202515566356,59.37009473801836,25.645942113315694,18.39343591167602,100.72181068789261,6.0,1.0,2,Octahedron
mp-1192556,RbInTe3O8,2.197119524233572,0.0056452322157223,[6.0],3.0,3.0,3.0,Octahedron,"1e, 1g",1,6.0,In,0.0,True,2.0,6.0,2.1884043516247926,2.2200802112786318,2.2020673118958474,0.01329239127995746,0.03167585965383912,59.43149159942969,36.40129550730343,7.499490271639594,102.93556630195566,6.0,1.0,1,Octahedron
mp-1192556,RbInTe3O8,2.197119524233572,0.0056452322157223,[6.0],3.0,3.0,3.0,Octahedron,"1e, 1g",1,6.0,In,0.0,True,3.0,6.0,2.188455372993428,2.219137928775781,2.2007569626866994,0.013243210093119446,0.030682555782353127,59.09917537472013,25.406264886002663,17.082054009752227,99.30745017644632,6.0,1.0,2,Octahedron
