material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ir_wyckoff,num_Ir_chemenvs,CN,element,charge_range,is_single_charge
mp-13369,Ba3CaIr2O9,1.7940225841419497,1.0016313742684588,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ir,0.0,True
mp-1340170,Ca2TiIrO6,1.940655058390116,0.1965222317211223,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1340405,Ca3Mn2(IrO6)2,1.8660332383320952,0.5082452122784658,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ir,0.0,True
mp-1345538,Mg2NiIrO6,2.068796247960644,-0.6101484336908776,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1347506,Mg2CuIrO6,1.968951726396373,-0.2212578473195874,[6.0],6.0,6.0,6.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1367307,Ca2CrIrO6,1.977616540537668,0.0693792203698859,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-1375998,Ca2CuIrO6,1.9593262695317304,0.0950081378563746,[6.0],6.0,6.0,6.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-15002,Sr2CaIrO6,1.960817892222855,0.0840586582877952,[6.0],6.0,6.0,6.0,Octahedron,2c,1,6.0,Ir,0.0,True
mp-15326,Sm3IrO7,1.9534384129362468,0.1350664029064724,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-15887,Sr2YIrO6,1.9930829457371784,-0.0043306794337137,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Ir,0.0,True
mp-17097,SrIrO3,1.989521667127963,0.076141624858542,[6.0],4.0,4.0,4.0,Octahedron,"4f, 2a",1,6.0,Ir,0.0,True
mp-17102,Ba4Ir3O10,1.7668799963440125,0.6918495536358039,[6.0],4.0,4.0,4.0,Octahedron,"4e, 2a",1,6.0,Ir,0.0,True
mp-17448,Ba3CaIr2O9,1.8028158922515645,0.9984228403883264,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ir,0.0,True
mp-17689,Ba4Ir3O10,1.872890721215764,0.4268020256380961,[6.0],4.0,4.0,4.0,Octahedron,"4f, 2a",1,6.0,Ir,0.0,True
mp-18862,La2CoIrO6,2.051701964489137,0.0898962166596104,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Ir,0.0,True
