material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Te_wyckoff,num_Te_chemenvs,CN,element,charge_range,is_single_charge
mp-562004,CaCo2Te3(ClO4)2,2.052442021144066,0.5151194767395139,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4e,2,3.0,Te,0.0,True
mp-562004,CaCo2Te3(ClO4)2,2.052442021144066,0.5151194767395139,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4e,2,4.0,Te,0.0,True
mp-562042,Co6Te5O16,2.064934746052212,0.9876496963449988,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar","4c, 8d",3,4.0,Te,0.0,True
mp-562042,Co6Te5O16,2.064934746052212,0.9876496963449988,"[4.0, 5.0]",4.0,4.0,4.0,"See-saw, Square pyramid, Triangular non-coplanar","4c, 8d",3,5.0,Te,0.0,True
mp-562327,Co5Te4Cl4O11,2.047039142414917,0.5617012207091717,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2i,2,3.0,Te,0.0,True
mp-562327,Co5Te4Cl4O11,2.047039142414917,0.5617012207091717,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",2i,2,4.0,Te,0.0,True
mp-562366,Cs2U3(TeO7)2,1.907690931351245,0.0275550523427203,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-562378,SrCo2Te3(ClO4)2,2.048289986314387,0.4907061716765536,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4e,2,3.0,Te,0.0,True
mp-562378,SrCo2Te3(ClO4)2,2.048289986314387,0.4907061716765536,"[3.0, 4.0]",4.0,4.0,4.0,"See-saw, Triangular non-coplanar",4e,2,4.0,Te,0.0,True
mp-562450,Co8Te(AsO8)2,1.9663054211687032,2.1023179124665803,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,Te,0.0,True
mp-562912,Co6Te3(ClO6)2,1.915463063261996,0.0596026916006802,"[3.0, 6.0]",4.0,4.0,4.0,"Octahedron, Triangular non-coplanar","8h, 4d",2,3.0,Te,0.0,True
mp-562912,Co6Te3(ClO6)2,1.915463063261996,0.0596026916006802,"[3.0, 6.0]",4.0,4.0,4.0,"Octahedron, Triangular non-coplanar","8h, 4d",2,6.0,Te,0.0,True
mp-566368,K2Te(WO4)3,3.2777755877219823,4.732410220719826,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Te,0.0,True
mp-572313,Cu3Te2(BrO3)2,2.2709988998011483,1.2030223758804934,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-5746,MgTe2O5,2.137099935272574,1.2013730829358698,[5.0],4.0,4.0,4.0,See-saw,8d,1,5.0,Te,0.0,True
mp-581171,Co5Te4(BrO6)2,2.024574764424871,0.3750250279881026,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Te,0.0,True
mp-581276,Cu2Te2Cl2O5,2.197971597378136,3.056390100354524,[4.0],4.0,4.0,4.0,See-saw,4h,1,4.0,Te,0.0,True
mp-581795,Er2Te4O11,2.021347234955966,0.8397128081034412,[4.0],4.0,4.0,4.0,See-saw,4f,1,4.0,Te,0.0,True
mp-601377,BaTe2Mo2(HO6)2,2.103432080894984,0.1979863146544815,"[4.0, 5.0]",4.0,4.0,4.0,See-saw,4a,1,4.0,Te,0.0,True
mp-601377,BaTe2Mo2(HO6)2,2.103432080894984,0.1979863146544815,"[4.0, 5.0]",4.0,4.0,4.0,See-saw,4a,1,5.0,Te,0.0,True
mp-605347,HgTe(H2O3)2,1.964420256157874,-0.0801270854711356,[6.0],6.0,6.0,6.0,Octahedron,4a,1,6.0,Te,0.0,True
mp-605856,Fe2(TeO3)3,1.872152636839581,1.1836701308769622,[6.0],4.0,4.0,4.0,Octahedron,"4c, 8d",1,6.0,Te,0.0,True
mp-6238,Ba2Ta6Te2O21,1.6572085679013209,-0.8902929694087298,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Te,0.0,True
mp-624117,Cs3V4Te2ClO14,2.0261057140830188,0.3914065717267795,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4g,1,3.0,Te,0.0,True
mp-624234,TePb2O5,1.9796083213832405,0.6259957962708279,[6.0],6.0,6.0,6.0,Octahedron,2a,1,6.0,Te,0.0,True
mp-6252,Sr2CuTeO6,1.9629768883937395,-0.2168471691963081,[6.0],6.0,6.0,6.0,Octahedron,1b,1,6.0,Te,0.0,True
mp-633158,NaTeH6O6F,1.953973198939348,-0.0808384195121013,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Te,0.0,True
mp-639164,Co7Te4(BrO2)6,2.0532936611508754,0.4864052427417339,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Te,0.0,True
mp-639714,TlVTeO5,2.140463546785943,1.7558466025547588,[4.0],4.0,4.0,4.0,See-saw,4a,1,4.0,Te,0.0,True
mp-645717,Co3TeO6,1.956648240995587,0.2036000680685157,[6.0],6.0,6.0,6.0,Octahedron,"2b, 4f",1,6.0,Te,0.0,True
