material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sb_wyckoff,num_Sb_chemenvs,CN,element,charge_range,is_single_charge
mp-1189906,Ca2CrSbO6,1.969104746340708,0.078859930708319,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Sb,0.0,True
mp-1190199,CuSb6(SO8)2,2.3128513988619988,-0.5239055203776128,[4.0],3.0,3.0,3.0,"Square pyramid, See-saw",2i,2,4.0,Sb,0.0,True
mp-1190427,LaSbO4,1.883665170777317,0.6780300775609632,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Sb,0.0,True
mp-1190600,La3SbO7,1.9637042530859372,0.1961674221339984,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Sb,0.0,True
mp-1191110,La3Mn2Sb3O14,1.9336544915680791,0.4721507834077523,[6.0],5.0,5.0,5.0,Octahedron,6d,1,6.0,Sb,0.0,True
mp-1191117,Gd3SbO7,1.94818904737392,0.2063989502605233,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1191139,Sm3SbO7,1.9449163448172648,0.2532809439162312,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1191378,Tb3SbO7,1.9479957032452293,0.1751392736320877,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1191597,Sm3SbO7,1.9750644504366712,0.2327436061485757,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Sb,0.0,True
mp-1191901,Nd3Mn2Sb3O14,1.9285414528495788,0.4614830403842772,[6.0],5.0,5.0,5.0,Octahedron,3d,1,6.0,Sb,0.0,True
mp-1192218,Pr3Mn2Sb3O14,1.93040004521439,0.4823539896647931,[6.0],5.0,5.0,5.0,Octahedron,3d,1,6.0,Sb,0.0,True
mp-1192790,CsSbH4O5,2.039526322610279,-0.095787295932824,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Sb,0.0,True
mp-1192820,Mn2Sb3I3O5,2.03032907069604,0.0104264366051453,"[3.0, 3.0]",3.0,3.0,3.0,Triangular non-coplanar,2i,1,3.0,Sb,0.0,True
mp-1192820,Mn2Sb3I3O5,2.03032907069604,0.0104264366051453,"[3.0, 3.0]",3.0,3.0,3.0,Triangular non-coplanar,2i,1,3.0,Sb,0.0,True
mp-1193389,Co(SbO2)2,2.009502594358175,0.2584692949124579,[3.0],3.0,3.0,3.0,Triangular non-coplanar,8h,1,3.0,Sb,0.0,True
mp-1193915,Mn3Sb2(IO)4,2.0279004852190807,0.300284465051471,[3.0],3.0,3.0,3.0,Triangular non-coplanar,1a,1,3.0,Sb,0.0,True
mp-1194959,KSb2P(SO6)2,2.1327144762262047,0.1366737398726808,"[3.0, 5.0]",3.0,3.0,3.0,"Square pyramid, Octahedron",2i,2,3.0,Sb,0.0,True
mp-1194959,KSb2P(SO6)2,2.1327144762262047,0.1366737398726808,"[3.0, 5.0]",3.0,3.0,3.0,"Square pyramid, Octahedron",2i,2,5.0,Sb,0.0,True
mp-1195172,RbSb2P(SO6)2,2.1314431662777595,0.1400159592608778,"[3.0, 5.0]",3.0,3.0,3.0,Square pyramid,2i,1,3.0,Sb,0.0,True
