material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,P_wyckoff,num_P_chemenvs,CN,element,charge_range,is_single_charge
mp-1216362,VPPb3O8,1.565108649045533,0.0026728493495548,[4.0],5.0,5.0,5.0,"Tetrahedron, Icosahedron, Bicapped square prism (adjacent faces)",1a,3,4.0,P,0.0,True
mp-1216403,VP3(Pb3O8)2,1.5657806913512542,0.013405941855837,[4.0],5.0,5.0,5.0,"Tetrahedron, Square-face bicapped square antiprism, Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized",1a,4,4.0,P,0.0,True
mp-1216433,VCd2PO7,1.5906520742183654,0.1525154732954899,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1216492,V3P4WO20,1.568760534924077,0.1178799117271058,[4.0],5.0,5.0,5.0,Tetrahedron,"1c, 2e, 1d",1,4.0,P,0.0,True
mp-1216736,TlP(HO2)2,1.4379893899249154,-0.5473775399528537,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1216770,V2AgP3O11,1.612348260025778,0.2751250471266051,[4.0],5.0,5.0,5.0,Tetrahedron,"1b, 1a, 2c",1,4.0,P,0.0,True
mp-1217035,Tl2Mo2P2O11,1.5670634900924327,0.0475219708772273,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
mp-1217377,Zn15Te5As2P8(Pb3O14)5,1.7231451299638316,0.7247752676772183,[4.0],5.0,5.0,5.0,"Tetrahedron, Square antiprism",1a,2,4.0,P,0.0,True
mp-1217667,TlP4(W5O17)4,1.5417396572805857,0.0086420693022118,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,P,0.0,True
mp-1218131,TaBi(P2O7)2,1.565170033091168,0.1913815277970488,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,P,0.0,True
mp-12185,LiCu(PO3)3,1.5921173926707262,0.2584014136555044,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,P,0.0,True
mp-1218529,Sr2TiP2O9,1.664057181678342,0.485830384216798,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,P,0.0,True
