material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ge_wyckoff,num_Ge_chemenvs,CN,element,charge_range,is_single_charge
mp-561584,Gd2GeO5,1.759778433874295,0.4320250543602018,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-573150,Cs2GeO3,1.772637345810923,0.5879617273243019,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-5784,Na2GeO3,1.7719640758198782,0.6462885829199303,[4.0],4.0,4.0,4.0,Tetrahedron,2a,1,4.0,Ge,0.0,True
mp-581229,Gd2Ge2O7,1.7802073788655328,0.6017446015093013,"[4.0, 5.0]",4.0,4.0,4.0,Tetrahedron,1a,1,4.0,Ge,0.0,True
mp-581229,Gd2Ge2O7,1.7802073788655328,0.6017446015093013,"[4.0, 5.0]",4.0,4.0,4.0,Tetrahedron,1a,1,5.0,Ge,0.0,True
mp-581345,Nd2Ge2O7,1.780241265925811,0.3778105068683662,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-583345,GePb5O7,1.787593892885662,0.0743032951819419,[4.0],4.0,4.0,4.0,Tetrahedron,8c,1,4.0,Ge,0.0,True
mp-6016,NdAlGe2O7,1.758344939779898,0.3623793897639426,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-604273,Cu2GeP2(H5O7)2,1.9876759093866128,-0.1618838693224027,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Ge,0.0,True
mp-6066,NaTaGeO5,1.7688491557269408,0.2243521444510978,[4.0],4.0,4.0,4.0,Tetrahedron,2e,1,4.0,Ge,0.0,True
mp-619064,PrMnGeO5,1.7797233700040302,0.1375653013380993,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-621945,La2Ge2O7,1.7630132969443584,0.3281515284108732,[4.0],4.0,4.0,4.0,Tetrahedron,1a,1,4.0,Ge,0.0,True
mp-622558,DyFeGe2O7,1.7379730962044442,0.8494171794180245,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",2e,2,4.0,Ge,0.0,True
mp-622558,DyFeGe2O7,1.7379730962044442,0.8494171794180245,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",2e,2,5.0,Ge,0.0,True
mp-624486,K2Sn(GeO3)3,1.778045305468274,0.4190106015245471,[4.0],4.0,4.0,4.0,Tetrahedron,"12g, 6f",1,4.0,Ge,0.0,True
mp-6289,Ba2Ti(GeO4)2,1.7680064217049936,0.4472991631299092,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True
mp-636461,Ga2Ge4Pb3O14,1.7928308396270451,0.3272535199555706,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","1a, 3f",2,4.0,Ge,0.0,True
mp-636461,Ga2Ge4Pb3O14,1.7928308396270451,0.3272535199555706,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","1a, 3f",2,6.0,Ge,0.0,True
mp-638261,La2GeO5,1.7575748218989111,0.4987757570712126,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-6386,K2ZnGeO4,1.78623620385005,0.1931730667977508,[4.0],4.0,4.0,4.0,Tetrahedron,4a,1,4.0,Ge,0.0,True
mp-643577,MnGeO3,1.768895696773366,0.343207610147223,[4.0],4.0,4.0,4.0,Tetrahedron,8c,1,4.0,Ge,0.0,True
mp-644295,CaZrGeO5,1.7755661741429176,0.2178924196139843,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-6456,LiNbGeO5,1.7508049319638814,-0.088847626972356,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True
mp-650055,Fe15(Ge2O9)4,1.7841874144145682,0.2847980535585569,[4.0],4.0,4.0,4.0,Tetrahedron,2i,1,4.0,Ge,0.0,True
mp-650954,LaFe5(GeO5)3,1.7819220323985083,0.0642007064568405,[4.0],4.0,4.0,4.0,Tetrahedron,"4d, 8g",1,4.0,Ge,0.0,True
mp-651024,KAlGeO4,1.7658201205260735,0.1410758316585575,[4.0],4.0,4.0,4.0,Tetrahedron,6c,1,4.0,Ge,0.0,True
mp-651087,Gd13Ge6O31F,1.7776971514831694,0.0896565787899414,[4.0],4.0,4.0,4.0,Tetrahedron,3b,1,4.0,Ge,0.0,True
mp-651847,GdGaGe2O7,1.757919918468658,0.3257316841290628,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-651997,Fe3(GeO4)2,1.7867627232805297,0.4598357707732945,[4.0],4.0,4.0,4.0,Tetrahedron,4e,1,4.0,Ge,0.0,True
mp-6526,NaGeSbO5,1.755424844986285,0.0812090054106041,[4.0],4.0,4.0,4.0,Tetrahedron,2e,1,4.0,Ge,0.0,True
mp-652961,La3GaGe5O16,1.7959334247700478,0.3156962562465386,"[4.0, 5.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron, Trigonal bipyramid",2i,3,4.0,Ge,0.0,True
mp-652961,La3GaGe5O16,1.7959334247700478,0.3156962562465386,"[4.0, 5.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron, Trigonal bipyramid",2i,3,5.0,Ge,0.0,True
mp-652961,La3GaGe5O16,1.7959334247700478,0.3156962562465386,"[4.0, 5.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron, Trigonal bipyramid",2i,3,6.0,Ge,0.0,True
mp-6537,CaCu(GeO3)2,1.7904861990760168,0.6821049969124133,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",4e,2,4.0,Ge,0.0,True
mp-6537,CaCu(GeO3)2,1.7904861990760168,0.6821049969124133,"[4.0, 5.0]",4.0,4.0,4.0,"Trigonal bipyramid, Tetrahedron",4e,2,5.0,Ge,0.0,True
mp-662803,K2Ba(Ge4O9)2,1.7865830725754364,0.3194168849228828,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","12g, 2a, 4d, 2b",2,4.0,Ge,0.0,True
mp-662803,K2Ba(Ge4O9)2,1.7865830725754364,0.3194168849228828,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron","12g, 2a, 4d, 2b",2,6.0,Ge,0.0,True
mp-6639,RbGeSbO5,1.7744900475320926,-0.0758801572176107,[4.0],4.0,4.0,4.0,Tetrahedron,4a,1,4.0,Ge,0.0,True
mp-6663,NaLiGe4O9,1.7643622603139284,0.2929564639999076,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,4.0,Ge,0.0,True
mp-6663,NaLiGe4O9,1.7643622603139284,0.2929564639999076,"[4.0, 6.0]",4.0,4.0,4.0,"Octahedron, Tetrahedron",4a,2,6.0,Ge,0.0,True
mp-6712,NaLuGeO4,1.7816277457387957,0.621033718098715,[4.0],4.0,4.0,4.0,Tetrahedron,4c,1,4.0,Ge,0.0,True
mp-672262,La3Zn3Ge2SbO14,1.790290878269488,1.9811190622042152,[4.0],4.0,4.0,4.0,Tetrahedron,2d,1,4.0,Ge,0.0,True
mp-6765,Li3AlGeO5,1.781421725271453,0.5397896294993272,[4.0],4.0,4.0,4.0,Tetrahedron,4a,1,4.0,Ge,0.0,True
