material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Al_wyckoff,num_Al_chemenvs,CN,element,charge_range,is_single_charge
mp-1197917,BaAl2H10C2O13,2.1859701388627064,-0.3919932568574596,[6.0],3.0,3.0,3.0,Octahedron,"1f, 1b, 1g, 1h",1,6.0,Al,0.0,True
mp-1197957,Na3Al(AsO4)2,1.7303998742095543,0.1788651496342603,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1197973,KNaAl6Si6(HO6)4,1.6426359453510369,0.4165923535044126,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",2e,2,4.0,Al,0.0,True
mp-1197973,KNaAl6Si6(HO6)4,1.6426359453510369,0.4165923535044126,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",2e,2,6.0,Al,0.0,True
mp-1198056,NaAlSiO4,1.921626062835436,-0.5799421224352586,[4.0],3.0,3.0,3.0,Tetrahedron,"2b, 6c",1,4.0,Al,0.0,True
mp-1198443,Na2Al3P3(HO7)2,1.7695941163154696,0.1765352349422692,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Square pyramid",4a,2,5.0,Al,0.0,True
mp-1198443,Na2Al3P3(HO7)2,1.7695941163154696,0.1765352349422692,"[5.0, 6.0]",3.0,3.0,3.0,"Octahedron, Square pyramid",4a,2,6.0,Al,0.0,True
mp-1198448,NaAl3Si3(HO6)2,1.644935618001892,0.4122538638464118,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",4g,2,4.0,Al,0.0,True
mp-1198448,NaAl3Si3(HO6)2,1.644935618001892,0.4122538638464118,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",4g,2,6.0,Al,0.0,True
mp-1198719,K3Al5P8(H21O25)2,1.8022768776025373,0.1391653735165423,[6.0],3.0,3.0,3.0,Octahedron,"2a, 4c",1,6.0,Al,0.0,True
mp-1198749,Ca2Al2Si6Sn(H3O11)2,1.7517430826803266,0.0548555010473577,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1198782,Ca2Al3H3O8,1.7387940330712284,0.1480973574894972,[4.0],3.0,3.0,3.0,Tetrahedron,"8g, 4e",1,4.0,Al,0.0,True
mp-1199031,Na2Al2Si3H6O13,1.7751919355939405,-0.0358333868096113,[4.0],3.0,3.0,3.0,Tetrahedron,2a,1,4.0,Al,0.0,True
mp-1199096,Ca3Al4CoO10,1.7266657845493616,0.1720837990169005,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,Al,0.0,True
mp-1199100,Al2Tl3(PO4)3,1.7889835727040837,0.1119712206917532,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4a,1,5.0,Al,0.0,True
mp-1199198,Al2B3HO8,1.7261827067486537,0.1872032611248861,[5.0],3.0,3.0,3.0,Square pyramid,8d,1,5.0,Al,0.0,True
mp-1199312,RbAlP2(HO4)2,1.799887080508766,0.1684140591119088,[6.0],3.0,3.0,3.0,Octahedron,"2b, 4c",1,6.0,Al,0.0,True
mp-1199345,NaAlH12(SO7)2,1.8880456318304395,0.0273624631383685,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Al,0.0,True
mp-1199432,Al2FeP2(HO)18,1.983454637741328,-0.0754744677693204,[6.0],3.0,3.0,3.0,Octahedron,"1f, 1h",1,6.0,Al,0.0,True
mp-1199471,BaNaAlMo6(H13O17)2,1.924594166410865,0.0019847060336729,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Al,0.0,True
mp-1199709,CaMnAl4SiP3(HO4)5,1.6718487724119158,0.3583620250749257,[6.0],3.0,3.0,3.0,Octahedron,4j,1,6.0,Al,0.0,True
mp-1199737,K6Al4Si6BH4ClO24,1.7791111695404247,-0.0575863623990796,[4.0],3.0,3.0,3.0,Tetrahedron,8e,1,4.0,Al,0.0,True
mp-1200432,Ca2Al8PbO15,1.5474909938746726,0.8323419806857386,"[4.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron",8d,2,4.0,Al,0.0,True
mp-1200432,Ca2Al8PbO15,1.5474909938746726,0.8323419806857386,"[4.0, 5.0]",3.0,3.0,3.0,"Trigonal bipyramid, Tetrahedron",8d,2,5.0,Al,0.0,True
mp-1200490,Tb4Al2O9,1.7472893354121246,0.0700560850767832,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Al,0.0,True
mp-1200795,KAl3Si3(HO6)2,1.6306691997773286,0.4439800115738656,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",4g,2,4.0,Al,0.0,True
mp-1200795,KAl3Si3(HO6)2,1.6306691997773286,0.4439800115738656,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",4g,2,6.0,Al,0.0,True
mp-1201038,KNaAl6Si6(HO6)4,1.6380930880843607,0.4226731398343856,"[4.0, 6.0]",3.0,3.0,3.0,"Octahedron, Tetrahedron",2e,2,4.0,Al,0.0,True
