material_id,chem_formula,R$_0$,B,Mn_chemenv,num_Mn_chemenvs,Mn_wyckoff,num_Mn_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Mn_sites,num_CN_env,num_charge_states,MnX_coordn,MnO_coordn,mean_coordn_Mn-X,min_coordn_Mn-X,max_coordn_Mn-X,mean_coordn_Mn-O,min_coordn_Mn-O,max_coordn_Mn-O,mean_Mn_charge,min_Mn_charge,max_Mn_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_MnO_BondL
mp-36884,Mn2SnO4,1.8997462473447275,0.2621640166097531,"Tetrahedron, Octahedron",2,"2d, 2e",2,"[0.020453614480322003, 0.6991467583871901]",0.0,0.35980018643375605,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Mn-O-Sn,0.0,-2.070504940837438,0.0,3,Orthorhombic,mmm,Imma,oxide,,,Mn,,Sn,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.1461746694562143
mp-38089,Na10Mn4O9,1.9534381626786776,0.2008525644827598,"Trigonal plane, Tetrahedron",2,"1a, 2b",2,"[0.162987951275885, 0.581586970630892, 0.792245915461902, 0.758934448230822, 0.5844934552116391, 0.273521832148308]",0.0,0.5256284288265748,A4B9C10,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mn-Na-O,0.01705445032609,-1.642225616761618,0.0,3,Monoclinic,m,Cm,oxide,Na,,Mn,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0770522986297526
mp-39440,Ca2MnIrO6,1.8508607970432684,0.3626820592144978,Octahedron,1,2c,1,[0.04433508523842301],0.0,0.04433508523842301,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Ca-Ir-Mn-O,0.020710273166668,-2.298020989293104,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,"Mn, Ir",,,,"C, O",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.102797874141867
mp-39739,CaHoMn2O6,1.8858600725817944,0.2478974007227221,Octahedron,1,4b,1,[0.09753200367251001],0.0,0.09753200367251001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Ho-Mn-O,0.015795541666681,-2.786210496086205,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,,Ca,Mn,,,,"H, C, O",,,Ho,,"B $\in$ [0.1, 0.5]",Positive B,1.9816614755134316
mp-40374,Na6TiMn(SiO3)6,1.0865144676682184,1.127957589837625,Octahedron,1,1a,1,[2.159908653940774],0.0,2.159908653940774,ABC6D6E18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Mn-Na-O-Si-Ti,0.038150570807292,-2.874417007485633,2.804599999999999,5,Trigonal,3m,R3m,oxide,Na,,"Ti, Mn",,,Si,"N, O, S",,,,,B > 1,Positive B,2.344721967374107
mp-40630,CaPrMn2O6,1.9576534229351,0.050925943779177,Octahedron,1,4b,1,[0.017319522161541],0.0,0.017319522161541,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Mn-O-Pr,0.0,-2.741404495752873,0.0,4,Orthorhombic,mm2,Pmn2_1,oxide,,Ca,Mn,,,,"C, O, P",,,Pr,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.976846977717128
mp-42020,BaYMnCoO5,2.3350672304830136,-0.673484494781165,Square pyramid,1,2c,1,[1.2796038687766091],0.0,1.2796038687766091,ABCDE5,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Co-Mn-O-Y,0.033513710243063,-2.5931377208812263,0.3925,5,Tetragonal,4/mmm,P4/nmm,oxide,,Ba,"Mn, Co, Y",,,B,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.9901640363919928
mp-504168,Mn6P7O24,1.906122417400892,0.2954195434511047,Octahedron,1,4f,1,"[3.516892606780444, 2.264570176478823, 4.225263754236811]",0.0,3.3355755124986928,A6B7C24,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.17,2.17,2.17,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-O-P,0.003451735405356,-2.561727967569896,0.0,3,Monoclinic,2/m,P2_1/m,oxide,,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.204940536087943
mp-504387,Li6Mn5(P2O7)4,1.565801875068089,0.597363301805179,Octahedron,1,2i,1,"[3.238021047433389, 1.024762812595094, 0.8023696599504331, 1.297383175066557, 3.388809994349381]",0.0,1.9502693378789708,A5B6C8D28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Li-Mn-O-P,0.040950827978737,-2.6093161262084683,3.683799999999999,4,Triclinic,-1,P-1,oxide,Li,,Mn,,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.230550840801625
mp-504398,Mn4(PO4)3,1.9391888249284217,0.2428415988988864,"Trigonal bipyramid, Octahedron",2,"8h, 4g",2,"[1.106085825321893, 3.880284800034188, 2.286995460041531]",0.0,2.424455361799204,A3B4C12,2,2,2,"[6.0, 5.0]","[6.0, 5.0]",5.5,5.0,6.0,5.5,5.0,6.0,2.5,2.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Mn-O-P,0.038532755526315,-2.478546905823827,0.084399999999999,3,Orthorhombic,mmm,Pnnm,phosphate,,,Mn,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.12790472365991
