material_id,chem_formula,R$_0$,B,Be_chemenv,num_Be_chemenvs,Be_wyckoff,num_Be_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Be_sites,num_CN_env,num_charge_states,BeX_coordn,BeO_coordn,mean_coordn_Be-X,min_coordn_Be-X,max_coordn_Be-X,mean_coordn_Be-O,min_coordn_Be-O,max_coordn_Be-O,mean_Be_charge,min_Be_charge,max_Be_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_BeO_BondL
mp-1212368,Ho2Be2GeO7,1.3910362409524295,0.3513840487419313,Tetrahedron,1,4e,1,[0.66848926370142],0.0,0.66848926370142,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Ge-Ho-O,0.001354883072917,-3.287437647499999,4.4313,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Ge","H, O",,,Ho,,"B $\in$ [0.1, 0.5]",Positive B,1.6401830049458932
mp-1212449,Gd2Be2SiO7,1.3670507809329204,0.3988079869638639,Tetrahedron,1,4e,1,[0.42906604644066504],0.0,0.42906604644066504,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Gd-O-Si,0.0,-3.544126313333334,3.314799999999999,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,1.6496167173604235
mp-1212878,Er2Be2SiO7,1.3865179985374465,0.3502703221153618,Tetrahedron,1,4e,1,[0.503584367135475],0.0,0.503584367135475,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Er-O-Si,0.000389154166645,-3.591676005833333,5.3446,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Er,,"B $\in$ [0.1, 0.5]",Positive B,1.634929842682337
mp-1213057,Dy2Be2SiO7,1.3838517370796215,0.3672522532798098,Tetrahedron,1,4e,1,[0.479109130593996],0.0,0.479109130593996,AB2C2D7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Dy-O-Si,0.0,-3.58398220486111,5.089600000000001,4,Tetragonal,-42m,P-42_1m,oxide,,Be,,,,"B, Si","O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,1.644230815471086
mp-1214104,Ca2PrBeO5,1.960950532020352,-0.4798114025377393,Tetrahedron,1,4c,1,[0.13677486000437802],0.0,0.13677486000437802,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-Ca-O-Pr,0.04124802298611,-3.153950414351851,0.0,4,Orthorhombic,mmm,Pnma,oxide,,"Be, Ca",,,,B,"C, O, P",,,Pr,,"B $\in$ [-1, -0.1]",Negative B,1.6282016660506398
mp-1214112,Ca2YBeO5,2.058519687203532,-0.6157975134688155,Tetrahedron,1,4c,1,[0.071272652396538],0.0,0.071272652396538,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Be-Ca-O-Y,0.039300157708331,-3.2182876,0.0,4,Orthorhombic,mmm,Pnma,oxide,,"Be, Ca",Y,,,B,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.6314550809791455
mp-1214270,Ca4Be2Al2Si9O28,1.48262508600557,0.2374829131707496,Tetrahedron,1,4g,1,[0.32671220357150904],0.0,0.32671220357150904,A2B2C4D9E28,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2,2,"O-, O2-","Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Be-Ca-O-Si,0.038817704240741,-3.249094270444444,0.5991000000000001,5,Orthorhombic,mmm,Cmcm,oxide,,"Be, Ca",,,Al,"B, Si","C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.646589564050125
mp-1214670,Ca4Be2Al2Si9(HO14)2,1.5547173938904852,0.1523762922645238,Tetrahedron,1,4g,1,[0.154925184277477],0.0,0.154925184277477,A2B2C2D4E9F28,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Be-Ca-H-O-Si,0.0,-3.234690236010638,4.933,6,Orthorhombic,mmm,Cmcm,oxide,,"Be, Ca",,,Al,"B, Si","H, C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.662702812687412
mp-1216100,Y2BeAlBO7,1.4075336759788646,0.3339947141038782,Tetrahedron,1,2a,1,[0.45342710333919006],0.0,0.45342710333919006,ABCD2E7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-B-Be-O-Y,0.0,-3.539448107847221,4.9749,5,Monoclinic,2,P2_1,oxide,,Be,Y,,Al,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.6403704303472968
mp-1218081,SrSm2BeO5,2.234103601393215,-0.8437605505030984,Tetrahedron,1,4a,1,[0.188395171161362],0.0,0.188395171161362,ABC2D5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Be-O-Sm-Sr,0.02771300662037,-3.495696936111111,3.8531,4,Orthorhombic,mm2,Pna2_1,oxide,,"Be, Sr",,,,B,"O, S",,,Sm,,"B $\in$ [-1, -0.1]",Negative B,1.6490583541424988
