material_id,chem_formula,R$_0$,B,S_chemenv,num_S_chemenvs,S_wyckoff,num_S_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_S_sites,num_CN_env,num_charge_states,SX_coordn,SO_coordn,mean_coordn_S-X,min_coordn_S-X,max_coordn_S-X,mean_coordn_S-O,min_coordn_S-O,max_coordn_S-O,mean_S_charge,min_S_charge,max_S_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-541094,Ta2Hg3S(O2F5)2,1.5680530406616335,0.3582312699999545,Tetrahedron,1,2a,1,[0.069497507810442],0.0,0.069497507810442,AB2C3D4E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.488702203808753,GGA,F-Hg-O-S-Ta,0.0,-2.651527504733334,2.4645,5,Orthorhombic,mm2,Fdd2,fluoride,None,None,"Ta, Hg",None,None,None,"H, O, S",F,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-541415,KH5S2O9,1.6115591769935425,0.320051883304861,Tetrahedron,1,4e,1,"[0.103591992341188, 0.09532295656766501]",0.0,0.09945747445442651,AB2C5D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.4824329840598458,r2SCAN,H-K-O-S,0.0,-1.682400914911753,5.6718,4,Monoclinic,2/m,P2_1/c,oxide,K,None,None,None,None,None,"H, O, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-541424,Na3V(SO4)3,1.7176260042465283,0.5594196402515296,Tetrahedron,1,6f,1,[0.095417340289928],0.0,0.095417340289928,AB3C3D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.491292255613672,GGA_U,Na-O-S-V,0.013023725131588,-2.151038024559891,0.0,4,Trigonal,-3,R-3,sulfate,Na,None,V,None,None,None,"N, O, S",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-542145,K2MnH8(SO6)2,1.5049192584525972,0.026494712007174643,Tetrahedron,1,4e,1,"[0.018487301600054, 0.014957845029219001]",0.0,0.016722573314636502,AB2C2D8E12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.4942924143315868,GGA_U,H-K-Mn-O-S,0.0014386225499960002,-1.746894983397242,4.6359,5,Monoclinic,2/m,P2_1/c,oxide,K,None,Mn,None,None,None,"H, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-542146,K2FeH8(SO6)2,1.5056386310264531,0.028302059033642968,Tetrahedron,1,4e,1,"[0.021564450377408003, 0.021293621375181003]",0.0,0.0214290358762945,AB2C2D8E12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",1.4943003776019796,GGA_U,Fe-H-K-O-S,0.0,-1.7042034085800002,4.4501,5,Monoclinic,2/m,P2_1/c,oxide,K,None,Fe,None,None,None,"H, O, S",F,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-542222,Tb2H16S3O20,1.490086760439277,0.00023300288977102108,Tetrahedron,1,"4f, 2e",2,"[0.008369439092122, 0.014483401048519001]",0.0,0.0114264200703205,A2B3C16D20,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",1.4899976104351762,GGA,H-O-S-Tb,0.010303838719510001,-1.8410782939227641,5.4981,4,Monoclinic,2/m,C2/c,oxide,None,None,None,None,None,None,"H, O, S",None,None,Tb,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-542271,Y2H16S3O20,1.4798921260069562,-0.026252797455126896,Tetrahedron,1,"4f, 2e",2,"[0.017144276839204, 0.008599883558341001]",0.0,0.012872080198772501,A2B3C16D20,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.4899422922428165,GGA,H-O-S-Y,0.01246148286585,-1.83404168359756,5.4823,4,Monoclinic,2/m,C2/c,oxide,None,None,Y,None,None,None,"H, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-542417,Cs2MgH12(SO7)2,1.4505059706319325,-0.11343832224636612,Tetrahedron,1,4e,1,[0.007478059033678001],0.0,0.007478059033678001,AB2C2D12E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.496371932589748,GGA,Cs-H-Mg-O-S,0.0,-1.7306781703003322,5.275,5,Monoclinic,2/m,P2_1/c,oxide,Cs,Mg,None,None,None,None,"H, C, O, S",None,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-542420,Cs2NiH12(SO7)2,1.4612416250317053,-0.08677347592069364,Tetrahedron,1,4e,1,[0.007097787897459001],0.0,0.007097787897459001,AB2C2D12E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.4962693510889338,GGA_U,Cs-H-Ni-O-S,0.0,-1.60280086868743,4.956300000000001,5,Monoclinic,2/m,P2_1/c,oxide,Cs,None,Ni,None,None,None,"H, C, N, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-542567,Rb2Cd3H6S3O16,1.5185118437098102,0.05573496267033926,Tetrahedron,1,"4b, 2a",2,"[0.013540103980344002, 0.022218391970252]",0.0,0.017879247975298003,A2B3C3D6E16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.4951722085533625,GGA,Cd-H-O-Rb-S,0.014359739583338001,-1.737214563666666,3.3659,5,Orthorhombic,mm2,Cmc2_1,oxide,Rb,None,Cd,None,None,None,"H, C, O, S",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
