material_id,chem_formula,R$_0$,B,Zr_chemenv,num_Zr_chemenvs,Zr_wyckoff,num_Zr_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Zr_sites,num_CN_env,num_charge_states,ZrX_coordn,ZrO_coordn,mean_coordn_Zr-X,min_coordn_Zr-X,max_coordn_Zr-X,mean_coordn_Zr-O,min_coordn_Zr-O,max_coordn_Zr-O,mean_Zr_charge,min_Zr_charge,max_Zr_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ZrO_BondL
mp-1208165,YZr6(PO4)9,1.8931622741873373,0.5196641937364298,Octahedron,1,"4c, 4d",2,"[0.20954217935149003, 1.11183820397339, 0.6986344296806211]",0.0,0.6733382710018336,AB6C9D36,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-P-Y-Zr,0.007880601442305,-3.237692065034341,3.6646,4,Trigonal,-3m,P-3c1,phosphate,,,"Y, Zr",,,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.10819726379102
mp-1208527,TmZr6(PO4)9,1.890215542997757,0.5266987698785481,Octahedron,1,"4c, 4d",2,"[0.21379519850147402, 1.189675358590559, 0.701106669332612]",0.0,0.7015257421415484,AB6C9D36,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-P-Tm-Zr,0.011894333942292,-3.238629021380495,3.7137,4,Trigonal,-3m,P-3c1,phosphate,,,Zr,,,,"O, P",,,Tm,,"B $\in$ [0.5, 1]",Positive B,2.1081642812429044
mp-1208748,Sr4Zr3O10,2.095206499659661,0.081952079586861,Octahedron,1,"4a, 8c",2,"[0.016835040670368, 0.010697968099265001]",0.0,0.0137665043848165,A3B4C10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Sr-Zr,0.002721731911762,-3.537496519558829,3.6046,3,Orthorhombic,mmm,Pbca,oxide,,Sr,Zr,,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.126020962897568
mp-1208780,TbZr6(PO4)9,1.8927420374826915,0.5187734776084073,Octahedron,1,"4c, 4d",2,"[0.20516940144178203, 1.140938540671872, 0.706155721910753]",0.0,0.6840878880081357,AB6C9D36,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-P-Tb-Zr,0.008470612596152,-3.239782134777932,3.7259,4,Trigonal,-3m,P-3c1,phosphate,,,Zr,,,,"O, P",,,Tb,,"B $\in$ [0.5, 1]",Positive B,2.1074115321258398
mp-1209472,Rb2Zr(MoO4)3,2.06819048591566,0.0936861691171807,Octahedron,1,2a,1,[0.069237733029839],0.0,0.069237733029839,AB2C3D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA_U,Mo-O-Rb-Zr,0.00865604833333,-2.384656275,3.569099999999999,4,Monoclinic,m,Cc,oxide,Rb,,"Zr, Mo",,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.1061878596652073
mp-1209733,SmZr6(PO4)9,1.896706660007256,0.5109159603115152,Octahedron,1,"4c, 4d",2,"[0.18039028566345602, 1.071351457858258, 0.504937709316555]",0.0,0.5855598176127563,AB6C9D36,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-P-Sm-Zr,0.006460040384613,-3.238199491188186,3.7105,4,Trigonal,-3m,P-3c1,phosphate,,,Zr,,,,"O, P, S",,,Sm,,"B $\in$ [0.5, 1]",Positive B,2.1081246882723255
mp-1210300,PrZr6(PO4)9,1.9026937050460264,0.4971622731999249,Octahedron,1,"4c, 4d",2,"[0.15938755729099202, 1.000346480888468, 0.33316993316848503]",0.0,0.4976346571159816,AB6C9D36,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-P-Pr-Zr,0.002529944615362,-3.2391660540087,3.7127,4,Trigonal,-3m,P-3c1,phosphate,,,Zr,,,,"O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,2.1084171876959914
mp-1210325,Na4Zr2TiMnSi4(O8F)2,1.7974214827237212,0.8572627921727815,Octahedron,1,4g,1,[0.436908244046511],0.0,0.436908244046511,ABC2D2E4F4G16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,F-Mn-Na-O-Si-Ti-Zr,0.0,-3.186073894226053,2.4338,7,Monoclinic,2/m,P2/c,fluoride,Na,,"Ti, Mn, Zr",,,Si,"N, O, S",F,,,,"B $\in$ [0.5, 1]",Positive B,2.1413339165697005
mp-1210375,Na2ZrSi4H4O13,1.5580544550524364,1.3827135570768745,Octahedron,1,2c,1,[0.026485572276189],0.0,0.026485572276189,AB2C4D4E13,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,H-Na-O-Si-Zr,0.000844351249998,-2.714522347614943,4.9217,5,Monoclinic,2/m,P2_1/c,oxide,Na,,Zr,,,Si,"H, N, O, S",,,,,B > 1,Positive B,2.118705399562104
mp-1210416,Na4CaZr2TiSi4(O8F)2,1.806662070823687,0.844039066543596,Octahedron,1,4g,1,[0.354315644174288],0.0,0.354315644174288,ABC2D2E4F4G16,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA,Ca-F-Na-O-Si-Ti-Zr,0.0,-3.294318548961685,3.3247,7,Monoclinic,2/m,P2/c,fluoride,Na,Ca,"Ti, Zr",,,Si,"C, N, O, S",F,,,,"B $\in$ [0.5, 1]",Positive B,2.1455184627365953
