material_id,chem_formula,R$_0$,B,Cl_chemenv,num_Cl_chemenvs,Cl_wyckoff,num_Cl_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Cl_sites,num_CN_env,num_charge_states,ClX_coordn,ClO_coordn,mean_coordn_Cl-X,min_coordn_Cl-X,max_coordn_Cl-X,mean_coordn_Cl-O,min_coordn_Cl-O,max_coordn_Cl-O,mean_Cl_charge,min_Cl_charge,max_Cl_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ClO_BondL
mp-755481,Ca(ClO3)2,1.782983335328348,0.5293622463598993,Triangular non-coplanar,1,4f,1,[0.16259793321437901],0.0,0.16259793321437901,AB2C6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals",GGA,Ca-Cl-O,0.028204092222222,-0.8542295975,4.857,3,Monoclinic,2/m,C2/c,chlorate,,Ca,,,,,"C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,1.5127443343380793
mp-756748,ScH3(ClO5)2,1.5350050392132968,0.1361166542644538,Tetrahedron,1,4e,1,"[0.051515536864432006, 0.041237821002828]",0.0,0.046376678933630004,AB2C3D10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,Cl-H-O-Sc,0.0,-1.201461654296875,4.1244,4,Monoclinic,2/m,P2_1/c,hypochlorite,,,Sc,,,,"H, C, O, S",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4622389836627172
mp-757220,LuH6(ClO5)3,1.512333797085203,0.095469383103558,Tetrahedron,1,2i,1,"[0.023312010088429, 0.030114987487482002, 0.0159198869969]",0.0,0.023115628190937,AB3C6D15,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",GGA,Cl-H-Lu-O,0.0,-1.101403722166667,5.4787,4,Triclinic,-1,P-1,hypochlorite,,,,,,,"H, C, O",Cl,,Lu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.4608287483370563
mp-768147,Dy(ClO4)3,1.6258064858904304,0.3034847111198511,Tetrahedron,1,6h,1,[0.030124548501831],0.0,0.030124548501831,AB3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",GGA,Cl-Dy-O,0.017372268750005,-0.6280891951562441,4.9912,3,Hexagonal,6/m,P6_3/m,perchlorate,,,,,,,"C, O",Cl,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,1.4571798707424055
mp-768684,Ce(ClO4)3,1.6363108443203849,0.3077812616823597,Tetrahedron,1,6b,1,[0.04891723294666701],0.0,0.04891723294666701,AB3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",GGA,Ce-Cl-O,0.047344551119792,-0.9684007318749992,0.0,3,Trigonal,3m,R3c,perchlorate,,,,,,,"C, O",Cl,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,1.4650586147136495
mp-768918,Ce(ClO4)4,1.6773339271514385,0.3701216049889529,Tetrahedron,1,2a,1,"[0.141312915725717, 0.14265991316397802, 0.14106866262220502, 0.138699181687847]",0.0,0.14093516829993674,AB4C16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",GGA,Ce-Cl-O,0.0,-0.8551340285714281,1.6159,3,Monoclinic,m,Cc,perchlorate,,,,,,,"C, O",Cl,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,1.4740257079915218
mp-769148,Sc(ClO4)3,1.605449539100719,0.273386638410051,Tetrahedron,1,6h,1,[0.039151008805987],0.0,0.039151008805987,AB3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,Cl-O-Sc,0.035308160312499,-0.567439321835937,3.1684,3,Hexagonal,6/m,P6_3/m,perchlorate,,,Sc,,,,"C, O, S",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,1.4573831612692805
mp-770426,Ho(ClO4)3,1.6110922289387446,0.2772396878913747,Tetrahedron,1,6h,1,[0.027380732460813004],0.0,0.027380732460813004,AB3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",GGA,Cl-Ho-O,0.018446522499999,-0.6234493035937501,5.0197,3,Hexagonal,6/m,P6_3/m,perchlorate,,,,,,,"H, C, O",Cl,,Ho,,"B $\in$ [0.1, 0.5]",Positive B,1.4571871201588635
mp-772098,Sm(ClO4)3,1.6257171527075118,0.3019165251562299,Tetrahedron,1,6h,1,[0.031375042813574006],0.0,0.031375042813574006,AB3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",GGA,Cl-O-Sm,0.010988641875,-0.625786524218749,4.9304000000000014,3,Hexagonal,6/m,P6_3/m,perchlorate,,,,,,,"C, O, S",Cl,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,1.4577406713079437
mp-776199,AgClO3,1.9332815466058908,0.8139698002503263,Triangular non-coplanar,1,4e,1,[0.070810207501869],0.0,0.070810207501869,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,Ag-Cl-O,0.048604945499998,-0.396925676333332,3.113099999999999,3,Monoclinic,2/m,P2_1/c,chlorate,,,Ag,,,,"C, O",Cl,,,,"B $\in$ [0.5, 1]",Positive B,1.517532828161609
mp-778001,Tm(ClO4)3,1.6221635298294017,0.2978977617554642,Tetrahedron,1,6h,1,[0.029307769141161004],0.0,0.029307769141161004,AB3C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",GGA,Cl-O-Tm,0.0206887959375,-0.631302166406248,5.0805,3,Hexagonal,6/m,P6_3/m,perchlorate,,,,,,,"C, O",Cl,,Tm,,"B $\in$ [0.1, 0.5]",Positive B,1.456821705339844
mp-865188,MgH8(ClO6)2,1.481785581058436,0.0311947567529537,Tetrahedron,1,2i,1,[0.019205031310424],0.0,0.019205031310424,AB2C8D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals",GGA,Cl-H-Mg-O,0.0,-1.123648380217391,5.3273,4,Monoclinic,2/m,C2/m,hypochlorite,,Mg,,,,,"H, C, O",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.462032360244975
