material_id,chem_formula,R$_0$,B,La_chemenv,num_La_chemenvs,La_wyckoff,num_La_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_La_sites,num_CN_env,num_charge_states,mean_coordn_La-X,min_coordn_La-X,max_coordn_La-X,mean_coordn_La-O,min_coordn_La-O,max_coordn_La-O,mean_La_charge,min_La_charge,max_La_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_LaO_BondL,LaX_coordn,LaO_coordn
mp-542724,LaNbO4,2.489903176210034,0.0411542794976278,Square antiprism,1,2e,1,[2.4295973631856786],0.0,2.4295973631856786,ABC4,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",R2SCAN,La-Nb-O,0.0,-3.555324330833334,3.6083,3,Monoclinic,2/m,C2/c,oxide,,,Nb,,,,"N, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.5037139475918053,[8.0],[8.0]
mp-553248,CsLaNb2O7,2.437618312002108,0.2132294715017004,Cuboctahedron,1,1a,1,[0.09162236552341067],0.0,0.09162236552341067,ABC2D7,1,1,1,12.0,12.0,12.0,12.0,12.0,12.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cs-La-Nb-O,0.0333420057954523,-3.1928880215595608,1.4413999999999998,4,Tetragonal,4/mmm,P4/mmm,oxide,Cs,,Nb,,,,"C, N, O",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.736924685949083,[12.0],[12.0]
mp-553281,Ba2LaNbO6,2.345796225479808,0.0712552824511673,Octahedron,1,1c,1,[0.06397878379367668],0.0,0.06397878379367668,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-La-Nb-O,0.0,-3.385399537,3.0639,4,Monoclinic,2/m,C2/m,oxide,,Ba,Nb,,,B,"N, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.395314814864925,[6.0],[6.0]
mp-553965,RbLaNb2O7,2.472427939163064,0.2169468038243584,Diminished icosahedron,1,2e,1,[6.104167960189038],1.0,6.104167960189038,ABC2D7,1,1,1,11.0,11.0,11.0,11.0,11.0,11.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,La-Nb-O-Rb,0.0266224913636285,-3.201949592727273,1.7695,4,Orthorhombic,mmm,Imma,oxide,Rb,,Nb,,,,"N, O",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.713813860095662,[11.0],[11.0]
mp-554034,KLa2NbO6,2.13925779069736,0.4222587705475219,"Cube, Square-face capped trigonal prism",2,2i,1,"[0.3590044225487792, 4.987535163501067]",0.0,2.6732697930249234,ABC2D6,2,2,1,7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,K-La-Nb-O,0.0,-3.422347749725,3.7476,4,Monoclinic,2/m,C2/m,oxide,K,,Nb,,,,"N, O",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.521202881375204,"[8.0, 7.0]","[8.0, 7.0]"
mp-554177,La4Cu3MoO12,2.2999935456457754,0.2613281404903493,Cube,1,4f,1,"[0.8650485403311595, 0.6063440365505544]",0.0,0.7356962884408569,AB3C4D12,1,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Cu-La-Mo-O,0.0065566150000098,-2.6742566292499985,1.7031,4,Monoclinic,2/m,P2_1/m,oxide,,,"Cu, Mo",,,,"C, O",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.5507851442986125,[8.0],[8.0]
mp-554286,La6Ti2S8O5,2.197394876633827,0.4537414764459258,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps), Face-capped octahedron",3,2e,1,"[3.193157984516363, 1.8447976043423866, 1.311450496398064, 2.7721894375320506, 1.7057076085155543, 2.4603074952692845]",0.0,2.214601771095617,A2B5C6D8,3,6,1,7.833333333333333,5.0,9.0,2.4,0.0,4.0,3.0,3.0,3.0,1.8333333333333333,1,2,"S2-, O2-","Lanthanides, Nonmetals, Transition Metals",GGA,La-O-S-Ti,0.0015333162797634,-2.9152350951984127,1.3379000000000003,4,Monoclinic,2/m,P2_1/m,oxide,,,Ti,,,,"O, S",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.604770416774137,"[8.0, 9.0, 5.0, 7.0]","[0, 1.0, 2.0, 3.0, 4.0]"
mp-554402,La2(MoO4)3,2.320227831052848,0.2168784499706337,"Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2,4f,1,"[2.321123075569145, 1.6369568951612092, 2.4675464220152006]",0.0,2.141875464248518,A2B3C12,2,1,1,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,La-Mo-O,0.0,-2.6512206256862747,3.6508,3,Monoclinic,2/m,C2/c,oxide,,,Mo,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.536217679994097,[8.0],[8.0]
mp-554475,LaNb2ClO6,2.214108723986569,0.424412321795008,Square-face bicapped trigonal prism,1,4c,1,[6.22261953200582],1.0,6.22261953200582,ABC2D6,1,1,1,8.0,8.0,8.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2,2,"Cl-, O2-","Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Cl-La-Nb-O,0.0152150074404726,-3.20374066525,2.5637,4,Orthorhombic,mmm,Pnma,hypochlorite,,,Nb,,,,"C, N, O",Cl,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.588119621867911,[8.0],[6.0]
mp-554531,Li11La12Fe3O28,2.0397633416256102,0.5721533042284848,"Square-face monocapped antiprism, Dodecahedron with triangular faces - p2345 plane normalized",2,"4g, 16l, 4h",3,"[1.544229330543727, 1.3807297057167494, 0.8851802093437827]",0.0,1.2700464152014197,A3B11C12D28,2,3,1,7.666666666666667,6.0,9.0,7.666666666666667,6.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Fe-La-Li-O,0.0262150296759333,-3.0252229958641976,0.0,4,Tetragonal,4/mmm,P4/mbm,oxide,Li,,Fe,,,,O,F,,La,,"B $\in$ [0.5, 1]",Positive B,2.628511673256928,"[8.0, 9.0, 6.0]","[8.0, 9.0, 6.0]"
