material_id,chem_formula,R$_0$,B,Ir_chemenv,num_Ir_chemenvs,Ir_wyckoff,num_Ir_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ir_sites,num_CN_env,num_charge_states,IrX_coordn,IrO_coordn,mean_coordn_Ir-X,min_coordn_Ir-X,max_coordn_Ir-X,mean_coordn_Ir-O,min_coordn_Ir-O,max_coordn_Ir-O,mean_Ir_charge,min_Ir_charge,max_Ir_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_IrO_BondL
mp-1210234,Na4Ho2(IrO4)3,1.9926292918351207,0.0703619789258932,Octahedron,1,3f,1,[1.181543926381075],0.0,1.181543926381075,A2B3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.67,4.67,4.67,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Ho-Ir-Na-O,0.0,-2.110721856453202,0.0,4,Hexagonal,-6m2,P-62m,oxide,Na,,Ir,,,,"H, N, O",I,,Ho,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.010501157727924
mp-1211597,La2CuIrO6,2.039845151317436,-0.0185834271109802,Octahedron,1,2a,1,[0.005543867850714],0.0,0.005543867850714,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-Ir-La-O,0.032022432083333,-2.488256738,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Cu, Ir",,,,"C, O",I,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.032275319885061
mp-1214535,Ba3NdIr2O9,1.6077344246550165,1.440740080205943,Octahedron,1,4f,1,[0.08125177160010501],0.0,0.08125177160010501,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.5,4.5,1.0,1,1,Ir4.50+-O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ir-Nd-O,0.0,-2.481080116833333,0.0,4,Monoclinic,2/m,C2/c,oxide,,Ba,Ir,,,B,"N, O",I,,Nd,,B > 1,Positive B,2.0211551997643347
mp-1214618,Ba3CdIr2O9,1.9027529498986089,0.5463586415610173,Octahedron,1,4f,1,[0.122156087206489],0.0,0.122156087206489,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cd-Ir-O,0.0,-2.067168229000001,0.0,4,Monoclinic,2/m,C2/c,oxide,,Ba,"Cd, Ir",,,B,"C, O",I,,,,"B $\in$ [0.5, 1]",Positive B,2.0017152400413303
mp-1214637,Ba3CoIr2O9,1.8607275837321864,0.8539919109133525,Octahedron,1,4f,1,[0.294273023765788],0.0,0.294273023765788,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Co-Ir-O,0.0,-2.056273485333334,0.0,4,Hexagonal,6/mmm,P6_3/mmc,oxide,,Ba,"Co, Ir",,,B,"C, O",I,,,,"B $\in$ [0.5, 1]",Positive B,2.0178254145442938
mp-1214660,Ba4Nd(IrO4)3,1.7969247669332329,0.7196508114766372,Octahedron,1,"2i, 1d",2,"[0.11944050719846201, 0.21729171332796002]",0.0,0.16836611026321102,AB3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.33,4.33,4.33,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Ir-Nd-O,0.0,-2.371594289374999,0.0,4,Monoclinic,2/m,C2/m,oxide,,Ba,Ir,,,B,"N, O",I,,Nd,,"B $\in$ [0.5, 1]",Positive B,2.0309535158581067
mp-1218532,Sr6Ir2RuO12,2.400071897755409,-0.9513734074059008,Octahedron,1,2i,1,[0.06474542769286501],0.0,0.06474542769286501,AB2C6D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Ir-O-Ru-Sr,0.019338588214294,-2.3842333166666663,0.0,4,Monoclinic,2/m,C2/m,oxide,,Sr,"Ru, Ir",,,,"O, S",I,,,,"B $\in$ [-1, -0.1]",Negative B,2.012945163154715
mp-1218538,Sr4Zn(IrO4)3,1.900360942207072,0.4779670906231456,Octahedron,1,"1f, 1d, 1g",3,"[0.009090726789195001, 0.09263695587058601, 0.034784428801656005]",0.0,0.04550403715381234,AB3C4D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.67,4.67,4.67,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Ir-O-Sr-Zn,0.0,-2.094111872,0.0,4,Triclinic,-1,P-1,oxide,,Sr,"Zn, Ir",,,,"O, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0216709002719546
mp-1218568,Sr4Co(IrO4)3,1.9468498921711213,0.2185495767792271,Octahedron,1,"1f, 1d, 1g",3,"[0.002507457778223, 0.09646134832990201, 0.047069341799813]",0.0,0.04867938263597934,AB3C4D12,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Co-Ir-O-Sr,0.0,-2.0570949345,0.0,4,Triclinic,-1,P-1,oxide,,Sr,"Co, Ir",,,,"C, O, S",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.013606921806801
mp-1218745,Sr4CuIr2O9,1.7705491038186814,0.6786937749130791,Octahedron,1,1a,1,"[0.297662761665747, 0.318203639086219, 0.22438328138294603, 0.21186158181542603, 0.14650955353779702, 0.140631215160149]",0.0,0.22320867210804732,AB2C4D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Cu-Ir-O-Sr,0.0,-2.200795143229166,0.2241,4,Triclinic,1,P1,oxide,,Sr,"Cu, Ir",,,,"C, O, S",I,,,,"B $\in$ [0.5, 1]",Positive B,2.0472660401209284
