material_id,chem_formula,R$_0$,B,Re_chemenv,num_Re_chemenvs,Re_wyckoff,num_Re_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Re_sites,num_CN_env,num_charge_states,ReX_coordn,ReO_coordn,mean_coordn_Re-X,min_coordn_Re-X,max_coordn_Re-X,mean_coordn_Re-O,min_coordn_Re-O,max_coordn_Re-O,mean_Re_charge,min_Re_charge,max_Re_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ReO_BondL
mp-720266,Re2H6PbC(NO5)2,1.764336045138919,0.0159851985648959,Tetrahedron,1,4e,1,"[0.009016676881145, 0.004424079515713]",0.0,0.006720378198429,ABC2D2E6F10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,C-H-N-O-Pb-Re,0.029466764261363,-1.482681281477273,3.1482,6,Monoclinic,2/m,P2_1/c,oxide,,,Re,,Pb,,"H, C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7557107307964284
mp-722880,BaRe2H12C3N6O11,1.760186987162291,0.0085987827312463,Tetrahedron,1,4e,1,"[0.016131769964172, 0.0074833054494090005]",0.0,0.011807537706790501,AB2C3D6E11F12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-C-H-N-O-Re,0.006840213214307,-1.279700126571429,2.973799999999999,6,Monoclinic,2/m,P2_1/c,oxide,,Ba,Re,,,B,"H, C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.755543653369839
mp-733848,CdRe2H8C2(N2O5)2,1.7977484111789432,0.0755638078586969,Tetrahedron,1,4e,1,"[0.010192203422775001, 0.026185422634015004]",0.0,0.018188813028395003,AB2C2D4E8F10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,C-Cd-H-N-O-Re,0.016455344907405,-1.268019503518518,2.7859,6,Monoclinic,2/m,P2_1/c,oxide,,,"Cd, Re",,,,"H, C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7562379866017306
mp-736225,Sr2Re4H16C3(N2O7)3,1.7703118626221268,0.0286426467793507,Tetrahedron,1,1a,1,"[0.013482803329422002, 0.008004707652747, 0.007205071505116001, 0.010410793008888001, 0.021332631162273002, 0.019095142248618, 0.021003504311948, 0.017058406467908002]",0.0,0.014699132460865,A2B3C4D6E16F21,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,C-H-N-O-Re-Sr,0.021129637932689,-1.542726237548077,3.2845,6,Triclinic,1,P1,oxide,,Sr,Re,,,,"H, C, N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.754896759719511
mp-740752,BaRe2(H2O3)4,1.7396999061060363,-0.0276308565227112,Tetrahedron,1,4e,1,"[0.013018391318686, 0.002389769321768]",0.0,0.007704080320227,AB2C8D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-H-O-Re,0.011698152608698,-1.8619164310869567,4.0553,4,Monoclinic,2/m,P2_1/c,oxide,,Ba,Re,,,B,"H, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7551192150996107
mp-7423,Sm3ReO8,2.0546867218933365,1.0847556057165844,Octahedron,1,4e,1,[0.221643571776821],0.0,0.221643571776821,AB3C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Re-Sm,0.0,-3.276375058541674,1.7676,3,Monoclinic,2/m,P2_1/c,oxide,,,Re,,,,"O, S",,,Sm,,B > 1,Positive B,1.888159307121196
mp-745984,Sr2Re4H16C3(N2O7)3,1.7704579606365136,0.0288763826362143,Tetrahedron,1,4b,1,"[0.016961190312581, 0.008576540274151001]",0.0,0.012768865293366,A2B3C4D6E16F21,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,C-H-N-O-Re-Sr,0.01818724870192,-1.545668626778847,3.2686,6,Orthorhombic,mm2,Fdd2,oxide,,Sr,Re,,,,"H, C, N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7549174370960654
mp-753358,CoRe2(H2O3)4,1.762613381856308,0.0128757248944158,Tetrahedron,1,2i,1,[0.004583320804267],0.0,0.004583320804267,AB2C8D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Co-H-O-Re,0.01589883,-1.6253829954347832,2.987199999999999,4,Triclinic,-1,P-1,oxide,,,"Co, Re",,,,"H, C, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7559185783486742
mp-754311,Mg(ReO4)2,1.827815789057284,0.1388672361334335,Tetrahedron,1,2d,1,[0.006256477573335001],0.0,0.006256477573335001,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Mg-O-Re,0.013436250909085,-2.386015473636364,3.9495,3,Trigonal,-3,P-3,oxide,,Mg,Re,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7505474464456174
mp-754632,Pr(ReO4)2,1.9198872677065832,0.2664459272767852,Tetrahedron,1,2d,1,[0.00602740317328],0.0,0.00602740317328,AB2C8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Pr-Re,0.0,-2.50389236060606,0.0,3,Trigonal,-3,P-3,oxide,,,Re,,,,"O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,1.7716347746661105
