material_id,chem_formula,R$_0$,B,Ca_chemenv,num_Ca_chemenvs,Ca_wyckoff,num_Ca_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ca_sites,num_CN_env,num_charge_states,CaX_coordn,CaO_coordn,mean_coordn_Ca-X,min_coordn_Ca-X,max_coordn_Ca-X,mean_coordn_Ca-O,min_coordn_Ca-O,max_coordn_Ca-O,mean_Ca_charge,min_Ca_charge,max_Ca_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_CaO_BondL
mp-1040876,CaMo2P2O9,4.785568623345158,-1.77869734028169,Face-capped octahedron,1,4c,1,[3.200387794873607],0.0,3.200387794873607,AB2C2D9,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Mo-O-P,0.0,-2.647682957627552,2.7872999999999992,4,Orthorhombic,mmm,Pnma,oxide,,Ca,Mo,,,,"C, O, P",,,,,B < -1,Negative B,2.542834103559588
mp-1040883,CaFe3(P2O7)2,2.749009010255373,-0.1088553237038086,Cube,1,2b,1,[2.020015242961729],0.0,2.020015242961729,AB3C4D14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Ca-Fe-O-P,0.0,-2.58792971538961,4.0021,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,Fe,,,,"C, O, P",F,,,,"B $\in$ [-1, -0.1]",Negative B,2.59643865034818
mp-1040889,CaCr2P2O9,1.8901896402779088,0.5155068793601489,Face-capped octahedron,1,4c,1,[2.9915449539303083],0.0,2.9915449539303083,AB2C2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Cr-O-P,0.0,-2.815471406556121,2.1309,4,Orthorhombic,mmm,Pnma,oxide,,Ca,Cr,,,,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.4349793550014813
mp-1040914,CaNi2(PO4)2,2.6030503626466874,-0.0220882815520959,Dodecahedron with triangular faces - p2345 plane normalized,1,4f,1,[3.796073484972357],0.0,3.796073484972357,AB2C2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-Ni-O-P,0.012089604209402,-2.503994431098902,3.1073,4,Monoclinic,2/m,C2/c,phosphate,,Ca,Ni,,,,"C, N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.5330785374377496
mp-1040917,CaFe2(PO4)2,2.78699471809852,-0.1233412811764382,Dodecahedron with triangular faces - p2345 plane normalized,1,4f,1,[3.994218667188536],0.0,3.994218667188536,AB2C2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Ca-Fe-O-P,0.021166255747866,-2.6179899818681323,3.807199999999999,4,Monoclinic,2/m,C2/c,phosphate,,Ca,Fe,,,,"C, O, P",F,,,,"B $\in$ [-1, -0.1]",Negative B,2.5650801151732647
mp-1040941,CaFe2P2O9,4.959929304917775,-1.976904446407192,Face-capped octahedron,1,4c,1,[2.8336903069031463],0.0,2.8336903069031463,AB2C2D9,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",r2SCAN,Ca-Fe-O-P,0.0,-2.580595041556122,2.0735,4,Orthorhombic,mmm,Pnma,oxide,,Ca,Fe,,,,"C, O, P",F,,,,B < -1,Negative B,2.467976974993248
mp-1041051,CaV2O4,2.02220969822805,0.2702054301252361,"Octahedron, Tetrahedron",2,1a,1,"[0.41706303841295506, 0.037119610213501006, 1.457319804427058, 0.035685017544063, 0.04884338218484, 0.0168135960448]",0.0,0.3354740748045362,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Ca-O-V,0.042687862261898,-2.758739185238096,0.0198,3,Monoclinic,m,Cm,oxide,,Ca,V,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.2346651722499336
mp-1041222,CaHoV2O6,2.285887080288032,0.1351240923315106,Square-face bicapped trigonal prism,1,2a,1,[1.939859229736111],0.0,1.939859229736111,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Ho-O-V,0.0,-3.121268677499999,1.1093,4,Monoclinic,m,Pc,oxide,,Ca,V,,,,"H, C, O",,,Ho,,"B $\in$ [0.1, 0.5]",Positive B,2.501780074911637
mp-1041246,CaAg3P3O13,2.0145887056201177,0.4050540779319463,Square antiprism,1,2e,1,[3.934172433365217],0.0,3.934172433365217,AB3C3D13,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ag-Ca-O-P,0.004627652437497,-1.925377245946428,0.0,4,Monoclinic,2/m,P2_1/m,oxide,,Ca,Ag,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.6013950528689165
mp-1041411,CaBi4O9,2.0046647303980483,0.3459538162533249,Cube,1,2e,1,[1.8911860563585332],0.0,1.8911860563585332,AB4C9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,Bi-Ca-O,0.001056999910713,-1.754465680000001,0.7755000000000001,3,Monoclinic,2/m,P2/c,oxide,,Ca,,,Bi,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5013577772083693
