material_id,chem_formula,R$_0$,B,P_chemenv,num_P_chemenvs,P_wyckoff,num_P_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_P_sites,num_CN_env,num_charge_states,PX_coordn,PO_coordn,mean_coordn_P-X,min_coordn_P-X,max_coordn_P-X,mean_coordn_P-O,min_coordn_P-O,max_coordn_P-O,mean_P_charge,min_P_charge,max_P_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_PO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1020180,Na2SrMg(PO4)2,1.642284132578343,0.3963623072810961,Tetrahedron,1,4e,1,"[0.009965146311999, 0.010330810401422]",0.0,0.0101479783567105,ABC2D2E8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.5540089719823675,GGA,Mg-Na-O-P-Sr,0.000171755535713,-2.962684391931737,5.2433,5,Monoclinic,2/m,P2_1/c,phosphate,Na,"Mg, Sr",None,None,None,None,"N, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020606,SrBe2(PO4)2,1.6075371069253515,0.2596016694506664,Tetrahedron,1,4e,1,"[0.031568643361024, 0.13580755101167202]",0.0,0.08368809718634801,AB2C2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.5498176039663225,GGA,Be-O-P-Sr,0.0,-3.136603073598899,5.9252,4,Monoclinic,2/m,P2_1/c,phosphate,None,"Be, Sr",None,None,None,B,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020615,Y2SiP4O15,1.593479305126409,0.22136654942378714,Tetrahedron,1,4c,1,"[0.20998242269267, 0.16688605153427002]",0.0,0.18843423711347002,AB2C4D15,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",1.5472907890762848,GGA,O-P-Si-Y,0.0,-3.178789287889609,5.7959,4,Orthorhombic,222,P2_12_12,oxide,None,None,Y,None,None,Si,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020616,RbMgPO4,1.61074980907367,0.34248598896199034,Tetrahedron,1,4a,1,"[0.0018496507819980002, 0.016398505130593002, 0.16480114296075102]",0.0,0.06101643295778067,ABCD4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.5344074968855335,SCAN,Mg-O-P-Rb,0.0,-2.904985484948979,4.6422,4,Orthorhombic,mm2,Pna2_1,phosphate,Rb,Mg,None,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020628,SrGe(PO4)2,1.6294255288045978,0.4413054568271247,Tetrahedron,1,4f,1,[0.11048164780651101],0.0,0.11048164780651101,ABC2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals",1.5315419371464714,SCAN,Ge-O-P-Sr,0.0,-2.793862971190475,4.0991,4,Monoclinic,2/m,C2/c,phosphate,None,Sr,None,None,None,Ge,"O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020656,RbY(PO3)4,1.6349220705618634,0.35267869481705993,Tetrahedron,1,4e,1,"[0.250283117795049, 0.32349062032223, 0.13977936305872501, 0.258138911947684]",0.0,0.24292300328092203,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.5613923793342337,GGA,O-P-Rb-Y,0.006059931249998001,-2.913778739503968,5.4849,4,Monoclinic,2/m,P2_1/c,phosphite,Rb,None,Y,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020657,NaSr(PO3)3,1.617981073281405,0.2831468612617535,Tetrahedron,1,2i,1,"[0.33464928559407403, 0.23705117261084502, 0.27121408011060605]",0.0,0.2809715127718417,ABC3D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.5606040144804834,GGA,Na-O-P-Sr,0.0,-2.870435700736278,5.4112,4,Triclinic,-1,P-1,phosphite,Na,Sr,None,None,None,None,"N, O, P, S",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020683,NaCa(PO3)3,1.6132341555794247,0.27082149822149465,Tetrahedron,1,2i,1,"[0.35238364695100405, 0.22009765296977102, 0.29590796546873904]",0.0,0.2894630884631714,ABC3D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals",1.5583513133530709,GGA,Ca-Na-O-P,0.0,-2.858141192521992,5.4489,4,Triclinic,-1,P-1,phosphite,Na,Ca,None,None,None,None,"C, N, O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020797,Y(PO3)3,1.5856120827104963,0.25243468043654377,Tetrahedron,1,2a,1,"[0.18820413798926203, 0.14927411429606402, 0.15347443055186302]",0.0,0.16365089427906301,AB3C9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.5344360339330574,r2SCAN,O-P-Y,0.006286225288461,-2.758544569532967,5.626799999999999,3,Monoclinic,m,Cc,phosphite,None,None,Y,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1020947,Y(PO3)3,1.6074077909186133,0.2695412462166871,Tetrahedron,1,4e,1,"[0.166152089963219, 0.21173472337088903, 0.308348944458642, 0.181801892797534, 0.25307407590008, 0.19798612793396, 0.24489520012085703, 0.19620686464342502, 0.170861872379884]",0.0,0.2145624212853878,AB3C9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.5527599489692165,GGA,O-P-Y,0.005382557724365001,-2.759448237097062,5.861099999999999,3,Monoclinic,2/m,P2_1/c,phosphite,None,None,Y,None,None,None,"O, P",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
