material_id,chem_formula,R$_0$,B,Se_chemenv,num_Se_chemenvs,Se_wyckoff,num_Se_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Se_sites,num_CN_env,num_charge_states,SeX_coordn,SeO_coordn,mean_coordn_Se-X,min_coordn_Se-X,max_coordn_Se-X,mean_coordn_Se-O,min_coordn_Se-O,max_coordn_Se-O,mean_Se_charge,min_Se_charge,max_Se_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_SeO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-554040,CuSeO4,1.7312744875364245,0.17331311695518958,Tetrahedron,1,4c,1,[0.204896202760621],0.0,0.204896202760621,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6611980416143655,r2SCAN,Cu-O-Se,0.0,-0.702283608177084,0.0,3,Orthorhombic,mmm,Pnma,oxide,None,None,Cu,None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-554063,SmSeClO3,1.848200688851037,0.3929691779436937,Triangular non-coplanar,1,4c,1,[1.112638373799139],0.0,1.112638373799139,ABCD3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",1.7359405691169527,GGA,Cl-O-Se-Sm,0.0,-2.4629427787239573,4.4293,4,Orthorhombic,mmm,Pnma,chlorate,None,None,None,None,None,None,"C, O, S, Se",Cl,None,Sm,None,"B $\in$ [0.1, 0.5]",Positive B
mp-554109,CuSeO4,1.7338746815756312,0.17903654812048372,Tetrahedron,1,2c,1,[0.085455537989036],0.0,0.085455537989036,ABC4,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.6614844639678585,SCAN,Cu-O-Se,0.015658944583337,-0.6866246635937471,0.0,3,Orthorhombic,mmm,Cmcm,oxide,None,None,Cu,None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-554335,K2CuH12(SeO7)2,1.6492527102803987,-0.07364289453229528,Tetrahedron,1,4e,1,[0.016242507953647],0.0,0.016242507953647,AB2C2D12E14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",1.678974400519468,GGA,Cu-H-K-O-Se,0.004828289153228,-1.354456001909274,0.7578,5,Monoclinic,2/m,P2_1/c,oxide,K,None,Cu,None,None,None,"H, C, O, S, Se",None,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-554440,CuSeO3,1.7730044903412492,0.18737602543888993,Triangular non-coplanar,1,4e,1,"[0.528394294810245, 0.927819358566058]",0.0,0.7281068266881515,ABC3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",1.7193347052893262,r2SCAN,Cu-O-Se,0.00033432874998400004,-0.8072194835624991,0.021500000000000002,3,Monoclinic,2/m,P2_1/c,oxide,None,None,Cu,None,None,None,"C, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-554443,Na6Se2O9,1.8598738647552158,0.44197383682039587,"Tetrahedron, Octahedron",2,4c,1,"[0.019169104791450002, 0.0061811431982610006, 0.00402248699065, 0.008722958555733]",0.0,0.0095239233840235,A2B6C9,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals",1.738943614273559,GGA,Na-O-Se,0.0074469445588220004,-1.503994129595589,1.335799999999999,3,Orthorhombic,mmm,Pnma,oxide,Na,None,None,None,None,None,"N, O, S, Se",None,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-554548,BaMo2Se2O11,2.049431749894816,1.0772798582632226,Triangular non-coplanar,1,4b,1,[0.9870655036318091],0.0,0.9870655036318091,AB2C2D11,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",1.7396458062074736,GGA_U,Ba-Mo-O-Se,0.0,-1.936707446855468,2.5898,4,Orthorhombic,mm2,Cmc2_1,oxide,None,Ba,Mo,None,None,B,"O, S, Se",None,None,None,None,B > 1,Positive B
mp-554763,NpAgSeO5,1.8590655782699954,0.41264740257957,Triangular non-coplanar,1,2i,1,"[0.738960397631636, 0.796372742955173]",0.0,0.7676665702934045,ABCD5,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Nonmetals, Transition Metals",1.7405604643143846,GGA,Ag-Np-O-Se,0.037719700104174005,-2.040924001282552,0.27230000000000004,4,Triclinic,-1,P-1,oxide,None,None,Ag,None,None,None,"N, O, S, Se",None,None,None,Np,"B $\in$ [0.1, 0.5]",Positive B
mp-554805,Sr3Se3(ClO4)2,1.9416778427597474,0.6866609197191644,Triangular non-coplanar,1,4c,1,"[0.715850174988603, 1.5734559076400192, 1.47955044659619]",0.0,1.256285509741604,A2B3C3D8,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals",1.7487662196357676,GGA,Cl-O-Se-Sr,0.0,-2.242437453720703,3.4263,4,Orthorhombic,mmm,Pnma,perchlorate,None,Sr,None,None,None,None,"C, O, S, Se",Cl,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-554901,Ga2Mo(SeO5)2,1.8961994355503933,0.5146513409434899,Triangular non-coplanar,1,4c,1,"[0.574199703195115, 1.009676070981296]",0.0,0.7919378870882054,AB2C2D10,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",1.7494803736657623,GGA_U,Ga-Mo-O-Se,0.0,-1.755290112479167,3.6215,4,Orthorhombic,mmm,Pnma,oxide,None,None,Mo,None,Ga,None,"O, S, Se",None,None,None,None,"B $\in$ [0.5, 1]",Positive B
