material_id,chem_formula,R$_0$,B,Ru_chemenv,num_Ru_chemenvs,Ru_wyckoff,num_Ru_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ru_sites,num_CN_env,num_charge_states,RuX_coordn,RuO_coordn,mean_coordn_Ru-X,min_coordn_Ru-X,max_coordn_Ru-X,mean_coordn_Ru-O,min_coordn_Ru-O,max_coordn_Ru-O,mean_Ru_charge,min_Ru_charge,max_Ru_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_RuO_BondL
mp-12046,Rb3Na(RuO4)2,2.292265223813897,1.2143569538708487,Tetrahedron,1,2d,1,[0.08211856403454201],0.0,0.08211856403454201,AB2C3D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-Rb-Ru,0.0,-1.7055348624199511,0.5102,4,Trigonal,-3m,P-3m1,oxide,"Na, Rb",,Ru,,,,"N, O",,,,,B > 1,Positive B,1.8000010337647625
mp-12047,K3Na(RuO4)2,1.8911735058622496,0.2318483729153548,Tetrahedron,1,2d,1,[0.11414707681670201],0.0,0.11414707681670201,AB2C3D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,K-Na-O-Ru,0.005935813928569,-1.70130232379495,0.491599999999999,4,Trigonal,-3m,P-3m1,oxide,"Na, K",,Ru,,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7977084229883291
mp-1204904,Nd3RuO7,1.9680221631459367,0.1116039022631585,Octahedron,1,"2c, 2b",2,"[0.21102724153176403, 0.173084968459741]",0.0,0.1920561049957525,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Nd-O-Ru,0.001448124999999,-2.954661945227273,0.1566,3,Monoclinic,2/m,P2_1/m,oxide,,,Ru,,,,"N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.9887591927971517
mp-1207752,Y2NiRuO6,1.9807817074833785,0.1140905550765297,Octahedron,1,2a,1,[0.015967759501513003],0.0,0.015967759501513003,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-Ru-Y,0.032094077874994,-2.625757513,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Y, Ru",,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0272576523391788
mp-1208962,Sm2NiRuO6,1.9562823004109933,0.1790052583768713,Octahedron,1,2a,1,[0.027887063365614],0.0,0.027887063365614,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Ni-O-Ru-Sm,0.004233236124996,-2.607658627,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Ru",,,,"N, O, S",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,2.0292012222871665
mp-1209548,Rb(RuO2)4,1.7526857599519203,0.5560632069789057,Octahedron,1,4h,1,[1.164809344554193],0.0,1.164809344554193,AB4C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.75,3.75,3.75,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,O-Rb-Ru,0.0,-1.476450811346154,0.0,3,Tetragonal,4/m,I4/m,oxide,Rb,,Ru,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,1.9987711895343423
mp-1209990,Nd2NiRuO6,2.0310160347047166,-0.0005806483678503,Octahedron,1,2a,1,[0.007803046777432001],0.0,0.007803046777432001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Nd-Ni-O-Ru,0.0,-2.579572834499998,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Ru",,,,"N, O",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.030779856025505
mp-1210521,Na(RuO2)4,1.7406675743761493,0.6192829865121501,Octahedron,1,4h,1,[0.842340153200354],0.0,0.842340153200354,AB4C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.75,3.75,3.75,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-Ru,0.039741290673079,-1.4334206101061,0.0,3,Tetragonal,4/m,I4/m,oxide,Na,,Ru,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0215581233354634
mp-1210924,LiTb2RuO6,1.970183435997423,0.0654449766507717,Octahedron,1,2a,1,[0.015926365488326003],0.0,0.015926365488326003,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Li-O-Ru-Tb,0.0,-2.864963510666666,0.0814,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ru,,,,O,,,Tb,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9821950064013913
mp-1210954,LiSm2RuO6,1.9647909038865208,0.0847996293671976,Octahedron,1,2a,1,[0.010402324037365001],0.0,0.010402324037365001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Li-O-Ru-Sm,0.0,-2.829137265333334,0.3999,4,Monoclinic,2/m,P2_1/c,oxide,Li,,Ru,,,,"O, S",,,Sm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9803547497835632
