material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sn_wyckoff,num_Sn_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-767192,Sn(PO3)2,2.3742912501182625,0.0892108442703733,"[4.0, 6.0]",2.0,2.0,2.0,Octahedron,"2e, 2c",1,6.0,Sn,0.0,True,2.0,6.0,2.417699027371893,2.4993694661378436,2.4692573356592025,0.03662848662818309,0.08167043876595059,36.47209308926329,13.203904730837033,12.896337366660834,56.781825334266024,6.0,1.0,3,Octahedron
mp-767192,Sn(PO3)2,2.3742912501182625,0.0892108442703733,"[4.0, 6.0]",2.0,2.0,2.0,Octahedron,"2e, 2c",1,6.0,Sn,0.0,True,3.0,6.0,2.2622191031548695,2.8631680613909416,2.5879438623734123,0.24792155014132616,0.6009489582360721,47.39626029938108,17.263492733025416,24.696824399252307,78.88952022332373,6.0,1.0,4,Octahedron
mp-767365,SnP4O11,2.210480223069207,0.2503743831014208,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Sn,0.0,True,0.0,6.0,2.419347975670645,2.6252871863866547,2.4785079193236044,0.0762748464839675,0.20593921071600985,55.62826858422143,25.555175707076174,7.435636804911438,88.72177348768516,6.0,1.0,1,Octahedron
mp-767365,SnP4O11,2.210480223069207,0.2503743831014208,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Sn,0.0,True,1.0,6.0,2.4424339577046905,2.641474372155015,2.5012841070175713,0.06731053419065075,0.1990404144503244,106.71810184008949,34.00800302482155,78.97522265355856,178.06119304297093,6.0,1.0,2,Octahedron
mp-767365,SnP4O11,2.210480223069207,0.2503743831014208,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Sn,0.0,True,2.0,6.0,2.442433957704689,2.6414743721550153,2.501284107017571,0.06731053419065124,0.19904041445032616,106.71810184008949,34.008003024821555,78.97522265355853,178.06119304297093,6.0,1.0,3,Octahedron
mp-767365,SnP4O11,2.210480223069207,0.2503743831014208,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Sn,0.0,True,3.0,6.0,2.419347975670645,2.625287186386655,2.478507919323605,0.07627484648396736,0.2059392107160103,55.62826858422144,25.555175707076167,7.435636804911438,88.72177348768516,6.0,1.0,4,Octahedron
mp-768127,NaSnPCO7,1.867664849287714,0.5294476215820154,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Sn,0.0,True,2.0,6.0,2.048263389734545,2.124110087471019,2.0825554567122326,0.023590043064638213,0.07584669773647379,85.4748647665433,35.36997145197264,3.3152006471536755,170.63280529561044,6.0,1.0,1,Octahedron
mp-768127,NaSnPCO7,1.867664849287714,0.5294476215820154,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Sn,0.0,True,3.0,6.0,2.048263389734546,2.124110087471019,2.082555456712233,0.02359004306463846,0.0758466977364729,87.96301640604877,35.80923622787942,2.063403439619857,170.63280529561044,6.0,1.0,2,Octahedron
mp-768159,LiSnPCO7,1.858959468096181,0.5412288025892161,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Sn,0.0,True,2.0,6.0,2.0414423492782467,2.1334476711159955,2.0791109875305627,0.0355653446169753,0.09200532183774879,85.79558456198382,34.862335568514006,4.977740641803062,169.62026012023142,6.0,1.0,1,Octahedron
mp-768159,LiSnPCO7,1.858959468096181,0.5412288025892161,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Sn,0.0,True,3.0,6.0,2.0414423492782463,2.1334476711159978,2.0791109875305627,0.03556534461697582,0.09200532183775145,87.48100011192744,35.338523388466925,2.7408904989152743,169.62026012023142,6.0,1.0,2,Octahedron
