material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ta_wyckoff,num_Ta_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,14.0,6.0,1.9058269693051626,2.0062249983986375,1.9774087319349214,0.03383537476761992,0.10039802909347495,107.66694699324104,35.35028189096488,88.24946406993094,178.80744052344676,6.0,1.0,10,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,10.0,6.0,1.8963423749207298,2.268304570617851,1.9985460226583351,0.1234449851585236,0.3719621956971211,66.81593557343707,36.8489669350517,11.733474334756938,125.00958861547058,6.0,1.0,1,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,11.0,6.0,1.8775993805439681,2.226357381799084,2.0114986526830534,0.1515403394473678,0.3487580012551159,37.92588155116155,15.880205069909154,7.909274237162631,60.45102550447699,6.0,1.0,2,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,12.0,6.0,1.8671317854549065,2.260151981052215,2.011727788666528,0.15884421154106368,0.3930201955973085,64.0681832152531,35.794630138756474,10.271120558271377,119.17147809603948,6.0,1.0,3,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,13.0,6.0,1.8726834850110956,2.2589030664252596,2.0117214839239943,0.156524129225576,0.386219581414164,66.12723527154351,33.05668496601016,9.714679665932044,115.40450840190977,6.0,1.0,4,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,14.0,6.0,1.8775807949890355,2.1451420910656047,2.0003222515713457,0.09784924946220971,0.2675612960765692,106.86356153668697,33.94842302607524,83.5674453324957,176.6839896298742,6.0,1.0,5,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,15.0,6.0,1.8520426037890594,2.199124125892165,2.0284188775191905,0.15764765846401896,0.3470815221031056,105.54123028580747,32.078596784809044,80.23919885909505,170.61697828036026,6.0,1.0,6,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,16.0,6.0,1.8579211330555387,2.215231259102207,2.025755317341009,0.15674760578196156,0.35731012604666823,105.56610489879581,32.09870539310216,80.66448206221114,170.1971021798632,6.0,1.0,7,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,17.0,6.0,1.913964767429388,2.131761714717041,1.9898321285457545,0.08172081106571544,0.2177969472876531,107.27930953585825,34.61317980321911,88.12226631486548,176.55080399855552,6.0,1.0,8,Octahedron
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.909638839599707,0.4353011214126908,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,18.0,6.0,1.8791348838066426,2.132869691845912,1.9930973267317749,0.07912443282481402,0.2537348080392694,49.15012628546133,24.74998566469772,7.254774661173124,86.26288623356379,6.0,1.0,9,Octahedron
