material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ta_wyckoff,num_Ta_chemenvs,CN,element,charge_range,is_single_charge
mp-1234296,Nd4MgTa4Ti4O24,1.935865731638448,0.4350572731855611,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1235470,LiPr2Ta2Cl2O7,1.6683795105553365,1.4416356966700152,[6.0],4.5,4.5,4.5,Octahedron,2i,1,6.0,Ta,0.0,True
mp-12355,Sr2YTaO6,1.9872170517983985,0.0397371627198841,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ta,0.0,True
mp-1235966,LiPr2Ta2Cl2O7,2.009388544489472,0.1093690208103243,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Ta,1.0,False
mp-1235966,LiPr2Ta2Cl2O7,2.009388544489472,0.1093690208103243,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,1a,1,6.0,Ta,1.0,False
mp-1236376,LiTa2Te4Br10O,1.928356496181808,-0.2798088454714352,"[1.0, 1.0]",3.5,3.0,4.0,"See-saw, Octahedron",1a,2,1.0,Ta,1.0,False
mp-1236376,LiTa2Te4Br10O,1.928356496181808,-0.2798088454714352,"[1.0, 1.0]",3.5,3.0,4.0,"See-saw, Octahedron",1a,2,1.0,Ta,1.0,False
mp-1236401,LiTa2Te4Br10O,1.8986452725082064,0.0845814470705518,"[1.0, 1.0]",3.5,3.0,4.0,"Square pyramid, Octahedron",1a,2,1.0,Ta,1.0,False
mp-1236401,LiTa2Te4Br10O,1.8986452725082064,0.0845814470705518,"[1.0, 1.0]",3.5,3.0,4.0,"Square pyramid, Octahedron",1a,2,1.0,Ta,1.0,False
mp-1238961,Ta2O5,1.9173692063190828,0.7148335497607723,[6.0],5.0,5.0,5.0,Octahedron,2m,1,6.0,Ta,0.0,True
mp-1274989,Sr3TaCoO7,2.2781376883744504,-1.654149306541791,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-1275766,Sr3TaCoO7,2.3065155188288458,-1.7537472465843955,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1282822,Sr3TaCoO7,2.3034544349497823,-1.7518993770596207,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-12862,LuTaO4,1.8682444661516229,1.5538302150057952,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Ta,0.0,True
mp-1291967,TaVO4,1.9557261654949776,0.2668163083850542,[6.0],5.0,5.0,5.0,Octahedron,"2i, 1b, 1c",1,6.0,Ta,0.0,True
mp-12931,SmTaO4,1.871312501172953,1.2243345979738822,[6.0],5.0,5.0,5.0,Octahedron,2f,1,6.0,Ta,0.0,True
mp-12932,TbTaO4,1.8724400427736527,1.199025822318006,[6.0],5.0,5.0,5.0,Octahedron,2f,1,6.0,Ta,0.0,True
mp-12933,TmTaO4,1.8734280444380595,1.1654665461538432,[6.0],5.0,5.0,5.0,Octahedron,2f,1,6.0,Ta,0.0,True
mp-1298696,Sr3TaCoO7,2.258522783042607,-1.5137738475097873,[6.0],5.0,5.0,5.0,Octahedron,"1a, 1b",1,6.0,Ta,0.0,True
mp-13019,NaLa2TaO6,2.04368037691497,-0.1717268421506039,[6.0],5.0,5.0,5.0,Octahedron,2d,1,6.0,Ta,0.0,True
mp-1302208,Sr3TaCoO7,2.2886587743175144,-1.655281736641535,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1304728,Sr3TaCoO7,2.3089384132409423,-1.780289169327817,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-13055,Ba2LaTaO6,2.000695200345714,-0.0023917311252519,[6.0],5.0,5.0,5.0,Octahedron,1d,1,6.0,Ta,0.0,True
mp-1306705,TaMnO4,1.826656853485889,1.1590807600661504,[6.0],5.0,5.0,5.0,Octahedron,4i,1,6.0,Ta,0.0,True
mp-1309013,Sr3TaCoO7,2.2700815844553244,-1.6083315740421331,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1341944,Ca2TaFeO6,1.862042777072532,0.7490068953202196,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1345721,Ca2TaCrO6,1.869491362921714,0.6913819901373858,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Ta,0.0,True
mp-13664,Sr2Ta2O7,1.850529807644772,0.7865458697829213,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Ta,0.0,True
mp-1366540,Ca2TaMoO6,1.728956575717583,1.5558120966872635,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1373426,Ca2TaVO6,1.894029893915905,0.5468818778296421,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1373655,Ca2TaTiO6,1.972380886168675,0.2173388965088077,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1377373,Ca2TaCoO6,1.9106185117494348,0.442214652678769,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-13792,KTaP4O13,1.8484135108185569,0.7170220893467307,[6.0],5.0,5.0,5.0,Octahedron,4a,1,6.0,Ta,0.0,True
mp-1392387,Ta2O5,1.9789577947517905,0.5472880315528346,[6.0],5.0,5.0,5.0,Octahedron,4e,1,6.0,Ta,0.0,True
mp-1410067,TaReO6,1.93423559749956,0.2595972978595799,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-14333,TaAlO4,1.9248378851616352,0.7661647593347212,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,Ta,0.0,True
