material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Fe_wyckoff,num_Fe_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,10.0,6.0,1.9431089912947803,2.1723457327836906,2.0550238775468874,0.092781769443926,0.22923674148891027,74.38402971766665,41.51267376392527,7.580488692644077,171.29156714287654,6.0,1.0,1,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,11.0,6.0,1.946273831739636,2.1500946844180877,2.0511993016392642,0.08331869121894135,0.20382085267845174,95.20725223520427,36.85837158696838,27.888232901367296,172.96274078203842,6.0,1.0,2,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,12.0,6.0,1.9431089912947797,2.172345732783691,2.0550238775468874,0.0927817694439257,0.22923674148891138,74.38402971766665,41.512673763925264,7.580488692644077,171.29156714287654,6.0,1.0,3,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,13.0,6.0,1.9411427979751517,2.1755514994357505,2.056657632907432,0.09572673158763159,0.2344087014605989,58.76872534178605,42.28261584464659,2.3959036274490764,100.26389340790635,6.0,1.0,4,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,14.0,6.0,1.940181477987122,2.177854543821653,2.055929930219803,0.09635798887110188,0.23767306583453096,87.56741586069089,35.44729846173099,6.406785465221027,169.33809867394262,6.0,1.0,5,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,15.0,6.0,1.9397231190641133,2.176534679361056,2.055074173237373,0.0939334143548282,0.23681156029694272,98.27189393110827,35.12834941306585,28.30317283213056,172.73987258123756,6.0,1.0,6,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,16.0,6.0,1.9381817114511668,2.1714936740031767,2.055598090112827,0.0922922377461308,0.23331196255200992,87.27006221313046,40.937419404843844,7.494748395776169,172.80003828504422,6.0,1.0,7,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,17.0,6.0,1.9381817114511668,2.171493674003177,2.0555980901128272,0.09229223774613114,0.23331196255201037,87.27006221313046,40.93741940484384,7.494748395776266,172.80003828504422,6.0,1.0,8,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,18.0,6.0,1.9397231190641115,2.1765346793610583,2.0550741732373723,0.09393341435482908,0.23681156029694672,98.2718939311083,35.128349413065834,28.303172832130628,172.7398725812375,6.0,1.0,9,Octahedron
mp-1101479,NaLi9Fe10(SiO3)20,1.6429865601238405,0.5865590451312659,[6.0],3.0,3.0,3.0,Octahedron,"2c, 1a, 1b",1,6.0,Fe,0.0,True,19.0,6.0,1.9401814779871227,2.1778545438216526,2.055929930219803,0.09635798887110252,0.23767306583452985,87.5674158606909,35.44729846173098,6.406785465221084,169.33809867394262,6.0,1.0,10,Octahedron
