material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Mo_wyckoff,num_Mo_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1218388,Sr2VMoO6,1.903057086674727,0.406856595172644,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1d, 1c",1,6.0,Mo,1.0,False,6.0,6.0,2.068466370784,2.0858886976636453,2.0800158555587482,0.008164281567336878,0.0174223268796454,107.99999258941685,35.99998580753069,89.98698541827652,180.0,6.0,1.0,1,Octahedron
mp-1218388,Sr2VMoO6,1.903057086674727,0.406856595172644,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1d, 1c",1,6.0,Mo,1.0,False,7.0,6.0,1.9348436225799999,2.0132267790799823,1.9870763801706703,0.03693131685614609,0.0783831564999824,60.968548891509286,39.84220293346151,0.0,104.11348188512301,6.0,1.0,2,Octahedron
mp-1218388,Sr2VMoO6,1.903057086674727,0.406856595172644,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1d, 1c",1,6.0,Mo,1.0,False,6.0,6.0,2.068466370784,2.0858886976636453,2.0800158555587482,0.008164281567336878,0.0174223268796454,107.99999258941685,35.99998580753069,89.98698541827652,180.0,6.0,1.0,1,Octahedron
mp-1218388,Sr2VMoO6,1.903057086674727,0.406856595172644,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1d, 1c",1,6.0,Mo,1.0,False,7.0,6.0,1.9348436225799999,2.0132267790799823,1.9870763801706703,0.03693131685614609,0.0783831564999824,60.968548891509286,39.84220293346151,0.0,104.11348188512301,6.0,1.0,2,Octahedron
mp-1218421,Sr3FeMoO7,1.8368734226694208,0.8308216146903625,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Mo,0.0,True,4.0,6.0,1.8593142682424924,2.019253431127056,1.9868545821622885,0.05840875604008504,0.15993916288456345,83.98563544361059,39.81802060902532,0.0,180.0,1.0,0.16666666666666666,1,Octahedron
mp-1218549,Sr4Fe3MoO12,1.9354687544617453,0.0590726506873646,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Mo,0.0,True,7.0,6.0,1.9349435884069695,1.9365329487880008,1.9354733752006466,0.0007492316687840245,0.0015893603810313017,58.834189978660525,35.35256234750048,0.0,90.0,6.0,1.0,1,Octahedron
mp-1218594,Sr5Fe4MoO15,1.936641928644812,-0.0898080709075137,[6.0],6.0,6.0,6.0,Octahedron,1d,1,6.0,Mo,0.0,True,9.0,6.0,1.9334360143932794,1.9361555358757543,1.9348118902399876,0.0010374460910999674,0.002719521482474896,83.39437548081047,38.74113266398822,26.69272792716556,179.99684765345214,6.0,1.0,1,Octahedron
mp-1218596,Sr6MgMo3O14,1.9121328134461364,0.393050222842097,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Mo,1.0,False,7.0,6.0,1.9268722817114343,2.017230916800806,1.9518816478505563,0.03645927281563887,0.0903586350893717,66.96609341461598,70.43184651337326,10.959305771318675,180.0,6.0,1.0,1,Octahedron
mp-1218596,Sr6MgMo3O14,1.9121328134461364,0.393050222842097,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Mo,1.0,False,8.0,6.0,2.024160734343934,2.1316766148488515,2.0433930226829005,0.039586276210804294,0.10751588050491767,15.791273830029649,6.507638306250743,1.2074182697257333e-06,23.391764680769917,6.0,1.0,2,Octahedron
mp-1218596,Sr6MgMo3O14,1.9121328134461364,0.393050222842097,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Mo,1.0,False,9.0,6.0,2.0079209910980684,2.148889482080859,2.04102655731366,0.052633141940327546,0.1409684909827904,107.9731365787914,35.95268443588825,88.70756994512963,179.99999879258172,6.0,1.0,3,Octahedron
mp-1218596,Sr6MgMo3O14,1.9121328134461364,0.393050222842097,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Mo,1.0,False,7.0,6.0,1.9268722817114343,2.017230916800806,1.9518816478505563,0.03645927281563887,0.0903586350893717,66.96609341461598,70.43184651337326,10.959305771318675,180.0,6.0,1.0,1,Octahedron
mp-1218596,Sr6MgMo3O14,1.9121328134461364,0.393050222842097,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Mo,1.0,False,8.0,6.0,2.024160734343934,2.1316766148488515,2.0433930226829005,0.039586276210804294,0.10751588050491767,15.791273830029649,6.507638306250743,1.2074182697257333e-06,23.391764680769917,6.0,1.0,2,Octahedron
mp-1218596,Sr6MgMo3O14,1.9121328134461364,0.393050222842097,"[6.0, 6.0]",4.5,4.0,5.0,Octahedron,"1a, 1b",1,6.0,Mo,1.0,False,9.0,6.0,2.0079209910980684,2.148889482080859,2.04102655731366,0.052633141940327546,0.1409684909827904,107.9731365787914,35.95268443588825,88.70756994512963,179.99999879258172,6.0,1.0,3,Octahedron
mp-1218610,Sr5FeMo4O15,2.13976136278896,-0.3080008023096819,[6.0],4.25,4.25,4.25,no_data,no_data,1,6.0,Mo,0.0,True,6.0,6.0,1.9675204198464633,2.04458189039563,2.020567840152959,0.02586039598666162,0.07706147054916679,107.9067682898781,35.82243259891275,88.67144189056316,179.93723077233176,6.0,1.0,1,no_data
mp-1218610,Sr5FeMo4O15,2.13976136278896,-0.3080008023096819,[6.0],4.25,4.25,4.25,no_data,no_data,1,6.0,Mo,0.0,True,7.0,6.0,2.002971830526741,2.110090800256767,2.0433564905670667,0.0362932305199904,0.10711896973002588,88.94141490133073,49.006696126486524,13.936107458466486,178.67459892753305,6.0,1.0,2,no_data
mp-1218610,Sr5FeMo4O15,2.13976136278896,-0.3080008023096819,[6.0],4.25,4.25,4.25,no_data,no_data,1,6.0,Mo,0.0,True,8.0,6.0,2.0029718305267403,2.110090800256765,2.0433564905670663,0.0362932305199901,0.10711896973002455,67.5534905301369,72.78372126373758,9.732228318641333,178.6745989275333,6.0,1.0,3,no_data
mp-1218610,Sr5FeMo4O15,2.13976136278896,-0.3080008023096819,[6.0],4.25,4.25,4.25,no_data,no_data,1,6.0,Mo,0.0,True,9.0,6.0,1.9675204198464618,2.0445818903956305,2.020567840152959,0.02586039598666239,0.07706147054916879,107.90676828987854,35.82243259891368,88.67144189056314,179.93723077233756,6.0,1.0,4,no_data
mp-1218627,Sr3LaCr2(MoO6)2,2.135713711677372,-0.2553330604006665,[6.0],4.0,4.0,4.0,Octahedron,"1a, 1b",1,6.0,Mo,0.0,True,6.0,6.0,1.993970069914972,2.025604387692084,2.0065833899899137,0.011065015507971674,0.03163431777711212,80.79944272827179,35.26245472005346,26.657839333197902,179.20064648674156,6.0,1.0,1,Octahedron
mp-1218627,Sr3LaCr2(MoO6)2,2.135713711677372,-0.2553330604006665,[6.0],4.0,4.0,4.0,Octahedron,"1a, 1b",1,6.0,Mo,0.0,True,7.0,6.0,2.0373930056852574,2.0883387378482636,2.0546801369023897,0.01600491538959097,0.05094573216300624,49.07617180975733,25.715461360877033,10.051781090376396,80.48069301920735,6.0,1.0,2,Octahedron
mp-1218650,Sr3Fe2MoO9,1.9426860132243249,-0.7141446357615526,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,Mo,0.0,True,10.0,6.0,1.936888323319471,1.949716106554947,1.9431359072024952,0.004159234801819879,0.012827783235476176,107.69813032573478,35.396533129535875,88.91154088250985,178.63230668986628,6.0,1.0,1,Octahedron
mp-1218650,Sr3Fe2MoO9,1.9426860132243249,-0.7141446357615526,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,Mo,0.0,True,11.0,6.0,1.93688832331947,1.949716106554948,1.9431359072024954,0.004159234801820515,0.012827783235477952,107.69813032573477,35.396533129535875,88.91154088250991,178.63230668986628,6.0,1.0,2,Octahedron
mp-1218810,Sr2La2Cr3MoO12,1.6924811490088114,0.4407895569063551,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Mo,0.0,True,7.0,6.0,1.936695266157129,2.0323872395336307,2.000415520867438,0.044994198909509855,0.0956919733765016,90.89979880954677,45.95246174520176,19.33714365190347,179.98956176481806,6.0,1.0,1,Octahedron
mp-1218897,Sr10Mg4Fe(MoO6)5,1.9485697003800888,0.1985955814806001,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,Mo,1.0,False,15.0,6.0,1.9377530097718936,1.9818093135978612,1.9499084636327597,0.014691471285222262,0.04405630382596759,76.78012702386498,41.635585462181126,30.119279443578744,179.45835185831456,6.0,1.0,1,no_data
mp-1218897,Sr10Mg4Fe(MoO6)5,1.9485697003800888,0.1985955814806001,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,Mo,1.0,False,16.0,6.0,1.9377530097220326,1.9818093135483938,1.9499098037301763,0.014691279866523488,0.044056303826361276,107.89547015217916,35.794201012962894,89.38761489235222,179.98854837203268,6.0,1.0,2,no_data
mp-1218897,Sr10Mg4Fe(MoO6)5,1.9485697003800888,0.1985955814806001,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,Mo,1.0,False,17.0,6.0,1.9377530097220323,1.9818093135483927,1.9499098037301756,0.01469127986652325,0.04405630382636039,80.72638363923087,42.231812240784976,0.18424464787335026,179.9885483720645,6.0,1.0,3,no_data
mp-1218897,Sr10Mg4Fe(MoO6)5,1.9485697003800888,0.1985955814806001,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,Mo,1.0,False,18.0,6.0,1.9377530097718931,1.9818093135978607,1.9499084636327597,0.014691471285222232,0.04405630382596759,80.76507925856396,42.072807522262714,0.18424576567462714,178.99436016150128,6.0,1.0,4,no_data
mp-1218897,Sr10Mg4Fe(MoO6)5,1.9485697003800888,0.1985955814806001,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,Mo,1.0,False,19.0,6.0,1.9635956064612392,2.0009659872480015,1.97605240007348,0.017616566434785583,0.03737038078676225,108.0,36.00000000011158,89.99987377396126,180.0,6.0,1.0,5,no_data
mp-1218897,Sr10Mg4Fe(MoO6)5,1.9485697003800888,0.1985955814806001,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,Mo,1.0,False,15.0,6.0,1.9377530097718936,1.9818093135978612,1.9499084636327597,0.014691471285222262,0.04405630382596759,76.78012702386498,41.635585462181126,30.119279443578744,179.45835185831456,6.0,1.0,1,no_data
mp-1218897,Sr10Mg4Fe(MoO6)5,1.9485697003800888,0.1985955814806001,"[6.0, 6.0]",5.5,5.0,6.0,no_data,no_data,1,6.0,Mo,1.0,False,16.0,6.0,1.9377530097220326,1.9818093135483938,1.9499098037301763,0.014691279866523488,0.044056303826361276,107.89547015217916,35.794201012962894,89.38761489235222,179.98854837203268,6.0,1.0,2,no_data
