material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Mo_wyckoff,num_Mo_chemenvs,CN,element,charge_range,is_single_charge
mp-1041103,HoMg(MoO3)2,2.128071875477091,-0.0155364023964794,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1041103,HoMg(MoO3)2,2.128071875477091,-0.0155364023964794,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1041241,CaHo(MoO3)2,2.265144340691454,-0.2629705301057732,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1041241,CaHo(MoO3)2,2.265144340691454,-0.2629705301057732,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,2a,1,6.0,Mo,1.0,False
mp-1041428,ZnMo3P3O13,2.0585927687246,0.1241266307731771,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2a, 2e",2,5.0,Mo,0.0,True
mp-1041428,ZnMo3P3O13,2.0585927687246,0.1241266307731771,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2a, 2e",2,6.0,Mo,0.0,True
mp-1041465,MgMo3P3O13,2.0151206001075765,0.1966203253961634,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2a, 2e",2,5.0,Mo,0.0,True
mp-1041465,MgMo3P3O13,2.0151206001075765,0.1966203253961634,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","2a, 2e",2,6.0,Mo,0.0,True
mp-1042245,Ca(MoO2)2,1.93748346307856,0.3760427289681286,[6.0],3.0,3.0,3.0,Octahedron,"4d, 4e",1,6.0,Mo,0.0,True
mp-1042328,YMo(WO4)2,2.037991190829794,0.2084349845321157,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Mo,0.0,True
mp-1042794,MoAs2O7,1.924149214747985,0.3434003241165186,[5.0],6.0,6.0,6.0,Trigonal bipyramid,4e,1,5.0,Mo,0.0,True
mp-1042855,Ca2Mo3O8,1.939215289793638,0.3900795268219973,[6.0],4.0,4.0,4.0,Octahedron,6c,1,6.0,Mo,0.0,True
mp-1042928,Fe2(MoO4)3,1.923541253778116,0.3052522244967272,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Mo,0.0,True
mp-1043118,Cu3(MoO3)4,2.094137659508584,-0.1449525563469065,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1d, 1h, 1c, 1b",1,6.0,Mo,1.0,False
mp-1043118,Cu3(MoO3)4,2.094137659508584,-0.1449525563469065,"[6.0, 6.0]",3.5,3.0,4.0,Octahedron,"1d, 1h, 1c, 1b",1,6.0,Mo,1.0,False
mp-1043472,NiMoP2O9,1.951246111542472,0.4046792976688119,[6.0],6.0,6.0,6.0,Octahedron,4c,1,6.0,Mo,0.0,True
mp-1043759,CaNiMoP2O9,1.8750705302160289,0.4704643944333024,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Mo,0.0,True
mp-1044000,CaLaFeMoO6,1.9116005740821929,0.3906669482720607,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Mo,0.0,True
mp-1044288,MgTiMo(PO4)3,1.9723430813307288,0.1704980355489262,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Mo,0.0,True
mp-1044342,TiZnMo(PO4)3,1.9836176064452349,0.1535629170584168,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Mo,0.0,True
mp-1044354,CaTiMo(PO4)3,1.9731435384475189,0.1746963889941949,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Mo,0.0,True
