material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,N_wyckoff,num_N_chemenvs,CN,element,charge_range,is_single_charge
mp-1199465,Ho6H40N8O49,1.3038077090494276,0.0696989038481329,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1199625,Hg3HN2O7,1.307391057220548,0.0730252364547314,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1199676,InH10N3O14,1.291920598633674,0.0540376107662165,[3.0],5.0,5.0,5.0,Trigonal plane,"4f, 2e",1,3.0,N,0.0,True
mp-1199758,FeH8N3O13,1.3768001778830157,0.2303710802614151,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1200015,Bi2N2O9,1.279800668200576,0.0303622454559935,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1200253,CsMoN3O11,1.4824548026767297,0.4276779070277738,[3.0],5.0,5.0,5.0,Trigonal plane,2c,1,3.0,N,0.0,True
mp-1200557,CsV(NO4)2,1.4868518457863908,0.4235133398658623,[3.0],5.0,5.0,5.0,Trigonal plane,4a,1,3.0,N,0.0,True
mp-1200803,ZnH2N2O7,1.3685179551103124,0.1986695371054411,[3.0],5.0,5.0,5.0,Trigonal plane,8c,1,3.0,N,0.0,True
mp-1200900,Ho(NO3)3,1.8024205550225176,1.0489150074322249,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1200969,B3Pb3NO10,1.2790412682626346,0.031664222890265,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True
mp-1201141,Be4N6O19,1.442069159962465,0.3411009567323769,[3.0],5.0,5.0,5.0,Trigonal plane,24d,1,3.0,N,0.0,True
mp-1201318,Pb3(NO4)2,1.295949157914065,0.0477992327004505,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True
mp-1201377,Pr(NO3)3,1.697637945602296,0.8412135474563339,[3.0],5.0,5.0,5.0,Trigonal plane,4f,1,3.0,N,0.0,True
mp-1201420,Rb2Y(NO3)5,1.6057202730722864,0.659201291497324,[3.0],5.0,5.0,5.0,Trigonal plane,3a,1,3.0,N,0.0,True
mp-1201491,Lu6H40N8O49,1.303196805717355,0.0687219661177043,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1202008,CuAg2(NO3)4,1.4852818307922857,0.4220663449619526,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1202040,SmH12(NO5)3,1.336116503867376,0.1339936443245607,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1202266,Rb2PrH8N5O19,1.3289648077645106,0.1182871264970409,[3.0],5.0,5.0,5.0,Trigonal plane,2a,1,3.0,N,0.0,True
mp-1202402,BaP3NO11,1.75121116031896,0.8200749101994415,[3.0],5.0,5.0,5.0,Angular,4e,1,3.0,N,0.0,True
mp-1202407,LaB5H5NO14,1.2851955691692565,0.0505550804731434,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1202445,NaUN3O11,1.4255620400884186,0.3077369452093738,[3.0],5.0,5.0,5.0,"Trigonal plane, Octahedron","4a, 12b",2,3.0,N,0.0,True
mp-1202512,PrH12(NO5)3,1.3196656836488438,0.1175987549845615,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1202556,Tb(NO3)3,1.7853867530888192,1.0321038319613345,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1202729,CaH8(NO5)2,1.2964912039348058,0.0586866187207995,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1203247,Gd(NO3)3,1.8452076709092764,1.1316876053005678,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1203296,AlH12(NO5)3,1.3607036253488718,0.1964268982463562,[3.0],5.0,5.0,5.0,Trigonal plane,"4f, 2e",1,3.0,N,0.0,True
mp-1203703,Tm(NO3)3,1.8504806022051223,1.1426837296099208,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1203834,Cu2H10N4O17,1.3098044352673848,0.0808992181404394,[3.0],5.0,5.0,5.0,Trigonal plane,4f,1,3.0,N,0.0,True
