material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Re_wyckoff,num_Re_chemenvs,CN,element,charge_range,is_single_charge
mp-29908,Sr11(ReO6)4,1.9417150493873152,0.1672561416650052,"[6.0, 6.0]",6.5,6.0,7.0,Octahedron,"4d, 4c",1,6.0,Re,1.0,False
mp-29908,Sr11(ReO6)4,1.9417150493873152,0.1672561416650052,"[6.0, 6.0]",6.5,6.0,7.0,Octahedron,"4d, 4c",1,6.0,Re,1.0,False
mp-29931,VRe2O9,1.8297447226366133,0.1623754439736952,[4.0],7.0,7.0,7.0,Tetrahedron,2a,1,4.0,Re,0.0,True
mp-29937,Ho5(ReO6)2,1.724533499356769,0.9602205026690978,[6.0],4.5,4.5,4.5,Octahedron,1b,1,6.0,Re,0.0,True
mp-30137,Gd3ReO8,2.06833226175085,1.086992546403352,[6.0],7.0,7.0,7.0,Octahedron,4e,1,6.0,Re,0.0,True
mp-30165,Sr7Re4O19,1.920323573354704,0.6434027889637365,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,Re,0.0,True
mp-31101,Gd3ReO7,2.0614894315499024,-0.4935470092300054,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-31102,Tb3ReO7,2.0656215169824184,-0.533033837383637,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-31516,Co(ReO4)2,1.8010472100102952,0.1085880757550086,[4.0],7.0,7.0,7.0,Tetrahedron,2i,1,4.0,Re,0.0,True
mp-31628,CrReO4,1.880744523314635,0.5635718206045486,[6.0],5.0,5.0,5.0,Octahedron,4g,1,6.0,Re,0.0,True
mp-31763,Ca2FeReO6,1.907298706775144,0.2660258608673521,[6.0],5.0,5.0,5.0,Octahedron,4c,1,6.0,Re,0.0,True
mp-31907,Mn(ReO4)2,1.8329621748087053,0.1433326426685184,[4.0],7.0,7.0,7.0,Tetrahedron,8d,1,4.0,Re,0.0,True
mp-32309,Sr4Re2NiO12,2.09871637822327,1.2932136829809686,[6.0],7.0,7.0,7.0,Octahedron,8c,1,6.0,Re,0.0,True
mp-32311,Re2NiO8,1.817577931371299,0.1201663610448135,[4.0],7.0,7.0,7.0,Tetrahedron,8d,1,4.0,Re,0.0,True
mp-38807,Y7ReO14,2.23186877149657,2.215161684205944,[6.0],7.0,7.0,7.0,Octahedron,2c,1,6.0,Re,0.0,True
mp-38972,Ba3Re2O9,1.945024414898618,1.1551707182754605,[6.0],6.0,6.0,6.0,Octahedron,2c,1,6.0,Re,0.0,True
mp-504831,La3ReO8,1.873160415672864,-0.1943357865043867,[6.0],7.0,7.0,7.0,Octahedron,2e,1,6.0,Re,0.0,True
mp-505390,Ba2ReO5,1.9387725248068093,0.7855825093750725,[6.0],6.0,6.0,6.0,Octahedron,4c,1,6.0,Re,0.0,True
mp-531197,Sr(ReO3)3,1.9438594093318065,0.0684425318401512,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4c, 2b",1,6.0,Re,1.0,False
mp-531197,Sr(ReO3)3,1.9438594093318065,0.0684425318401512,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4c, 2b",1,6.0,Re,1.0,False
mp-540878,La3Re2O9,1.9443271568939504,0.0718234872194483,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,6.0,Re,1.0,False
mp-540878,La3Re2O9,1.9443271568939504,0.0718234872194483,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,4.0,Re,1.0,False
mp-540946,LiReO4,1.9489402711097044,0.3722582417079432,[4.0],7.0,7.0,7.0,Tetrahedron,2i,1,4.0,Re,0.0,True
mp-541393,K3NaRe2O9,2.170285750686376,1.6383691927965205,[6.0],7.0,7.0,7.0,Octahedron,4f,1,6.0,Re,0.0,True
mp-541928,Sm3Re2O9,1.9403281315472167,0.0981836209411878,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,6.0,Re,1.0,False
mp-541928,Sm3Re2O9,1.9403281315472167,0.0981836209411878,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,4.0,Re,1.0,False
mp-550479,Co(ReO4)2,1.8004877895304952,0.107764145493163,[4.0],7.0,7.0,7.0,Tetrahedron,2i,1,4.0,Re,0.0,True
mp-555095,Ba5Re3NO18,2.060712898693815,0.6541841050651168,[5.0],7.0,7.0,7.0,Square pyramid,6c,1,5.0,Re,0.0,True
mp-555247,Dy3ReO7,1.963139862410199,0.0991728741951342,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-555428,Sr5(ReO6)2,2.0694940828120467,1.0359848996650474,[6.0],7.0,7.0,7.0,Octahedron,"4c, 6e, 2b",1,6.0,Re,0.0,True
mp-555490,KRe2O4F7,1.7496709710152665,0.0636959395895189,[2.0],7.0,7.0,7.0,Octahedron,4g,1,2.0,Re,0.0,True
