material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,20.0,4.0,1.8733113167918982,1.8733157526573243,1.8733135823609737,1.5690385570169895e-06,4.435865426088981e-06,109.65189908646808,8.003650373712523,98.33296955587517,115.31175884438662,4.0,1.0,1,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,21.0,4.0,1.8733113167918996,1.8733157526573239,1.8733135823609737,1.569038556380841e-06,4.435865424312624e-06,81.18426874962944,33.75448524890028,24.297159286968494,126.58430781898326,4.0,1.0,2,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,22.0,4.0,1.8733113167918996,1.8733157526573248,1.8733135823609741,1.569038556694684e-06,4.435865425200802e-06,109.65189908646806,8.003650373712514,98.33296955587517,115.31175884438659,4.0,1.0,3,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,23.0,4.0,1.8733113167918984,1.873315752657324,1.8733135823609735,1.5690385568617536e-06,4.4358654256448915e-06,81.18426874962942,33.75448524890029,24.297159286968466,126.58430781898323,4.0,1.0,4,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,24.0,4.0,1.8733113167918987,1.873315752657324,1.8733135823609735,1.5690385567798988e-06,4.435865425422847e-06,109.65189908646808,8.003650373712526,98.33296955587518,115.31175884438662,4.0,1.0,5,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,25.0,4.0,1.873311316791899,1.8733157526573248,1.8733135823609741,1.569038556853332e-06,4.4358654256448915e-06,81.18426874962944,33.75448524890029,24.297159286968494,126.58430781898326,4.0,1.0,6,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,26.0,4.0,1.8733113167918982,1.8733157526573239,1.8733135823609735,1.5690385568684947e-06,4.4358654256448915e-06,109.65189908646808,8.003650373712539,98.33296955587514,115.31175884438665,4.0,1.0,7,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,27.0,4.0,1.8733113167918989,1.873315752657324,1.873313582360974,1.5690385567047753e-06,4.435865425200802e-06,81.18426874962942,33.75448524890027,24.297159286968512,126.58430781898323,4.0,1.0,8,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,28.0,4.0,1.8733113167918998,1.8733157526573239,1.8733135823609735,1.5690385562939152e-06,4.435865424090579e-06,109.65189908646806,8.003650373712523,98.33296955587517,115.31175884438662,4.0,1.0,9,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,29.0,4.0,1.8733113167918993,1.8733157526573245,1.8733135823609741,1.5690385566996935e-06,4.435865425200802e-06,81.18426874962944,33.75448524890029,24.29715928696848,126.58430781898326,4.0,1.0,10,"Tetrahedron, Octahedron"
mp-2921,Gd3Ga5O12,1.7643158679143895,0.378900198248497,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True,30.0,4.0,1.8733113167918987,1.873315752657323,1.8733135823609732,1.5690385563959835e-06,4.435865424312624e-06,109.65189908646806,8.003650373712532,98.33296955587514,115.31175884438662,4.0,1.0,11,"Tetrahedron, Octahedron"
