material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge
mp-1214542,Ba6Y2Ga4O15,1.8244323018538344,0.1625197543230374,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214551,Ba6Tb2Ga4O15,1.8161985831899168,0.1898750313358587,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214554,Ba6Sm2Ga4O15,1.8159395495487591,0.1869046529468065,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214555,Ba6Nd2Ga4O15,1.803158671400504,0.1831332957629177,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214558,Ba6Tm2Ga4O15,1.8020666500141505,0.1850753888369051,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214574,Ba6Lu2Ga4O15,1.8136428643097589,0.187620925919815,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214591,Ba6Pr2Ga4O15,1.8163347688865148,0.1904245686210293,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214596,Ba6Ho2Ga4O15,1.815675854145122,0.190927678606406,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214605,Ba6Dy2Ga4O15,1.8137900819790835,0.1959011003076173,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214608,Ba6Gd2Ga4O15,1.8162022045690829,0.1983714786447586,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1214629,Ba2Zn2Cr7Ga2(SnO11)2,1.804584532532531,0.2337841804318201,[4.0],3.0,3.0,3.0,Tetrahedron,2c,1,4.0,Ga,0.0,True
mp-1214864,Al2Ga2Bi2O9,1.822658476380001,0.1116776733780717,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,Ga,0.0,True
mp-1215133,Ba5GaRu2O11,1.8076745074861065,0.1546432921179262,[4.0],3.0,3.0,3.0,Tetrahedron,4c,1,4.0,Ga,0.0,True
mp-1215688,ZnInGaO4,2.097463733534189,-0.259275128125639,[5.0],3.0,3.0,3.0,Trigonal bipyramid,1a,1,5.0,Ga,0.0,True
mp-1215740,Zn3InGaO6,2.0419440622036986,-0.1352725561980993,[5.0],3.0,3.0,3.0,Trigonal bipyramid,1a,1,5.0,Ga,0.0,True
mp-1216516,V3Zn2GaO11,1.914542217082247,0.1452984709225538,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Ga,0.0,True
mp-1217722,TbGd2Ga5O12,1.765970602919094,0.3725413808385814,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4f, 8g",2,4.0,Ga,0.0,True
mp-1217722,TbGd2Ga5O12,1.765970602919094,0.3725413808385814,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4f, 8g",2,6.0,Ga,0.0,True
mp-1217786,SrYGa3O7,1.8067237145935624,0.152870761570413,[4.0],3.0,3.0,3.0,Tetrahedron,"2e, 2d, 2c",1,4.0,Ga,0.0,True
mp-1217789,SrSmGa3O7,1.7460215424566257,0.3829388578508117,[4.0],3.0,3.0,3.0,Tetrahedron,"2e, 2d, 2c",1,4.0,Ga,0.0,True
mp-1217806,Tb2GdGa5O12,1.7606509451057062,0.37954303374858,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4f, 8g",2,4.0,Ga,0.0,True
mp-1217806,Tb2GdGa5O12,1.7606509451057062,0.37954303374858,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","4c, 4f, 8g",2,6.0,Ga,0.0,True
mp-1218050,SrPrGa3O7,1.748592289221507,0.3795627348190727,[4.0],3.0,3.0,3.0,Tetrahedron,"2e, 2d, 2c",1,4.0,Ga,0.0,True
