material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge
mp-29320,Te3SeO8,1.725657904868768,0.0333566952971737,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-29833,Bi2(SeO3)3,1.7673175819384426,0.176646497702675,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-29839,Bi2SeO5,1.7658800997363069,0.1833377342684317,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4d,1,3.0,Se,0.0,True
mp-29871,Na4SeO5,1.8246786795172605,0.3097803888891767,[5.0],6.0,6.0,6.0,Square pyramid,2i,1,5.0,Se,0.0,True
mp-30123,Hg2SeO5,1.7093589018048014,0.1188109648756081,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-30325,In2(Se2O5)3,1.8252668130065668,0.3496700447981055,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2a,1,3.0,Se,0.0,True
mp-31065,Sc2(SeO3)3,1.7841707558144169,0.2908056036907931,[3.0],4.0,4.0,4.0,Triangular non-coplanar,6h,1,3.0,Se,0.0,True
mp-31352,Er2(SeO3)3,1.810023075674512,0.3606775711127423,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-3199,CuSe2O5,1.8373687171313409,0.3798808411429008,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Se,0.0,True
mp-4092,SrSeO4,1.78119090611926,0.316350388677974,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-4350,La2(SeO3)3,1.853282336063122,0.5010693052507156,[3.0],4.0,4.0,4.0,Triangular non-coplanar,"8d, 4c",1,3.0,Se,0.0,True
mp-4618,Rb2SeO4,1.9721149185007631,0.7761306827466773,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Se,0.0,True
mp-4649,PdSe2O5,1.802842079034638,0.2694605030515214,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Se,0.0,True
mp-505097,Co3H2Se3O10,1.8131961749068568,0.2453866689272713,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-505469,CoH2SeO4,1.8892967463277437,0.5089224494643656,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-510018,Rb2CuH12(SeO7)2,1.691310473820901,0.02923817969197,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-510022,MnH10SeO9,1.6826835259295088,0.0078725705330414,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True
mp-510293,Pb3SeO5,1.5699675127972903,-0.4989683702962345,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2a,1,3.0,Se,0.0,True
mp-5226,K2SeO4,2.103792084076319,1.104885417732674,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Se,0.0,True
mp-532676,LiMgAl3(SeO4)6,1.8690442039420216,0.4996790527638308,[4.0],6.0,6.0,6.0,Tetrahedron,1a,1,4.0,Se,0.0,True
mp-5338,ZnSeO3,1.7965710170816611,0.2673942694375381,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True
mp-541090,Ce(SeO3)2,1.8075798342981535,0.3169589134334874,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-541147,Cu4Se3O10,1.7514947953974265,0.1154614640233073,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-5416,Na2SeO3,1.8034178868316109,0.2967857809732291,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-542045,UTlH(SeO4)2,1.9553627751419165,0.7531095437907108,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-542115,Hg3Se3O10,1.6309537889153571,-0.2097427385726221,"[3.0, 4.0]",4.67,4.67,4.67,"Tetrahedron, Triangular non-coplanar",2a,2,3.0,Se,0.0,True
mp-542115,Hg3Se3O10,1.6309537889153571,-0.2097427385726221,"[3.0, 4.0]",4.67,4.67,4.67,"Tetrahedron, Triangular non-coplanar",2a,2,4.0,Se,0.0,True
mp-542117,Cd3Se3O10,1.6231559599404766,-0.221548397713016,"[3.0, 4.0]",4.67,4.67,4.67,"Tetrahedron, Triangular non-coplanar",2a,2,3.0,Se,0.0,True
mp-542117,Cd3Se3O10,1.6231559599404766,-0.221548397713016,"[3.0, 4.0]",4.67,4.67,4.67,"Tetrahedron, Triangular non-coplanar",2a,2,4.0,Se,0.0,True
mp-542284,Rb2CoH12(SeO7)2,1.661339775707905,-0.0456373005535817,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-542464,Ga2H6(SeO4)3,1.7363775225935558,-0.0277218401422701,[3.0],4.0,4.0,4.0,Triangular non-coplanar,6b,1,3.0,Se,0.0,True
mp-542813,K2BeH4(SeO5)2,1.7861388584660602,0.2684142440567232,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
