material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-558647,Cu9Se4(Cl3O7)2,1.696368847108819,-0.1852193565937332,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,9.0,3.0,1.7415247346215565,1.746907946897294,1.7433207670676154,0.0025365199669097165,0.005383212275737348,74.35101372244084,32.559467521258476,28.49441474405802,100.89284825417197,3.0,1.0,1,Triangular non-coplanar
mp-558647,Cu9Se4(Cl3O7)2,1.696368847108819,-0.1852193565937332,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,10.0,3.0,1.741524734621556,1.7469079468972943,1.7433207670676145,0.0025365199669107625,0.005383212275738236,74.35101372244084,32.55946752125849,28.49441474405799,100.89284825417195,3.0,1.0,2,Triangular non-coplanar
mp-558647,Cu9Se4(Cl3O7)2,1.696368847108819,-0.1852193565937332,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,11.0,3.0,1.739495314945761,1.7656034815224633,1.7569007318024965,0.012307488288822312,0.02610816657670223,75.2164075334548,30.493159912744474,32.26535834125445,100.03180221133951,3.0,1.0,3,Triangular non-coplanar
mp-558647,Cu9Se4(Cl3O7)2,1.696368847108819,-0.1852193565937332,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,12.0,3.0,1.739495314945762,1.7656034815224584,1.7569007318024947,0.012307488288820638,0.026108166576696457,75.2164075334548,30.49315991274449,32.26535834125444,100.03180221133952,3.0,1.0,4,Triangular non-coplanar
mp-558944,Tl2Cu3(SeO3)6,1.739261161955691,-0.0092667475883116,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,8.0,3.0,1.7238451845587175,1.7491205663666036,1.7337372570771805,0.011025016775184996,0.025275381807886133,100.85483324729644,4.110334982606022,95.36718580132198,105.25895050920073,3.0,1.0,1,Triangular non-coplanar
mp-558944,Tl2Cu3(SeO3)6,1.739261161955691,-0.0092667475883116,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True,9.0,3.0,1.7238451845587153,1.7491205663666016,1.7337372570771794,0.011025016775184436,0.025275381807886355,100.85483324729648,4.110334982606018,95.36718580132202,105.25895050920076,3.0,1.0,2,Triangular non-coplanar
mp-559053,NaY(SeO3)2,1.770529383346841,0.2111465891423368,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True,10.0,3.0,1.692596411030432,1.7459266374411455,1.7125170869148303,0.023769596358703095,0.05333022641071361,100.01276293135841,3.9274446685515523,94.4684012587569,103.07177589511625,3.0,1.0,1,Triangular non-coplanar
mp-559053,NaY(SeO3)2,1.770529383346841,0.2111465891423368,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True,11.0,3.0,1.6925964110304323,1.745926637441143,1.71251708691483,0.023769596358701617,0.053330226410710724,100.01276293135841,3.927444668551555,94.4684012587569,103.07177589511629,3.0,1.0,2,Triangular non-coplanar
mp-559053,NaY(SeO3)2,1.770529383346841,0.2111465891423368,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True,13.0,3.0,1.692596411030432,1.7459266374411446,1.71251708691483,0.023769596358702596,0.05333022641071272,100.01276293135841,3.9274446685515585,94.4684012587569,103.0717758951163,3.0,1.0,3,Triangular non-coplanar
mp-559053,NaY(SeO3)2,1.770529383346841,0.2111465891423368,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True,15.0,3.0,1.6925964110304312,1.7459266374411444,1.7125170869148294,0.023769596358702846,0.053330226410713166,100.01276293135847,3.9274446685515523,94.46840125875696,103.0717758951163,3.0,1.0,4,Triangular non-coplanar
