material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,B_wyckoff,num_B_chemenvs,CN,element,charge_range,is_single_charge
mp-1020655,NaB(S2O7)2,1.4222197490026371,0.2063469155789403,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,B,0.0,True
mp-1020662,Rb4B2S4O17,1.3821221004280348,0.3646044238490954,[4.0],3.0,3.0,3.0,Tetrahedron,8e,1,4.0,B,0.0,True
mp-1020664,Rb2Li5(BO2)7,1.3818544151093133,0.3826881672873771,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2b, 4c",2,3.0,B,0.0,True
mp-1020664,Rb2Li5(BO2)7,1.3818544151093133,0.3826881672873771,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2b, 4c",2,4.0,B,0.0,True
mp-1020670,SrB4O7,1.38578141326899,0.3157128523383007,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",3d,2,3.0,B,0.0,True
mp-1020670,SrB4O7,1.38578141326899,0.3157128523383007,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",3d,2,4.0,B,0.0,True
mp-1020705,Rb2Li3B(P2O7)2,1.524815713792804,-0.1503433242083562,[4.0],3.0,3.0,3.0,Tetrahedron,4d,1,4.0,B,0.0,True
mp-1020707,Rb2GeB4O9,1.3811046623457766,0.3736934031146033,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2a,2,3.0,B,0.0,True
mp-1020707,Rb2GeB4O9,1.3811046623457766,0.3736934031146033,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2a,2,4.0,B,0.0,True
mp-1020716,Rb3B(SO4)3,1.3308180135853689,0.4822879524600516,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,B,0.0,True
mp-1020740,YBe2B5O11,1.3830169664208056,0.3244267210808088,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4a,2,3.0,B,0.0,True
mp-1020740,YBe2B5O11,1.3830169664208056,0.3244267210808088,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4a,2,4.0,B,0.0,True
mp-10350,BaNdCuBO5,1.39286561808807,0.0130256722999539,[3.0],3.0,3.0,3.0,"Cuboctahedron, Trigonal plane","2b, 2a",2,3.0,B,0.0,True
mp-10792,DyBO3,1.3775737676696425,0.3389247531610827,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2i,2,3.0,B,0.0,True
mp-10792,DyBO3,1.3775737676696425,0.3389247531610827,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2i,2,4.0,B,0.0,True
mp-1079609,Bi(BO2)3,1.3839285502420178,0.2947095558940885,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane, Trigonal prism",1a,3,3.0,B,0.0,True
mp-1079609,Bi(BO2)3,1.3839285502420178,0.2947095558940885,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane, Trigonal prism",1a,3,4.0,B,0.0,True
mp-10814,SrLiBO3,1.3825667988900356,-0.5581381651867579,[3.0],3.0,3.0,3.0,Trigonal plane,4e,1,3.0,B,0.0,True
mp-1094074,ScFe2BO5,1.3959457770098718,-0.17328007735907,[3.0],3.0,3.0,3.0,Trigonal plane,4g,1,3.0,B,0.0,True
mp-1096865,AlFe2BO5,1.3899729437507802,0.4072344758996232,[3.0],3.0,3.0,3.0,Trigonal plane,4g,1,3.0,B,0.0,True
mp-1097025,GaFe2BO5,1.392277980781046,0.2552145630573609,[3.0],3.0,3.0,3.0,Trigonal plane,4g,1,3.0,B,0.0,True
mp-11000,CaB4O7,1.341941543653385,0.4398843460995231,[4.0],3.0,3.0,3.0,Tetrahedron,4b,1,4.0,B,0.0,True
mp-1101655,NaFeBO3,1.3884335022995025,-0.9317026218739832,[3.0],3.0,3.0,3.0,Trigonal plane,4e,1,3.0,B,0.0,True
