material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,17.0,5.0,2.1281610765448136,2.489985193014236,2.304682857733664,0.12637213022895094,0.3618241164694225,61.9531678427003,25.808026871979227,21.741344201842985,100.55177623378474,5.0,1.0,2,Square pyramid
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,18.0,5.0,2.1281610765448136,2.4899851930142365,2.304682857733664,0.12637213022895122,0.3618241164694229,100.54206641013721,30.742449310260533,77.11101408746967,167.29991561296958,5.0,1.0,3,Square pyramid
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,19.0,5.0,2.1281610765448136,2.489985193014237,2.304682857733664,0.12637213022895138,0.36182411646942336,61.95316784270032,25.80802687197922,21.741344201843038,100.55177623378474,5.0,1.0,4,Square pyramid
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,20.0,5.0,2.1281610765448136,2.489985193014236,2.304682857733664,0.1263721302289511,0.3618241164694225,100.5420664101372,30.742449310260533,77.11101408746967,167.29991561296958,5.0,1.0,5,Square pyramid
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,21.0,5.0,2.1281610765448145,2.4899851930142383,2.304682857733664,0.12637213022895158,0.3618241164694238,100.5420664101372,30.742449310260536,77.11101408746971,167.29991561296958,5.0,1.0,6,Square pyramid
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,22.0,5.0,2.1281610765448136,2.4899851930142365,2.304682857733664,0.12637213022895136,0.3618241164694229,100.54206641013718,30.74244931026052,77.11101408746968,167.29991561296953,5.0,1.0,7,Square pyramid
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,23.0,5.0,2.1281610765448136,2.489985193014237,2.3046828577336638,0.1263721302289514,0.36182411646942336,61.953167842700324,25.808026871979227,21.741344201843003,100.55177623378474,5.0,1.0,8,Square pyramid
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,8.0,6.0,2.088034849499861,2.3471158937928913,2.1872569889495925,0.08464839077547608,0.25908104429303025,59.72194460970924,21.35288495835006,27.089548289848832,105.32588904743457,6.0,1.0,1,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,9.0,6.0,2.0880348494998593,2.347115893792894,2.187256988949593,0.08464839077547746,0.2590810442930347,99.36390674082305,36.29982101717988,38.92958251814043,168.15388121952668,6.0,1.0,2,Octahedron
mp-1042415,CaBi2O5,2.1527822712294404,0.4367983737736526,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Bi,0.0,True,10.0,6.0,2.088034849499859,2.3471158937928904,2.1872585719552933,0.08464845444078356,0.2590810442930316,59.72192105282099,21.35287947355876,27.089408706106646,105.32577772613928,6.0,1.0,3,Octahedron
