material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge
mp-1195268,CoBi2SO7,2.213409102275796,0.4070547402680053,"[4.0, 8.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism",8c,2,8.0,Bi,0.0,True
mp-1195913,Ga4Bi2O9,1.2141894978152217,1.848717135954816,[7.0],3.0,3.0,3.0,Octahedron,8d,1,7.0,Bi,0.0,True
mp-1196099,K3Bi7(SO6)4,2.046165016899375,0.565317662662066,"[4.0, 6.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Trigonal prism, Square-face bicapped trigonal prism, Square pyramid, Octahedron, Cube, Square non-coplanar","2e, 4f",7,4.0,Bi,0.0,True
mp-1196099,K3Bi7(SO6)4,2.046165016899375,0.565317662662066,"[4.0, 6.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Trigonal prism, Square-face bicapped trigonal prism, Square pyramid, Octahedron, Cube, Square non-coplanar","2e, 4f",7,6.0,Bi,0.0,True
mp-1196099,K3Bi7(SO6)4,2.046165016899375,0.565317662662066,"[4.0, 6.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Trigonal prism, Square-face bicapped trigonal prism, Square pyramid, Octahedron, Cube, Square non-coplanar","2e, 4f",7,8.0,Bi,0.0,True
mp-1196207,Cr2Bi3O11,2.331827970367587,0.222080809029984,"[5.0, 8.0]",3.67,3.67,3.67,"Pentagonal pyramid, Square-face bicapped trigonal prism, Square-face capped trigonal prism",4e,3,5.0,Bi,0.0,True
mp-1196207,Cr2Bi3O11,2.331827970367587,0.222080809029984,"[5.0, 8.0]",3.67,3.67,3.67,"Pentagonal pyramid, Square-face bicapped trigonal prism, Square-face capped trigonal prism",4e,3,8.0,Bi,0.0,True
mp-1196273,Bi4BPO10,1.9814549136530133,0.6150307976307241,"[5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Trigonal prism, Square antiprism",8c,3,5.0,Bi,0.0,True
mp-1196273,Bi4BPO10,1.9814549136530133,0.6150307976307241,"[5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Trigonal prism, Square antiprism",8c,3,6.0,Bi,0.0,True
mp-1196273,Bi4BPO10,1.9814549136530133,0.6150307976307241,"[5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Trigonal prism, Square antiprism",8c,3,7.0,Bi,0.0,True
mp-1196273,Bi4BPO10,1.9814549136530133,0.6150307976307241,"[5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Trigonal prism, Square antiprism",8c,3,8.0,Bi,0.0,True
mp-1196419,Ta3Bi7O18,2.0441907913492736,0.5276436448294731,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Cube, Trigonal prism, Pentagonal bipyramid",1a,4,6.0,Bi,0.0,True
mp-1196419,Ta3Bi7O18,2.0441907913492736,0.5276436448294731,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Cube, Trigonal prism, Pentagonal bipyramid",1a,4,7.0,Bi,0.0,True
mp-1196419,Ta3Bi7O18,2.0441907913492736,0.5276436448294731,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Cube, Trigonal prism, Pentagonal bipyramid",1a,4,8.0,Bi,0.0,True
mp-1196483,Bi2O3,2.08957067711396,0.6720374993941187,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","8c, 24d",2,5.0,Bi,0.0,True
mp-1196483,Bi2O3,2.08957067711396,0.6720374993941187,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron","8c, 24d",2,6.0,Bi,0.0,True
mp-1196616,Ni2BiB(PO5)2,1.2405401434475594,1.6423003985406008,[6.0],3.0,3.0,3.0,Pentagonal pyramid,2e,1,6.0,Bi,0.0,True
mp-1196931,Rb2BiPWO8,1.6879470303194324,0.8553659025349363,[8.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,4d,1,8.0,Bi,0.0,True
mp-1197024,FeBi(SeO3)3,1.6071159971871367,1.0876496532448852,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4a,1,8.0,Bi,0.0,True
mp-1197128,Bi2O3,1.9429943687395568,0.7236769604351562,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron",4e,2,5.0,Bi,0.0,True
mp-1197128,Bi2O3,1.9429943687395568,0.7236769604351562,"[5.0, 6.0]",3.0,3.0,3.0,"Square pyramid, Octahedron",4e,2,6.0,Bi,0.0,True
mp-1197231,ReBi9O17,2.1444568441923955,0.4543297832367358,"[4.0, 5.0, 6.0, 7.0]",3.0,3.0,3.0,"See-saw, Pentagonal bipyramid, Square pyramid",4e,3,4.0,Bi,0.0,True
mp-1197231,ReBi9O17,2.1444568441923955,0.4543297832367358,"[4.0, 5.0, 6.0, 7.0]",3.0,3.0,3.0,"See-saw, Pentagonal bipyramid, Square pyramid",4e,3,5.0,Bi,0.0,True
mp-1197231,ReBi9O17,2.1444568441923955,0.4543297832367358,"[4.0, 5.0, 6.0, 7.0]",3.0,3.0,3.0,"See-saw, Pentagonal bipyramid, Square pyramid",4e,3,6.0,Bi,0.0,True
mp-1197231,ReBi9O17,2.1444568441923955,0.4543297832367358,"[4.0, 5.0, 6.0, 7.0]",3.0,3.0,3.0,"See-saw, Pentagonal bipyramid, Square pyramid",4e,3,7.0,Bi,0.0,True
mp-1197783,ReBi3O8,2.188198324281381,0.3917867678936331,[7.0],3.0,3.0,3.0,Face-capped octahedron,12c,1,7.0,Bi,0.0,True
mp-1197854,Bi14Mo5O36,2.072060262539492,0.4802618605248579,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Cube, Square pyramid, Square-face capped trigonal prism",2c,3,6.0,Bi,0.0,True
mp-1197854,Bi14Mo5O36,2.072060262539492,0.4802618605248579,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Cube, Square pyramid, Square-face capped trigonal prism",2c,3,7.0,Bi,0.0,True
mp-1197854,Bi14Mo5O36,2.072060262539492,0.4802618605248579,"[6.0, 7.0, 8.0]",3.0,3.0,3.0,"Cube, Square pyramid, Square-face capped trigonal prism",2c,3,8.0,Bi,0.0,True
mp-1197894,Rb2BiMoPO8,1.8118352364040065,0.7308121730334831,[8.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,4d,1,8.0,Bi,0.0,True
