material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hf_wyckoff,num_Hf_chemenvs,CN,element,charge_range,is_single_charge
mp-685490,Hf3Sc4O12,1.852994064079057,0.5766006294494621,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",1a,2,6.0,Hf,0.0,True
mp-685490,Hf3Sc4O12,1.852994064079057,0.5766006294494621,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",1a,2,7.0,Hf,0.0,True
mp-693284,Ca3Hf2Fe2SiO12,1.8692992256263217,0.5426283823938829,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Hf,0.0,True
mp-697304,K4Hf3Mn(PO4)6,1.9457221582508928,0.2547211662609759,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Hf,0.0,True
mp-697913,HfP2(H3O5)2,1.9999704515787144,0.1642541134395084,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-705900,Hf3Tl10Mo12PbO48,1.471568007267936,1.4517960823955096,[6.0],4.0,4.0,4.0,Octahedron,"2c, 1a",1,6.0,Hf,0.0,True
mp-720802,Na6HfH8S5O24,2.0623824062797813,0.2076440585369832,[8.0],4.0,4.0,4.0,Dodecahedron with triangular faces - p2345 plane normalized,2a,1,8.0,Hf,0.0,True
mp-752396,Ca2HfO4,2.062405122292435,0.0923138119815832,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Hf,0.0,True
mp-752413,Ca2HfO4,1.8489173236697616,0.6180073955290405,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-752537,Sr2HfO4,1.7608278577236665,0.9264403493749022,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-752581,Sr2HfO4,2.2483064242223865,-0.4533489389770442,[6.0],4.0,4.0,4.0,Octahedron,4a,1,6.0,Hf,0.0,True
mp-752691,Sr3Hf2O7,2.05282674861392,0.0515877842631239,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-753794,Hf2P2O9,1.9083894629337892,0.4086318757343669,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,4f,1,7.0,Hf,0.0,True
mp-753917,Y2HfO5,2.035500407296117,0.1780810007383556,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-754041,Gd2HfO5,1.915068559391841,0.5022087067585439,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Hf,0.0,True
mp-754128,Ba3Hf2O7,2.006132379581916,0.2123340396497831,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Hf,0.0,True
mp-754363,Ba2HfO4,2.141485910497127,-0.137603968127226,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-754668,Hf3N2O3,1.8476765656289311,0.5909880267369161,"[3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,3.0,Hf,0.0,True
