material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,As_wyckoff,num_As_chemenvs,CN,element,charge_range,is_single_charge
mp-1208112,V3Co10AsO20,1.8213421235254776,0.3439589535906797,[6.0],5.0,5.0,5.0,Octahedron,2i,1,6.0,As,0.0,True
mp-1208295,TiTlAsO5,1.7599676056369868,0.1666980618125728,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1210021,NaFeAsO4F,1.757835632620445,0.1471507383641987,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1210085,NaCaAsO4,1.8312365546536944,0.4812986521762992,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,As,0.0,True
mp-1210396,NaCu5Sb2As6(H9O17)2,1.7415286358518347,0.0374849536102284,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1210656,MgZn2(AsO4)2,1.7603691923550415,0.1821360222382346,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1210670,Na3Pr(AsO4)2,1.7422896041750953,0.0850769562414272,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1210695,Mg3Cu2(AsO4)3,1.8314079638745748,0.4595312741538618,[4.0],5.0,5.0,5.0,Tetrahedron,"2e, 4f",1,4.0,As,0.0,True
mp-1210809,Na3Nd(AsO4)2,1.7650041515894508,0.1931237075705179,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1211009,Mg5As4(H11O13)2,1.729954713922994,0.016203487650607,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1211118,Na3La(AsO4)2,1.745206312653068,0.0986092913091652,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1211416,KMg3Cu(AsO4)3,1.802156710043739,0.4502046196416981,[4.0],5.0,5.0,5.0,Tetrahedron,"4f, 2e",1,4.0,As,0.0,True
mp-1211778,K3Ce(AsO4)2,1.772431476403305,0.2185248228228917,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,As,0.0,True
mp-1212024,K2ScSn(AsO4)3,1.7969312080555486,0.363392439202993,[4.0],5.0,5.0,5.0,Tetrahedron,12b,1,4.0,As,0.0,True
mp-1212702,Fe2As2H2PbO10,1.7985952920233883,0.2931869293395045,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1213314,Cu5As2(HO3)4,1.7243503882097186,-0.0119949938096024,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1213317,Cu4AsClO6,1.9877129093885952,1.1315995286829026,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,As,0.0,True
mp-1213465,CuAgAs2H3O8,1.7382687958499177,0.03012552125178,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1213607,CuAsHO4,1.7749153870605388,0.1753945846608458,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1213858,Co3As2(HO)16,1.7398237158629626,0.0433408184399689,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1213950,CaAgAsO4,1.816485696461364,0.4014987254548592,[4.0],5.0,5.0,5.0,Tetrahedron,2c,1,4.0,As,0.0,True
mp-1214196,Ca2ZnAs2(H2O5)2,1.7282637537096168,0.0093743171337712,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1214311,Bi6As4PbO20,1.7318272200704032,0.0190316151107809,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1214314,BaTi(AsO4)2,1.8292038012178375,0.5048098739580594,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1214433,BaGe(AsO4)2,1.8802794747317677,0.7131048773094312,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1214545,Ba5As3SO12,1.6690668836988714,-0.2734627013997553,[4.0],5.0,5.0,5.0,Tetrahedron,6h,1,4.0,As,0.0,True
mp-1214567,Ba3Sr2As3ClO12,1.4613294441800782,-1.1764118958563428,[4.0],5.0,5.0,5.0,Tetrahedron,6h,1,4.0,As,0.0,True
mp-1214667,As3Pb5O12F,1.662404041677656,-0.3121484099606879,[4.0],5.0,5.0,5.0,Tetrahedron,6h,1,4.0,As,0.0,True
mp-1214749,As3Pb5BrO12,1.7551918732857916,0.0973728403002546,[4.0],5.0,5.0,5.0,Tetrahedron,6h,1,4.0,As,0.0,True
mp-1214986,Ag3Mo3AsO13,1.7406759559250573,0.0455783648964548,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1216818,VCo5AsO10,1.8187952396597005,0.3708445329563773,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",2i,2,4.0,As,0.0,True
mp-1216818,VCo5AsO10,1.8187952396597005,0.3708445329563773,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",2i,2,6.0,As,0.0,True
mp-1217377,Zn15Te5As2P8(Pb3O14)5,1.8352365255974177,0.4913735365686979,[4.0],5.0,5.0,5.0,Tetrahedron,1a,1,4.0,As,0.0,True
