material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Y_wyckoff,num_Y_chemenvs,CN,element,charge_range,is_single_charge
mp-1207721,YSi2Ag3O7,2.4193291478765935,-0.1914792433705437,[6.0],3.0,3.0,3.0,"Trigonal prism, Octahedron","2a, 4f",2,6.0,Y,0.0,True
mp-1207730,YTl(MoO4)2,2.1414549323356527,0.1939360551956191,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Y,0.0,True
mp-1207733,YCrGeO5,2.375609941038138,0.104182242999223,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4h,1,8.0,Y,0.0,True
mp-1207744,YMnCrO5,2.4638412156147065,-0.0252261079491575,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4h,1,8.0,Y,0.0,True
mp-1207752,Y2NiRuO6,0.7806071564648549,1.8591669704266092,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,Y,0.0,True
mp-1207765,YSbO4,1.8768624447100728,0.5858815819218637,"[7.0, 8.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism",2i,2,7.0,Y,0.0,True
mp-1207765,YSbO4,1.8768624447100728,0.5858815819218637,"[7.0, 8.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism",2i,2,8.0,Y,0.0,True
mp-1207793,Y3Sb5O12,2.017273155181111,0.3613147599071439,[8.0],3.0,3.0,3.0,Cube,6d,1,8.0,Y,0.0,True
mp-1207796,Y3Si5N9O,3.859941807087024,-1.3633064424171455,"[1.0, 1.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism","8e, 4d",2,1.0,Y,0.0,True
mp-1207796,Y3Si5N9O,3.859941807087024,-1.3633064424171455,"[1.0, 1.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism","8e, 4d",2,1.0,Y,0.0,True
mp-1207875,Y2U3S5O3,1.9215442300780183,0.7740708734756361,"[0, 2.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Octahedron",4c,2,0.0,Y,0.0,True
mp-1207875,Y2U3S5O3,1.9215442300780183,0.7740708734756361,"[0, 2.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Octahedron",4c,2,2.0,Y,0.0,True
mp-1207897,Y2Hf2(MoO4)7,1.994718095771697,0.3923487841202185,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4f,1,8.0,Y,0.0,True
mp-1209082,RbYSeCl2O3,2.038900418597053,0.3783225423560766,[5.0],3.0,3.0,3.0,Pentagonal bipyramid,2i,1,5.0,Y,0.0,True
mp-1209095,RbY(MoO4)2,2.6792372320496183,-0.214605639992659,[8.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,2e,1,8.0,Y,0.0,True
mp-1209133,RbY(WO4)2,2.316031928814389,3.564320636968185e-05,[6.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,2e,1,6.0,Y,0.0,True
mp-1209254,RbY(MoO4)2,1.79667510916645,0.6029671111927606,[8.0],3.0,3.0,3.0,Square antiprism,4c,1,8.0,Y,0.0,True
mp-1210185,Na4Y2(IrO4)3,1.3785326790368444,0.9865447798334926,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),2d,1,9.0,Y,0.0,True
mp-1210458,Na3YSi3(HO2)6,2.254024404052049,0.0553859905021777,[6.0],3.0,3.0,3.0,Octahedron,4a,1,6.0,Y,0.0,True
mp-1210758,Na3Y(PO4)2,2.4656593310070227,-0.0894427697741601,[7.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4a,1,7.0,Y,0.0,True
mp-1210816,Na2Ca4YZrSi4(O5F)3,2.180061800204375,0.1373759485884622,[5.0],3.0,3.0,3.0,Octahedron,2i,1,5.0,Y,0.0,True
mp-1211012,LiYGeO4,2.0320609850982545,0.4344466414357794,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Y,0.0,True
mp-1211274,KY(CO3)2,1.7073455885277344,0.7320163354918415,[8.0],3.0,3.0,3.0,Square antiprism,2e,1,8.0,Y,0.0,True
mp-1211286,Li3Y2(BO3)3,1.5550563214909157,0.8654778681936974,[9.0],3.0,3.0,3.0,Square-face capped square prism,4e,1,9.0,Y,0.0,True
