material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge
mp-1192807,Cu2Te2Pb(ClO3)2,2.24840296404593,0.3522847626424174,[6.0],2.0,2.0,2.0,Square-face bicapped trigonal prism,2a,1,6.0,Pb,0.0,True
mp-1193019,MnRe(PbO3)2,2.246205549099263,0.3656987066220557,"[12.0, 7.0]",2.0,2.0,2.0,Cuboctahedron,"4j, 2h",1,12.0,Pb,0.0,True
mp-1193019,MnRe(PbO3)2,2.246205549099263,0.3656987066220557,"[12.0, 7.0]",2.0,2.0,2.0,Cuboctahedron,"4j, 2h",1,7.0,Pb,0.0,True
mp-1193128,Te2Pb3(BrO3)2,2.37710080269664,0.2159471955312635,"[4.0, 5.0, 8.0]",2.0,2.0,2.0,"Square-face capped square prism, Pentagonal plane, Square antiprism",2i,3,4.0,Pb,0.0,True
mp-1193128,Te2Pb3(BrO3)2,2.37710080269664,0.2159471955312635,"[4.0, 5.0, 8.0]",2.0,2.0,2.0,"Square-face capped square prism, Pentagonal plane, Square antiprism",2i,3,5.0,Pb,0.0,True
mp-1193128,Te2Pb3(BrO3)2,2.37710080269664,0.2159471955312635,"[4.0, 5.0, 8.0]",2.0,2.0,2.0,"Square-face capped square prism, Pentagonal plane, Square antiprism",2i,3,8.0,Pb,0.0,True
mp-1193210,Pb3Se2(IO3)2,2.476297465361641,0.1664833519267521,"[5.0, 6.0]",2.0,2.0,2.0,"Bicapped octahedron (cap faces with one edge in common), Square-face capped trigonal prism","4f, 2e",2,5.0,Pb,0.0,True
mp-1193210,Pb3Se2(IO3)2,2.476297465361641,0.1664833519267521,"[5.0, 6.0]",2.0,2.0,2.0,"Bicapped octahedron (cap faces with one edge in common), Square-face capped trigonal prism","4f, 2e",2,6.0,Pb,0.0,True
mp-1193243,CoBP2HPbO9,1.9874859651291463,0.5602538251705148,[9.0],2.0,2.0,2.0,Square-face bicapped square antiprism,2i,1,9.0,Pb,0.0,True
mp-1193329,Mn2CrPb2O9,1.960677360274366,0.5111669178125295,"[8.0, 9.0]",2.0,2.0,2.0,"Tricapped triangular prism (three square-face caps), Bicapped octahedron (cap faces with one atom in common)",2i,2,8.0,Pb,0.0,True
