material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,C_wyckoff,num_C_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1176410,Na2NiPCO7,1.4061242296798515,0.4041371644541353,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176411,Na2LiFePCO7,1.379607033923046,0.2772828454233681,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176418,Na2BiAsCO7,1.471230819688906,0.6152367324399327,[3.0],4.0,4.0,4.0,Trigonal plane,2e,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176422,Na3Mn2P2(CO7)2,1.4029057676513104,0.3816506088886205,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176428,Na2CePCO7,1.4531083073172182,0.5293407320512967,[3.0],4.0,4.0,4.0,"Pentagonal bipyramid, Trigonal plane",2e,2,3.0,C,0.0,True,8.0,3.0,1.2642136370577364,1.3259556580842478,1.3014906417808787,0.026784691841433655,0.061742021026511384,76.45771306092506,27.456542506619435,51.4518939661287,114.6865695913876,3.0,1.0,1,"Pentagonal bipyramid, Trigonal plane"
mp-1176428,Na2CePCO7,1.4531083073172182,0.5293407320512967,[3.0],4.0,4.0,4.0,"Pentagonal bipyramid, Trigonal plane",2e,2,3.0,C,0.0,True,9.0,3.0,1.2642136370577355,1.3259556580842478,1.3014906417808783,0.026784691841434033,0.06174202102651227,76.457713060925,27.456542506619414,51.451893966128665,114.68656959138751,3.0,1.0,2,"Pentagonal bipyramid, Trigonal plane"
mp-1176431,Na4Mn2C4SO16,1.2769245067823527,-0.0724043815899507,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176442,Na2FePCO7,1.478949964973576,0.6266589684922452,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176445,Na2FePCO7,1.4697438198062758,0.5939495397835737,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176541,LiVCO4,1.4494409531844477,0.5131320741833296,[3.0],4.0,4.0,4.0,Trigonal plane,4e,1,3.0,C,0.0,True,8.0,3.0,1.2522217131036808,1.346543712079881,1.3033056993218561,0.038904407182816854,0.0943219989762003,119.9985783278931,2.4300112571884624,117.05157261439487,123.00302862284856,3.0,1.0,1,Trigonal plane
mp-1176541,LiVCO4,1.4494409531844477,0.5131320741833296,[3.0],4.0,4.0,4.0,Trigonal plane,4e,1,3.0,C,0.0,True,9.0,3.0,1.2522596518155984,1.3464894631200606,1.3033026563351637,0.03886818936485459,0.09422981130446217,119.99858499788313,2.4337391125922183,117.04705362333263,123.00763996348284,3.0,1.0,2,Trigonal plane
