material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zn_wyckoff,num_Zn_chemenvs,CN,element,charge_range,is_single_charge
mp-1046105,Ta2VZn2O8,1.544802738633991,0.786957671037553,[4.0],2.0,2.0,2.0,Square pyramid,8f,1,4.0,Zn,0.0,True
mp-1046115,Ta2Zn2FeO8,1.7643404322244791,0.3753460834573775,[4.0],2.0,2.0,2.0,"Octahedron, Square pyramid",1a,2,4.0,Zn,0.0,True
mp-1046140,Ta2Zn2NiO8,1.7555634310972743,0.388730377773419,[4.0],2.0,2.0,2.0,Octahedron,4i,1,4.0,Zn,0.0,True
mp-1046155,SrZnCu(PO4)2,1.620851396166164,0.582118210228009,[4.0],2.0,2.0,2.0,Trigonal bipyramid,2i,1,4.0,Zn,0.0,True
mp-1046160,Ta2Zn2CoO8,1.773526100787396,0.3581632613999058,[4.0],2.0,2.0,2.0,Octahedron,1a,1,4.0,Zn,0.0,True
mp-1046379,SrZnCo(PO4)2,1.7250423096734842,0.4104744558360139,[4.0],2.0,2.0,2.0,Square pyramid,4i,1,4.0,Zn,0.0,True
mp-1046402,SrMnZn(PO4)2,1.7753411744430103,0.3338956517684716,[4.0],2.0,2.0,2.0,Tetrahedron,4i,1,4.0,Zn,0.0,True
mp-1046422,SrZnCr(PO4)2,1.65515687798839,0.5267771570052774,[4.0],2.0,2.0,2.0,Trigonal bipyramid,2i,1,4.0,Zn,0.0,True
mp-1046426,SrVZn(PO4)2,1.734589487426345,0.3984006135680416,[4.0],2.0,2.0,2.0,Square pyramid,2i,1,4.0,Zn,0.0,True
mp-1046443,SrZnFe(PO4)2,1.7150290097872407,0.4226145189448165,[4.0],2.0,2.0,2.0,Tetrahedron,2i,1,4.0,Zn,0.0,True
mp-1046528,Zn4Co5(TeO6)3,1.6410590802245164,0.4975775294827323,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Square pyramid",4f,2,4.0,Zn,0.0,True
mp-1046528,Zn4Co5(TeO6)3,1.6410590802245164,0.4975775294827323,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Square pyramid",4f,2,5.0,Zn,0.0,True
mp-1046551,Zn4Ni5(TeO6)3,1.6068580324259591,0.5244727704174563,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Square pyramid",4f,2,4.0,Zn,0.0,True
mp-1046551,Zn4Ni5(TeO6)3,1.6068580324259591,0.5244727704174563,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Square pyramid",4f,2,5.0,Zn,0.0,True
mp-1046628,Mn5Zn4(TeO6)3,1.6118929359094458,0.5875365916579216,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Square pyramid",4f,2,4.0,Zn,0.0,True
